#TimeStamp;DistanceTraveled
60;229.73
119.73;133.96
179.87;192.27
239.81;178.83
299.88;185.63
359.99;110.58
419.99;118.14
480;191.46
539.96;184.25
599.99;190.88
659.95;105.8
719.96;204.55
779.92;143.95
839.94;176.98
899.96;107.74
959.69;223.04
1019.68;174.22
1079.98;118.35
1139.86;145.85
1199.93;164.8
1259.93;167.66
1319.94;102.23
1379.65;117.12
1439.91;191.06
1499.89;161.59
1559.85;220.3
1619.91;202.84
1679.96;201.36
1739.95;225.26
1799.75;186.86
