#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;75.42;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
60;75.42;0.14;PP/0.01,TA/0.1,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
119.73;75.27;0.22;PP/0.01,TA/0.15,IS/0,PS/0.09,RB/0,OB/0.01,RP/0
179.93;75;0.29;PP/0.01,TA/0.19,IS/0,PS/0.12,RB/0,OB/0.01,RP/0
239.93;74.91;0.33;PP/0.01,TA/0.21,IS/0,PS/0.13,RB/0,OB/0.02,RP/0
299.85;74.91;0.38;PP/0.01,TA/0.24,IS/0,PS/0.13,RB/0,OB/0.02,RP/0
359.98;74.91;0.41;PP/0.02,TA/0.25,IS/0,PS/0.14,RB/0,OB/0.02,RP/0
419.89;74.91;0.45;PP/0.02,TA/0.25,IS/0,PS/0.14,RB/0,OB/0.02,RP/0
479.93;74.91;0.49;PP/0.03,TA/0.27,IS/0,PS/0.15,RB/0,OB/0.03,RP/0
539.64;74.87;0.52;PP/0.03,TA/0.28,IS/0,PS/0.15,RB/0,OB/0.03,RP/0
599.98;74.75;0.58;PP/0.03,TA/0.29,IS/0,PS/0.16,RB/0,OB/0.03,RP/0
659.98;74.75;0.62;PP/0.03,TA/0.31,IS/0,PS/0.16,RB/0,OB/0.04,RP/0
719.97;74.75;0.66;PP/0.04,TA/0.31,IS/0,PS/0.17,RB/0,OB/0.04,RP/0
779.79;74.71;0.69;PP/0.04,TA/0.32,IS/0,PS/0.17,RB/0,OB/0.04,RP/0
839.94;74.4;0.72;PP/0.04,TA/0.33,IS/0,PS/0.17,RB/0,OB/0.05,RP/0
899.95;74.33;0.75;PP/0.05,TA/0.33,IS/0,PS/0.17,RB/0,OB/0.05,RP/0
959.97;74.33;0.77;PP/0.05,TA/0.33,IS/0,PS/0.17,RB/0,OB/0.05,RP/0
1019.62;74.29;0.8;PP/0.05,TA/0.34,IS/0,PS/0.17,RB/0,OB/0.06,RP/0
1079.95;74.16;0.83;PP/0.05,TA/0.35,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1139.99;74.16;0.87;PP/0.06,TA/0.36,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1199.77;74.16;0.89;PP/0.06,TA/0.36,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1260;74.16;0.91;PP/0.06,TA/0.37,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1319.82;73.9;0.93;PP/0.06,TA/0.37,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1379.96;73.9;0.96;PP/0.07,TA/0.38,IS/0,PS/0.18,RB/0,OB/0.07,RP/0
1439.87;73.79;0.98;PP/0.07,TA/0.38,IS/0,PS/0.18,RB/0,OB/0.07,RP/0
1499.85;73.34;1.01;PP/0.07,TA/0.39,IS/0,PS/0.19,RB/0,OB/0.07,RP/0
1559.61;73.34;1.03;PP/0.07,TA/0.4,IS/0,PS/0.19,RB/0,OB/0.07,RP/0
1620;73.21;1.05;PP/0.07,TA/0.4,IS/0,PS/0.19,RB/0,OB/0.07,RP/0
1679.68;73.15;1.08;PP/0.08,TA/0.41,IS/0,PS/0.19,RB/0,OB/0.07,RP/0
1739.88;73.06;1.1;PP/0.08,TA/0.41,IS/0,PS/0.2,RB/0,OB/0.08,RP/0
1799.76;72.95;1.13;PP/0.08,TA/0.41,IS/0,PS/0.2,RB/0,OB/0.08,RP/0
