#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;102.28;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.96;101.95;0.13;PP/0.01,TA/0.08,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.84;101.91;0.22;PP/0.01,TA/0.15,IS/0,PS/0.07,RB/0,OB/0.01,RP/0
179.92;101.4;0.41;PP/0.01,TA/0.31,IS/0,PS/0.18,RB/0,OB/0.01,RP/0
239.73;101.26;0.45;PP/0.02,TA/0.33,IS/0,PS/0.19,RB/0,OB/0.02,RP/0
299.97;101.26;0.52;PP/0.02,TA/0.36,IS/0,PS/0.19,RB/0,OB/0.02,RP/0
360;101.06;0.56;PP/0.02,TA/0.38,IS/0,PS/0.2,RB/0,OB/0.03,RP/0
419.97;100.85;0.6;PP/0.02,TA/0.38,IS/0,PS/0.2,RB/0,OB/0.03,RP/0
479.92;100.77;0.65;PP/0.03,TA/0.41,IS/0,PS/0.21,RB/0,OB/0.04,RP/0
539.79;100.77;0.68;PP/0.03,TA/0.42,IS/0,PS/0.21,RB/0,OB/0.04,RP/0
599.97;100.55;0.71;PP/0.03,TA/0.42,IS/0,PS/0.22,RB/0,OB/0.04,RP/0
659.7;100.38;0.75;PP/0.03,TA/0.43,IS/0,PS/0.22,RB/0,OB/0.05,RP/0
719.78;100.34;0.78;PP/0.04,TA/0.44,IS/0,PS/0.22,RB/0,OB/0.05,RP/0
779.99;100.34;0.81;PP/0.04,TA/0.44,IS/0,PS/0.22,RB/0,OB/0.05,RP/0
839.83;100.27;0.84;PP/0.04,TA/0.45,IS/0,PS/0.23,RB/0,OB/0.06,RP/0
899.98;99.97;0.89;PP/0.05,TA/0.47,IS/0,PS/0.23,RB/0,OB/0.06,RP/0
959.97;99.79;0.92;PP/0.05,TA/0.48,IS/0,PS/0.23,RB/0,OB/0.07,RP/0
1019.64;99.79;0.95;PP/0.05,TA/0.48,IS/0,PS/0.24,RB/0,OB/0.07,RP/0
1079.71;99.79;0.98;PP/0.05,TA/0.49,IS/0,PS/0.24,RB/0,OB/0.07,RP/0
1139.7;99.79;1.01;PP/0.06,TA/0.5,IS/0,PS/0.24,RB/0,OB/0.07,RP/0
1199.98;99.79;1.04;PP/0.06,TA/0.51,IS/0,PS/0.25,RB/0,OB/0.08,RP/0
1259.96;99.79;1.06;PP/0.06,TA/0.51,IS/0,PS/0.25,RB/0,OB/0.08,RP/0
1319.98;99.79;1.09;PP/0.06,TA/0.52,IS/0,PS/0.26,RB/0,OB/0.08,RP/0
1379.89;99.79;1.12;PP/0.07,TA/0.52,IS/0,PS/0.26,RB/0,OB/0.08,RP/0
1439.82;99.57;1.14;PP/0.07,TA/0.53,IS/0,PS/0.26,RB/0,OB/0.08,RP/0
1499.98;99.43;1.18;PP/0.07,TA/0.54,IS/0,PS/0.26,RB/0,OB/0.09,RP/0
1559.61;99.37;1.22;PP/0.08,TA/0.55,IS/0,PS/0.26,RB/0,OB/0.09,RP/0
1619.77;99.18;1.25;PP/0.08,TA/0.56,IS/0,PS/0.27,RB/0,OB/0.09,RP/0
1679.83;99.05;1.27;PP/0.09,TA/0.56,IS/0,PS/0.27,RB/0,OB/0.09,RP/0
1739.98;98.97;1.29;PP/0.09,TA/0.56,IS/0,PS/0.27,RB/0,OB/0.1,RP/0
1799.85;98.96;1.32;PP/0.09,TA/0.56,IS/0,PS/0.27,RB/0,OB/0.1,RP/0
