% time handles
0 1
10 2
20 4
30 7
40 11
50 16
60 20
70 24
80 27
90 29
100 30
110 29
120 29
130 29
140 29
150 29
160 29
170 30
180 30
190 30
200 29
210 29
220 29
230 29
240 29
250 29
260 30
270 30
280 30
290 30
300 30
310 30
320 30
330 30
340 30
350 30
360 30
370 30
380 30
390 30
400 30
410 30
420 30
430 30
440 30
450 30
460 30
470 30
480 30
490 30
500 30
510 30
520 30
530 30
540 30
550 30
560 30
570 30
580 30
590 30
600 30
610 30
620 30
630 30
640 30
650 30
660 30
670 30
680 30
690 30
700 30
710 30
720 30
730 30
740 30
750 29
760 30
770 29
780 28
790 28
800 28
810 29
820 28
830 29
840 30
850 30
860 30
870 29
880 28
890 27
900 27
910 27
920 27
930 28
940 30
950 30
960 30
970 30
980 30
990 30
1000 29
1010 30
1020 30
1030 30
1040 30
1050 30
1060 30
1070 30
1080 30
1090 30
1100 30
1110 30
1120 30
1130 30
1140 30
1150 30
1160 30
1170 30
1180 25
1190 20
1200 15
