# SectorTime InvSpeedTotal
0 0
0.16663611111111112 0
0.33331666666666665 0
0.49993333333333334 0
0.6666 0
0.8333222222222222 0
0.9999027777777778 0
1.1666138888888888 0
1.333316666638889 0
1.4998916666666666 0
1.6665583333333334 0
1.8332527777777778 0
1.999961111111111 0
2.1666333333333334 0
2.3333166666666667 0
2.4999805555555557 0
2.6665944444444443 0
2.83325277775 0
2.999991666666667 0
3.1666305555555554 0
3.3333305555555555 0
3.4999805555555557 0
3.6666444444444446 0
3.8333305555555555 0
3.9999944444444444 0
4.166602777777777 0
4.3332194444444445 0
4.499922222222223 0
4.666644444416667 0
4.833275 0
4.999911111111111 0
5.166627777777777 0
5.333252777777778 0
5.499919444444444 0
5.6665527777777775 0
5.833322222222222 0
5.99995 0
6.16665 0
6.333325 0
6.499983333333334 0
6.666633333333333 0
6.833313888888889 0
6.999988888888889 0
7.166580555555556 0
7.333333333333333 0
7.4999472222222225 0
7.666647222222222 0
7.833255555555556 0
7.999994444444445 0
