#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.97;100;0;0;0;0;0;0;0;0;0
599.89;0.74;100;0;0;0;0;0;0;0;0;0
1199.94;0.53;126;0;0;0;0;0;0;0;0;0
1799.76;0.37;173;0;0;0;0;0;0;0;0;0
2399.76;0.24;216;0;0;0;0;0;0;0;0;0
2999.96;0.12;249;0;0;0;0;0;0;0;0;0
3599.65;0.06;290;0;0;0;0;0;0;0;0;0
4199.81;0.09;324;0;0;0;0;0;0;0;0;0
4799.94;0.13;351;0;0;0;0;0;0;0;0;0
5399.61;0.18;377;0;0;0;0;0;0;0;0;0
5999.61;0.22;403;0;0;0;0;0;0;0;0;0
6599.71;0.27;426;0;0;0;0;0;0;0;0;0
7199.86;0.31;453;0;0;0;0;0;0;0;0;0
7799.88;0.36;468;0;0;0;0;0;0;0;0;0
8399.94;0.4;482;0;0;0;0;0;0;0;0;0
8999.93;0.45;501;0;0;0;0;0;0;0;0;0
9599.74;0.5;521;0;0;0;0;0;0;0;0;0
10199.71;0.54;538;0;0;0;0;0;0;0;0;0
10799.97;0.59;553;0;0;0;0;0;0;0;0;0
11399.87;0.54;562;0;0;0;0;0;0;0;0;0
11999.99;0.41;575;0;0;0;0;0;0;0;0;0
12599.93;0.29;585;0;0;0;0;0;0;0;0;0
13199.92;0.19;599;0;0;0;0;0;0;0;0;0
13799.99;0.1;609;0;0;0;0;0;0;0;0;0
14399.98;0.07;618;0;0;0;0;0;0;0;0;0
14999.77;0.09;626;0;0;0;0;0;0;0;0;0
15599.59;0.13;635;0;0;0;0;0;0;0;0;0
16199.72;0.18;646;0;0;0;0;0;0;0;0;0
16799.92;0.22;662;0;0;0;0;0;0;0;0;0
17399.79;0.27;668;0;0;0;0;0;0;0;0;0
17999.68;0.31;679;0;0;0;0;0;0;0;0;0
18599.86;0.36;685;0;0;0;0;0;0;0;0;0
19199.71;0.41;695;0;0;0;0;0;0;0;0;0
19799.71;0.45;700;0;0;0;0;0;0;0;0;0
20399.59;0.5;704;0;0;0;0;0;0;0;0;0
20999.96;0.54;711;0;0;0;0;0;0;0;0;0
21599.82;0.59;720;0;0;0;0;0;0;0;0;0
22199.94;0.56;728;0;0;0;0;0;0;0;0;0
22799.97;0.42;733;0;0;0;0;0;0;0;0;0
23399.94;0.3;741;0;0;0;0;0;0;0;0;0
23999.88;0.19;748;0;0;0;0;0;0;0;0;0
24599.93;0.1;756;0;0;0;0;0;0;0;0;0
25199.96;0.06;762;0;0;0;0;0;0;0;0;0
25799.69;0.09;768;0;0;0;0;0;0;0;0;0
26400;0.14;772;0;0;0;0;0;0;0;0;0
26999.81;0.18;777;0;0;0;0;0;0;0;0;0
27599.93;0.23;784;0;0;0;0;0;0;0;0;0
28199.72;0.28;787;0;0;0;0;0;0;0;0;0
28799.98;0.32;791;0;0;0;0;0;0;0;0;0
