#TimeStamp;DistanceTraveled
59.73;711.27
119.99;398.86
179.94;292.33
239.74;346.58
299.78;493.15
359.97;430.58
419.91;421.68
479.68;448.54
540;392.99
599.89;404.18
659.61;319.54
719.97;387.55
779.94;493.87
839.96;491.58
899.9;504.69
959.77;359.41
1019.91;460.15
1079.99;406.1
1139.59;413.44
1199.94;457.87
1259.97;410.92
1319.96;358.35
1379.96;346.71
1439.68;433.51
1499.96;487.45
1559.66;413.97
1620;478.81
1679.84;497.85
1739.84;503.3
1799.76;467.98
1859.79;519.75
1919.78;575.19
1979.92;563.02
2039.81;497.34
2099.63;522.91
2159.9;644.61
2219.66;567.96
2279.59;631.83
2339.8;477.34
2399.76;585.03
2459.78;565.87
2519.88;612.35
2579.64;521.54
2639.75;484.21
2699.83;536.2
2759.65;560.83
2819.82;571.28
2879.95;622.03
2939.93;640.34
2999.96;639.88
3059.95;596.92
3119.87;507.45
3179.99;635.8
3239.84;571.54
3299.76;600.58
3359.96;713.85
3419.79;780.89
3479.61;714.68
3539.79;722.14
3599.65;692.74
3659.94;703.32
3719.98;719.62
3779.64;692.67
3839.91;362.24
3899.66;180.01
3959.9;90.03
4019.75;97.77
4079.98;96
4139.62;93.89
4199.81;88.11
4260;100.85
4319.98;92.15
4379.84;101.12
4439.99;89.84
4499.94;72.04
4559.96;75.93
4619.85;77.57
4679.6;114.35
4739.97;78.23
4799.94;99.88
4859.98;96.52
4919.78;89.02
4979.82;104.5
5039.9;102
5099.66;90
5159.76;68
5219.98;88.22
5279.97;83.97
5339.69;85.51
5399.61;85.96
5459.68;64.7
5519.98;83.31
5579.65;88.35
5639.59;79.04
5699.78;91.92
5759.96;77.04
5819.8;80
5879.59;86.03
5939.83;86.01
5999.61;89.96
6059.93;115.39
6119.73;97.75
6179.99;58.75
6239.98;91.61
6299.73;92.22
6359.85;122.54
6419.81;90.72
6479.84;84.1
6539.92;112.6
6599.71;84.32
6659.77;81.83
6719.95;88.41
6779.59;82.95
6839.88;96.46
6900;76.94
6959.93;73.48
7019.93;74.74
7079.94;85.63
7139.82;96.65
7199.86;91.32
7259.92;93.58
7319.65;108.02
7379.83;105.61
7439.91;86.96
7499.94;131.63
7559.91;107.55
7619.74;99.18
7679.63;82.12
7739.99;104.26
7799.88;86.1
7860;79.57
7919.82;109.83
7979.95;123.89
8039.82;79.51
8099.78;111.43
8159.72;109.23
8219.99;89.31
8279.74;113.87
8339.89;84.08
8399.94;83.12
8459.96;97.52
8519.97;126.4
8579.88;116.51
8639.72;108.68
8699.92;98.98
8759.88;84.74
8819.95;84.86
8879.75;83.03
8939.88;95.25
8999.93;100.56
9059.77;100.85
9119.8;93.7
9179.96;84.61
9239.66;77.93
9299.62;94.35
9359.79;104.07
9419.76;122.93
9479.88;120.65
9539.83;125.34
9599.74;124.29
9659.75;105.75
9719.9;105.73
9779.95;90
9839.73;102.52
9899.96;89.64
9959.7;93.1
10019.98;66.1
10079.91;97.38
10139.96;108.7
10199.71;107.56
10260;102.99
10319.99;121.01
10379.7;110.45
10439.64;116.12
10499.81;105.79
10559.81;131.57
10619.63;107.44
10679.87;82.42
10739.96;109.41
10799.97;92.02
10859.97;109.45
10919.71;128.16
10979.82;162.67
11039.97;586.77
11099.97;358.56
11159.92;374.91
11219.92;368.62
11279.9;402.22
11339.89;495.72
11399.87;572.83
11459.99;561.43
11519.84;560.49
11579.93;540.74
11639.99;617.16
11699.96;626.07
11759.8;510.8
11819.97;607.79
11879.61;547.35
11939.87;618.5
11999.99;557.81
12059.98;516.04
12119.84;627.62
12179.95;574.46
12239.84;576.85
12299.72;509.64
12359.82;602.44
12419.94;565.8
12479.87;557.85
12539.92;515.47
12599.93;612.99
12659.73;496.45
12719.99;598.28
12779.97;664.35
12839.98;668.35
12899.92;610.24
12959.8;591.08
13019.98;673.64
13079.83;654.67
13139.81;641.35
13199.92;643.15
13259.68;602.97
13319.97;528.66
13379.97;624
13439.92;609.52
13499.68;574.24
13559.97;653.04
13619.7;622.29
13679.69;670.57
13739.93;702.11
13799.99;546.86
13859.98;716.6
13919.72;643.12
13979.93;672.79
14039.96;662.49
14099.91;650.06
14159.93;707.07
14219.96;713.59
14280;742.07
14339.71;762.49
14399.98;745.42
14459.78;761.67
14519.82;627.82
14580;654.15
14639.82;491.14
14699.68;363.53
14759.75;205.73
14819.98;113.24
14879.86;99.76
14939.81;85.63
14999.77;84.34
15059.98;90.03
15119.72;85.38
15179.6;107.42
15239.95;61.89
15299.63;75.61
15359.83;105.38
15419.92;83.14
15479.99;82.18
15539.79;87
15599.59;80
15659.98;74.4
15719.71;72.99
15779.96;81.6
15839.96;126.92
15899.89;70.15
15959.62;81.28
16019.96;77.9
16079.95;101.62
16139.68;82.15
16199.72;111.93
16259.97;95.07
16319.98;112.34
16379.6;94.66
16439.94;95.24
16499.66;108
16559.61;70.44
16619.7;88.04
16679.9;71.77
16739.66;102.43
16799.92;119.74
16859.96;123.61
16919.81;81.82
16979.63;81.89
17039.84;108.46
17099.7;80.16
17159.85;87.38
17219.91;90.31
17279.99;93.4
17339.7;68.41
17399.79;96.28
17460;73.87
17519.78;90.86
17579.93;123.34
17639.96;95.53
17699.98;118.84
17759.99;115.54
17819.77;132.28
17879.92;90.8
17939.73;86.11
17999.68;120.48
18059.94;87.41
18119.94;86.91
18179.88;77.93
18239.8;110.7
18299.96;106.64
18359.79;107.75
18419.63;112.61
18479.92;92.88
18539.88;96.88
18599.86;92.14
18659.68;116.49
18719.83;109.84
18779.61;95.02
18839.92;75.54
18899.94;87.57
18959.99;113.46
19019.84;99.93
19079.98;80.26
19139.68;95
19199.71;105
19259.7;97.91
19319.98;104.98
19379.75;120.19
19439.6;111.86
19499.97;75.83
19559.8;80.89
19619.6;110.27
19679.69;73.35
19739.86;94.85
19799.71;74.88
19859.94;110.96
19919.93;116.04
19979.61;82
20039.67;86.24
20099.93;136.45
20159.94;96.56
20219.81;101.39
20280;74.53
20339.67;84.26
20399.59;78.67
20459.94;109.77
20519.92;89.95
20579.93;112.12
20639.97;101.68
20699.98;121.63
20759.75;115.72
20819.99;121.51
20879.97;74.05
20939.93;81.93
20999.96;91.83
21060;86.84
21119.99;107.92
21179.99;90.08
21239.97;95.71
21299.81;92.48
21359.87;119.01
21419.81;119.92
21479.61;118.53
21539.96;98.26
21599.82;114.1
21659.95;105.06
21719.97;86.54
21779.94;91.29
21839.99;630.11
21899.91;310.55
21959.8;280.19
22019.83;358.63
22079.8;385.04
22139.9;466.56
22199.94;509.92
22259.93;498.79
22319.91;623.83
22379.87;574.67
22439.89;526.82
22499.78;514.32
22559.99;575.66
22619.78;445.22
22679.68;517.83
22739.82;600.21
22799.97;646.59
22859.94;626.8
22919.97;611.06
22979.83;580.21
23039.91;534.21
23099.89;492.36
23159.7;575.08
23219.93;558.3
23279.92;708.7
23339.9;674.73
23399.94;500.44
23459.7;600.77
23519.95;495.35
23579.97;554.95
23639.85;626.34
23699.91;710.34
23759.94;584.66
23819.82;683.61
23879.91;572.41
23939.68;615.41
23999.88;646.38
24059.98;693.87
24119.96;527.53
24179.82;595.31
24239.7;686.72
24299.79;580.57
24359.71;643.29
24419.92;596.38
24479.99;578.32
24539.98;734.17
24599.93;683.2
24659.88;633.34
24719.97;739.86
24779.93;746.09
24839.99;755.82
24899.96;710.49
24959.64;722.17
