#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.97;100;0;0;0;0;0;0;0;0;0
599.84;0.74;100;0;0;0;0;0;0;0;0;0
1199.87;0.53;125;0;0;0;0;0;0;0;0;0
1799.85;0.36;171;0;0;0;0;0;0;0;0;0
2399.83;0.22;213;0;0;0;0;0;0;0;0;0
2999.72;0.09;252;0;0;0;0;0;0;0;0;0
3599.84;0.06;289;0;0;0;0;0;0;0;0;0
4199.84;0.09;320;0;0;0;0;0;0;0;0;0
4799.79;0.14;351;0;0;0;0;0;0;0;0;0
5399.8;0.18;378;0;0;0;0;0;0;0;0;0
5999.77;0.23;403;0;0;0;0;0;0;0;0;0
6599.66;0.28;434;0;0;0;0;0;0;0;0;0
7199.95;0.32;459;0;0;0;0;0;0;0;0;0
7799.89;0.37;479;0;0;0;0;0;0;0;0;0
8399.95;0.41;498;0;0;0;0;0;0;0;0;0
8999.97;0.46;515;0;0;0;0;0;0;0;0;0
9599.99;0.5;524;0;0;0;0;0;0;0;0;0
10199.78;0.55;540;0;0;0;0;0;0;0;0;0
10799.94;0.59;554;0;0;0;0;0;0;0;0;0
11399.97;0.52;573;0;0;0;0;0;0;0;0;0
11999.58;0.38;590;0;0;0;0;0;0;0;0;0
12599.93;0.26;601;0;0;0;0;0;0;0;0;0
13199.99;0.15;617;0;0;0;0;0;0;0;0;0
13799.97;0.09;634;0;0;0;0;0;0;0;0;0
14399.94;0.07;647;0;0;0;0;0;0;0;0;0
14999.93;0.11;654;0;0;0;0;0;0;0;0;0
15599.9;0.16;665;0;0;0;0;0;0;0;0;0
16199.91;0.2;676;0;0;0;0;0;0;0;0;0
16799.97;0.25;684;0;0;0;0;0;0;0;0;0
17399.98;0.29;693;0;0;0;0;0;0;0;0;0
17999.84;0.34;700;0;0;0;0;0;0;0;0;0
18599.73;0.38;713;0;0;0;0;0;0;0;0;0
19199.7;0.43;724;0;0;0;0;0;0;0;0;0
19799.66;0.47;732;0;0;0;0;0;0;0;0;0
20399.62;0.52;737;0;0;0;0;0;0;0;0;0
20999.69;0.56;741;0;0;0;0;0;0;0;0;0
21599.65;0.59;748;0;0;0;0;0;0;0;0;0
22199.66;0.47;749;0;0;0;0;0;0;0;0;0
22799.99;0.33;753;0;0;0;0;0;0;0;0;0
23399.98;0.23;757;0;0;0;0;0;0;0;0;0
23999.97;0.15;762;0;0;0;0;0;0;0;0;0
24599.96;0.07;767;0;0;0;0;0;0;0;0;0
25199.62;0.07;768;0;0;0;0;0;0;0;0;0
25799.85;0.12;772;0;0;0;0;0;0;0;0;0
26399.97;0.17;775;0;0;0;0;0;0;0;0;0
26999.98;0.21;778;0;0;0;0;0;0;0;0;0
27599.77;0.26;783;0;0;0;0;0;0;0;0;0
28199.96;0.3;787;0;0;0;0;0;0;0;0;0
28799.62;0.35;788;0;0;0;0;0;0;0;0;0
