# SectorTime InvUtilityTotal
0 0
0.16662222222222223 0
0.33329722219444446 0
0.49995833333333334 0
0.6666194444444444 0
0.8332555555277777 0
0.9999555555555556 0
1.1666222222222222 0
1.333275 0
1.4999444444444445 0
1.6666027777777779 0
1.8332388888888889 0
1.999986111111111 0
2.166636111111111 0
2.3333194444444443 0
2.499991666666667 0
2.666663888888889 0
2.8332722222222224 0
2.9999833333333332 0
3.1666583333333334 0
3.3332166666666665 0
3.4999805555555557 0
3.666663888888889 0
3.833325 0
3.9999833333333332 0
4.166647222222222 0
4.3333055555555555 0
4.499975 0
4.666658333333333 0
4.833327777777778 0
4.999955555555555 0
5.166591666666666 0
5.33325 0
5.499905555555555 0
5.666561111111111 0
5.833247222222222 0
5.999902777777778 0
6.166572222222222 0
6.3333305555555555 0
6.499994444444445 0
6.666658333333333 0
6.833322222222222 0
6.999894444444444 0
7.166625 0
7.333325 0
7.499994444444445 0
7.666602777777777 0
7.833322222222222 0
7.999894444444444 0
