# SectorTime SKUCountContained
0 124
0.16662222222222223 141.8
0.33329722219444446 160.16666666666666
0.49995833333333334 178.57142857142858
0.6666194444444444 191.66666666666666
0.8332555555277777 228.33333333333334
0.9999555555555556 282
1.1666222222222222 332.1666666666667
1.333275 362.5
1.4999444444444445 362.5
1.6666027777777779 390.8333333333333
1.8332388888888889 417.3333333333333
1.999986111111111 454.6
2.166636111111111 477
2.3333194444444443 502.5
2.499991666666667 518.3333333333334
2.666663888888889 534
2.8332722222222224 542
2.9999833333333332 556.7142857142857
3.1666583333333334 563.6666666666666
3.3332166666666665 579.1666666666666
3.4999805555555557 594.8333333333334
3.666663888888889 623.8333333333334
3.833325 636.3333333333334
3.9999833333333332 648.8333333333334
4.166647222222222 648.8333333333334
4.3333055555555555 660
4.499975 674.1428571428571
4.666658333333333 688.5
4.833327777777778 698.3333333333334
4.999955555555555 703.1428571428571
5.166591666666666 711.8571428571429
5.33325 720
5.499905555555555 727.8571428571429
5.666561111111111 732.5
5.833247222222222 738.5
5.999902777777778 743.3333333333334
6.166572222222222 749.6
6.3333305555555555 756
6.499994444444445 759.3333333333334
6.666658333333333 763.1666666666666
6.833322222222222 763.1666666666666
6.999894444444444 766.8333333333334
7.166625 772.1428571428571
7.333325 777.1666666666666
7.499994444444445 780.5
7.666602777777777 780.5
7.833322222222222 782.2
7.999894444444444 784
