#TimeStamp;DistanceTraveled
59.86;764.61
119.97;513.06
179.98;361.08
239.97;386.24
299.8;335.49
359.96;321.17
419.7;251.12
479.66;366.64
539.88;368.33
599.84;365.17
659.89;435.15
719.65;354.31
779.64;347.32
839.7;388.06
899.64;355.55
959.94;392.21
1019.96;472.1
1079.98;486.97
1139.99;416.46
1199.87;395.38
1259.81;457.22
1319.91;421.8
1379.97;450.78
1439.95;395.35
1499.91;394.53
1559.96;423.11
1619.88;411.58
1679.77;458.2
1739.9;462.58
1799.85;460.81
1859.68;483.95
1919.62;456.17
1979.82;602.8
2039.98;435.93
2099.97;482.8
2159.7;449.94
2219.96;508.89
2279.88;532.32
2339.87;431.59
2399.83;524.95
2459.79;502.41
2519.89;601.3
2580;619.42
2639.74;426.47
2699.94;537.95
2759.58;672.96
2819.78;612.54
2879.73;615.22
2939.96;569.74
2999.72;558.01
3059.98;663.94
3119.97;621.01
3179.94;738.45
3239.85;727.12
3299.6;676.39
3359.9;696.76
3419.98;714.78
3479.92;678.21
3539.75;642.49
3599.84;649.49
3659.71;629.24
3719.77;422.79
3779.93;157.02
3839.96;89.78
3899.9;74.51
3959.93;84.01
4019.96;83.57
4079.72;104.82
4139.78;86.35
4199.84;94.56
4259.97;94
4319.99;98.87
4379.99;90.07
4439.98;78.4
4499.91;85.31
4559.78;84.91
4619.96;112.24
4679.8;75.43
4739.92;91.11
4799.79;111.45
4859.9;88.3
4919.68;126.75
4979.6;94.39
5039.6;99.33
5099.93;100.78
5159.93;106.54
5219.81;105.79
5279.85;124.24
5339.99;99.85
5399.8;105.62
5459.93;83.69
5519.96;84.23
5579.93;112.87
5639.94;99.82
5699.78;115.22
5759.79;120.12
5819.8;91.99
5879.99;96.67
5939.83;129.93
5999.77;91.69
6059.8;107.89
6119.92;80.83
6179.89;87.67
6239.87;76.5
6299.78;88.94
6359.97;111.94
6419.94;102.62
6479.98;92
6539.75;99
6599.66;85.17
6659.98;90.67
6719.76;129.19
6779.74;81.41
6839.94;97.58
6899.73;80.1
6959.93;79.34
7019.74;67.79
7079.94;94.67
7139.96;99.08
7199.95;100.11
7259.71;103.89
7319.67;111.69
7379.69;91.45
7439.79;95.02
7499.97;114.07
7559.84;99.36
7619.71;73.23
7679.9;102.72
7739.73;85.13
7799.89;96.58
7859.94;81.75
7919.95;119
7979.77;88.01
8039.88;114.7
8099.99;109.18
8159.91;80.17
8219.81;83.76
8279.96;122.23
8339.92;109.75
8399.95;86.97
8459.89;106.64
8519.65;108.31
8579.82;106.33
8639.99;92.67
8699.94;104.29
8759.75;126.43
8819.98;109.47
8879.97;110.87
8939.95;103.9
8999.97;110.66
9059.86;98.87
9119.9;92.06
9179.73;89.66
9239.83;96.31
9299.98;106.1
9359.96;80.66
9419.99;96
9479.92;93.41
9539.79;129.18
9599.99;96.36
9660;88.33
9719.73;120.16
9779.61;107.7
9839.89;108.64
9899.7;116.05
9959.88;88.54
10019.99;93.49
10079.83;82.59
10139.96;97.56
10199.78;114.35
10259.76;130.84
10319.84;102.17
10379.79;86.71
10439.95;88.04
10499.68;89.78
10559.62;79.01
10619.74;92.34
10679.97;105.69
10739.62;91.61
10799.94;79.41
10859.63;89.17
10919.92;461.12
10979.93;470.09
11039.74;369.44
11099.96;422.27
11159.65;495.64
11220;461.75
11279.88;483.18
11339.99;428.35
11399.97;488.65
11459.97;523.8
11519.71;567.91
11579.77;499.39
11639.97;576.63
11699.68;585.33
11759.8;553.07
11819.98;498.77
11879.95;565.7
11939.97;598.33
11999.58;500.97
12059.93;539.93
12119.99;528.44
12179.87;446.25
12239.87;603.34
12299.94;510.86
12359.96;583.47
12419.86;583.76
12479.75;599.7
12539.97;621.83
12599.93;576.33
12659.75;463.92
12719.93;509.59
12779.99;542.29
12839.85;509.02
12900;638.44
12959.99;546.5
13019.98;645.06
13079.98;549.01
13139.99;612.37
13199.99;696.53
13259.99;652.77
13319.68;642.97
13379.64;631.31
13440;650.63
13499.67;644.91
13559.85;606.33
13619.98;595.15
13679.97;630.96
13739.96;684.45
13799.97;767.18
13859.89;738.69
13919.86;739.4
13979.7;672.26
14039.94;803.22
14099.85;713.8
14159.99;741.17
14219.63;779.71
14279.84;677.62
14339.94;646.41
14399.94;474.48
14459.99;289.21
14519.61;151.29
14579.82;80.91
14639.96;97.73
14699.93;112.06
14759.69;105.21
14819.82;102
14879.87;100.12
14939.63;92.11
14999.93;82.37
15059.92;116.08
15119.98;89.19
15179.93;88.86
15239.81;78.2
15299.97;110.66
15359.99;90.4
15419.73;86
15479.64;95.29
15539.96;106.71
15599.9;108.13
15659.88;100.32
15719.97;109.01
15779.92;81.06
15839.76;110.65
15899.89;95.15
15959.83;65.84
16019.82;68.17
16079.98;83.11
16139.75;107.56
16199.91;88.26
16259.93;92.95
16319.93;112.69
16379.79;87.88
16439.65;81.47
16499.74;80.02
16559.97;111.85
16619.8;116.12
16679.78;71.1
16739.97;105.13
16799.97;70.03
16859.98;79.01
16919.95;85.5
16979.88;112.13
17039.88;108.87
17099.9;111.59
17159.97;95.26
17219.97;84.26
17279.99;86.98
17339.97;80.28
17399.98;105.42
17459.6;99.37
17519.71;86.9
17579.69;97.17
17639.78;92.79
17699.99;100
17759.97;86
17819.65;113.88
17879.92;85.58
17939.97;90.43
17999.84;107.66
18059.63;88.03
18119.76;81.24
18179.58;73.97
18239.89;77.92
18299.89;86.13
18359.96;96.54
18419.87;74.62
18479.96;114.88
18539.86;118.2
18599.73;103.3
18659.58;95.8
18719.87;85.48
18779.9;92.34
18839.86;111.35
18899.8;94.52
18959.64;93.2
19019.81;97.42
19079.68;97.98
19139.62;108.64
19199.7;112.13
19259.68;102.53
19319.78;92.22
19379.92;138.31
19439.83;96.59
19499.74;116.99
19559.79;83.92
19619.83;92.51
19679.76;73.15
19739.67;89.14
19799.66;81.19
19859.9;86.98
19919.75;98.16
19979.73;97.04
20039.86;90.94
20099.67;92.23
20159.81;104.78
20219.68;100.61
20279.7;85.59
20339.98;112.18
20399.62;111.05
20459.69;91.44
20519.59;88.05
20580;98.74
20639.76;111.82
20699.87;89.11
20759.97;97.31
20819.98;97.22
20879.88;103.82
20939.8;118.95
20999.69;86.71
21059.76;109.06
21119.72;82.48
21179.82;88.62
21239.97;113.59
21299.99;77.04
21359.67;109.7
21419.6;84.66
21479.97;249.42
21539.93;567
21599.65;384.33
21659.97;477.89
21719.99;496.37
21779.84;483.78
21839.76;537.09
21899.71;467.38
21959.81;457.4
22019.89;526.46
22079.89;606.17
22139.98;564.4
22199.66;564.45
22259.99;472.68
22319.99;528.2
22379.97;575.64
22439.82;526.45
22499.8;537.1
22559.78;546.1
22619.96;503.83
22679.85;547.63
22739.72;632.11
22799.99;588.15
22859.81;549.25
22919.77;536.69
22979.98;595.74
23039.98;602.96
23099.72;618.1
23159.81;645.03
23219.95;620.6
23279.98;572
23339.96;601.66
23399.98;600.66
23459.84;576.26
23519.95;607.73
23579.99;660.86
23639.66;693.2
23699.82;560.06
23759.96;635.02
23819.95;624.32
23879.66;630.55
23939.96;653.5
23999.97;645.75
24059.96;632.26
24119.97;659
24179.95;659.8
24239.79;545.18
24299.69;617.01
24359.59;585.69
24419.78;659.45
24479.92;597.9
24539.79;674.1
24599.96;759.83
24659.98;711.82
24719.69;709.33
24779.97;708.4
24839.61;741.12
24899.91;667.97
24959.87;522.31
25019.99;624.75
25079.96;495.59
25139.85;311
25199.62;122.83
25259.66;80.4
25319.71;74.6
25379.7;101.65
25439.7;109.57
25499.98;83.03
25559.99;101.39
25619.99;76.67
25679.84;75.01
25739.91;74.54
25799.85;110.66
25859.65;91.42
25919.89;107.06
25979.71;91
26039.67;93.11
26099.77;93.33
26159.75;92.03
26219.78;97.04
26279.83;90.9
26339.89;115.62
26399.97;72.19
26459.74;90.4
26519.64;86.4
26579.86;82.3
26639.97;107.67
26699.91;114.44
26759.85;72.63
26819.96;87.94
26879.96;93.41
26939.87;94.11
26999.98;101.35
27059.97;84.09
27119.76;73.07
27179.6;111.18
27239.96;125.77
27299.65;117.04
27359.62;107.74
27419.92;93.24
27479.76;91.57
27539.6;72.89
27599.77;78.65
27659.82;81.89
27719.83;93.27
27779.98;106.73
27839.95;94.16
27899.99;85.66
27959.65;82.55
28019.82;78
28079.67;97.96
28139.91;89
28199.96;74.98
28259.84;114.69
28319.85;87
28379.81;85.34
28439.71;101
28499.93;98.92
28559.93;114.55
28619.8;109.11
28679.61;103.2
28739.95;83.9
28799.62;77.19
