Tag;Instance;Setting;Config;Seed;Timestamp
[[1, 0.05, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;1;20240611-195553
[[1, 0.05, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;2;20240611-195554
[[1, 0.05, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;1;20240611-195555
[[1, 0.05, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;2;20240611-195557
[[1, 0.10514285714285715, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;1;20240611-195558
[[1, 0.10514285714285715, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;2;20240611-195559
[[1, 0.10514285714285715, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;1;20240611-195601
[[1, 0.10514285714285715, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;2;20240611-195602
[[1, 0.1602857142857143, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;1;20240611-195604
[[1, 0.1602857142857143, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;2;20240611-195605
[[1, 0.1602857142857143, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;1;20240611-195607
[[1, 0.1602857142857143, 0.068]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Df\Weighted2.xconf;2;20240611-195608
