#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;100;0;0;0;0;0;0;0;0;0
599.96;0.53;100;0;0;0;0;0;0;0;0;0
1199.99;0.35;100;0;0;0;0;0;0;0;0;0
1799.72;0.17;100;0;0;0;0;0;0;0;0;0
2399.94;0.03;100;0;0;0;0;0;0;0;0;0
2999.97;0;100;0;0;0;0;0;0;0;0;0
3599.97;0;100;0;0;0;0;0;0;0;0;0
4199.97;0;100;0;0;0;0;0;0;0;0;0
4799.97;0;100;0;0;0;0;0;0;0;0;0
5399.97;0;100;0;0;0;0;0;0;0;0;0
5999.97;0;100;0;0;0;0;0;0;0;0;0
6599.97;0;100;0;0;0;0;0;0;0;0;0
7199.97;0;100;0;0;0;0;0;0;0;0;0
7799.97;0;100;0;0;0;0;0;0;0;0;0
8399.97;0;100;0;0;0;0;0;0;0;0;0
8999.97;0;100;0;0;0;0;0;0;0;0;0
9599.97;0;100;0;0;0;0;0;0;0;0;0
10199.97;0;100;0;0;0;0;0;0;0;0;0
10799.97;0;100;0;0;0;0;0;0;0;0;0
11399.97;0;100;0;0;0;0;0;0;0;0;0
11999.97;0;100;0;0;0;0;0;0;0;0;0
12599.97;0;100;0;0;0;0;0;0;0;0;0
13199.97;0;100;0;0;0;0;0;0;0;0;0
13799.97;0;100;0;0;0;0;0;0;0;0;0
14399.97;0;100;0;0;0;0;0;0;0;0;0
14999.97;0;100;0;0;0;0;0;0;0;0;0
15599.97;0;100;0;0;0;0;0;0;0;0;0
16199.97;0;100;0;0;0;0;0;0;0;0;0
16799.97;0;100;0;0;0;0;0;0;0;0;0
17399.97;0;100;0;0;0;0;0;0;0;0;0
17999.97;0;100;0;0;0;0;0;0;0;0;0
18599.97;0;100;0;0;0;0;0;0;0;0;0
19199.97;0;100;0;0;0;0;0;0;0;0;0
19799.97;0;100;0;0;0;0;0;0;0;0;0
20399.97;0;100;0;0;0;0;0;0;0;0;0
20999.97;0;100;0;0;0;0;0;0;0;0;0
21599.97;0;100;0;0;0;0;0;0;0;0;0
22199.97;0;100;0;0;0;0;0;0;0;0;0
22799.97;0;100;0;0;0;0;0;0;0;0;0
23399.97;0;100;0;0;0;0;0;0;0;0;0
23999.97;0;100;0;0;0;0;0;0;0;0;0
24599.97;0;100;0;0;0;0;0;0;0;0;0
