Tag;Instance;Setting;Config;Seed;Timestamp
n.a.;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xinst;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xsett;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xconf;1;20240408-170447
n.a.;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xinst;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xsett;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xconf;2;20240408-170452
n.a.;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xinst;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xsett;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xconf;3;20240408-170457
n.a.;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xinst;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xsett;..\..\..\..\Material\Instances\1.LargeBase30min\LargeScenarioBase.xconf;4;20240408-170502
