#TimeStamp;DistanceTraveled
59.89;334.8
119.92;192.59
179.99;71
239.95;87.57
299.71;101.76
359.75;135.72
419.75;74.36
479.83;123.29
539.87;79.63
599.97;150.36
659.92;89.74
719.77;115.95
779.93;116.88
839.9;148.55
899.89;123.91
959.99;73.87
1019.96;157.2
1079.95;146.39
1139.96;45.43
1199.67;114.3
1259.94;107.7
1319.74;94.42
1379.8;138.56
1439.81;82.42
1499.84;121.67
1559.62;153.19
1619.68;117.97
1679.66;146.08
1739.59;57.69
1799.74;11.2
