Tag;Instance;Setting;Config;Seed;Timestamp
wmin;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134503
wmin;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134505
wmin;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134506
wmin;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134508
wr;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134509
wr;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134511
wr;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134512
wr;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134514
[[1, 0.05, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134516
[[1, 0.05, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134518
[[1, 0.05, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134520
[[1, 0.05, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134522
[[1, 0.05, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134523
[[1, 0.05, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134525
[[1, 0.05, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134526
[[1, 0.05, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134528
[[1, 0.05, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134530
[[1, 0.05, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134531
[[1, 0.05, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134533
[[1, 0.05, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134534
[[1, 1, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134536
[[1, 1, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134538
[[1, 1, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134540
[[1, 1, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134541
[[1, 1, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134543
[[1, 1, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134544
[[1, 1, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134546
[[1, 1, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134548
[[1, 1, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134549
[[1, 1, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134552
[[1, 1, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134555
[[1, 1, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134557
[[1, 3, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134559
[[1, 3, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134601
[[1, 3, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134603
[[1, 3, 0.05]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134604
[[1, 3, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134606
[[1, 3, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134608
[[1, 3, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134609
[[1, 3, 1]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134611
[[1, 3, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134612
[[1, 3, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134614
[[1, 3, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-134615
[[1, 3, 2]];..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-134617
wmin;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-140152
wmin;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240607-140153
wmin;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240607-140154
