<<<<<<< HEAD
Instance;Setting;Controller;Tag;W1;W2;W3;Za;Zb;Zc;Zc_Over_Za;Zb_Over_Za;PP;TA;SA;IS;PS;RP;OB;RB;MM;Warmup;Duration;NTiers;NBots;NPods;NIStations;NOStations;BotsPerStation;BotsPerISTation;BotsPerOStation;IStationCapacityAvg;OStationCapacityAvg;SKUs;BundlesPlaced;OrdersPlaced;BundlesRejected;OrdersRejected;BundlesInBacklogRemaining;OrdersInBacklogRemaining;BundlesInBacklogAvg;OrdersInBacklogAvg;BundlesHandled;ItemsHandled;LinesHandled;OrdersHandled;UnitsHandled;Collisions;FailedReservations;PathPlanningTimeouts;PathPlanningTimeoutFractional;DistanceTraveled;DistanceTraveledPerBot;DistanceEstimated;DistanceRequestedOptimal;TimeMoving;TimeQueueing;TripDistance;TripTime;TripTimeWithoutQueueing;TripCount;LastMileTripOStationCount;LastMileTripOStationTimeAvg;LastMileTripIStationCount;LastMileTripIStationTimeAvg;OverallAssignedTasks;OverallPodsHandledAtIStations;OverallPodsHandledAtOStations;PodsHandledAtIStationsFractional;PodsHandledAtOStationsFractional;PodsHandledPerIStationPerHour;PodsHandledPerOStationPerHour;RepositioningMoves;PodsHandledPerIStationAvg;PodsHandledPerIStationVar;PodsHandledPerOStationAvg;PodsHandledPerOStationVar;InventoryLevelAvg;InventoryLevelLQ;InventoryLevelUQ;StorageLocationRanks;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank;BundleGenerationStops;OrderGenerationStops;MemoryUsedMax;RealTimeUsed;BundleThroughputRate;ItemThroughputRate;ItemThroughputRateUB;ItemThroughputRateScore;LineThroughputRate;OrderThroughputRate;OrderTurnoverTimeAvg;OrderTurnoverTimeMed;OrderTurnoverTimeLQ;OrderTurnoverTimeUQ;OrderThroughputTimeAvg;OrderThroughputTimeMed;OrderThroughputTimeLQ;OrderThroughputTimeUQ;BundleTurnoverTimeAvg;BundleTurnoverTimeMed;BundleTurnoverTimeLQ;BundleTurnoverTimeUQ;BundleThroughputTimeAvg;BundleThroughputTimeMed;BundleThroughputTimeLQ;BundleThroughputTimeUQ;OrderLatenessAvg;OrderLatenessMed;OrderLatenessLQ;OrderLatenessUQ;OrderOffsetAvg;OrderOffsetMed;OrderOffsetLQ;OrderOffsetUQ;LateOrdersCount;OnTimeOrdersCount;LateOrdersFractional;LateOrdersRate;OnTimeOrdersRate;ItemPileOneAvg;ItemPileOneMed;ItemPileOneLQ;ItemPileOneUQ;InjectedItemPileOneAvg;InjectedItemPileOneMed;InjectedItemPileOneLQ;InjectedItemPileOneUQ;OrderPileOneAvg;OrderPileOneMed;OrderPileOneLQ;OrderPileOneUQ;BundlePileOneAvg;BundlePileOneMed;BundlePileOneLQ;BundlePileOneUQ;InjectedBundlePileOneAvg;InjectedBundlePileOneMed;InjectedBundlePileOneLQ;InjectedBundlePileOneUQ;OSIdleTimeAvg;OSIdleTimeMed;OSIdleTimeLQ;OSIdleTimeUQ;ISIdleTimeAvg;ISIdleTimeMed;ISIdleTimeLQ;ISIdleTimeUQ;OSUpTimeAvg;OSUpTimeMed;OSUpTimeLQ;OSUpTimeUQ;ISUpTimeAvg;ISUpTimeMed;ISUpTimeLQ;ISUpTimeUQ;OSDownTimeAvg;OSDownTimeMed;OSDownTimeLQ;OSDownTimeUQ;ISDownTimeAvg;ISDownTimeMed;ISDownTimeLQ;ISDownTimeUQ;TaskCountNone;TaskTimeNone;TaskCountParkPod;TaskTimeParkPod;TaskCountRepositionPod;TaskTimeRepositionPod;TaskCountInsert;TaskTimeInsert;TaskCountExtract;TaskTimeExtract;TaskCountRest;TaskTimeRest;TaskTimeBusyAvg;TaskTimeBusyAvgFractional;StateCountPickup;StateTimePickup;StateCountSetdown;StateTimeSetdown;StateCountGet;StateTimeGet;StateCountPut;StateTimePut;StateCountRest;StateTimeRest;StateCountMove;StateTimeMove;StateCountEvade;StateTimeEvade;StateCountElevator;StateTimeElevator;TimingDecisionsOverall;TimingPathPlanningAvg;TimingPathPlanningOverall;TimingPathPlanningCount;TimingTaskAllocationAvg;TimingTaskAllocationOverall;TimingTaskAllocationCount;TimingItemStorageAvg;TimingItemStorageOverall;TimingItemStorageCount;TimingPodStorageAvg;TimingPodStorageOverall;TimingPodStorageCount;TimingRepositioningAvg;TimingRepositioningOverall;TimingRepositioningCount;TimingReplenishmentBatchingAvg;TimingReplenishmentBatchingOverall;TimingReplenishmentBatchingCount;TimingOrderBatchingAvg;TimingOrderBatchingOverall;TimingOrderBatchingCount;CustomLogPPString;CustomLogPP1;CustomLogPP2;CustomLogPP3;CustomLogPP4;CustomLogTAString;CustomLogTA1;CustomLogTA2;CustomLogTA3;CustomLogTA4;CustomLogPCString;CustomLogPC1;CustomLogPC2;CustomLogPC3;CustomLogPC4;CustomLogSAString;CustomLogSA1;CustomLogSA2;CustomLogSA3;CustomLogSA4;CustomLogISString;CustomLogIS1;CustomLogIS2;CustomLogIS3;CustomLogIS4;CustomLogPSString;CustomLogPS1;CustomLogPS2;CustomLogPS3;CustomLogPS4;CustomLogRPString;CustomLogRP1;CustomLogRP2;CustomLogRP3;CustomLogRP4;CustomLogOBString;CustomLogOB1;CustomLogOB2;CustomLogOB3;CustomLogOB4;CustomLogRBString;CustomLogRB1;CustomLogRB2;CustomLogRB3;CustomLogRB4;CustomLogMMString;CustomLogMM1;CustomLogMM2;CustomLogMM3;CustomLogMM4;TagSetting1;TagSetting2;TagSetting3;TagControl1;TagControl2;TagControl3
Weighted2;Weighted2;Weighted2;1, 0.058, 0.058, 0.091, 0.186, 0.683;1;0.058;0.058;0.091;0.186;0.683;7.505494505494506;2.043956043956044;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;6;84;1;3;1.5;6;2;0.1;12;1000;0;422;0;0;200;103;200;183.93548387096774;0;750;707;486;750;0;49;0;0;5143.281455673562;857.2135759455937;5043;5322;811.7137000600022;135.24257696069165;16.484876460492185;19.901116198486427;17.300297410780818;312;105;20.967051123549872;0;0;214;0;102;0;1;0;68;0;0;0;0;2.6666666666666665;0.359672619047619;0.2708333333333333;0.5952380952380952;0;0;0;0;0;0;0;0;0;0;0;0;130.71875;1.1446238;0;1500;2525.5917365878836;0.5939202200695054;1414;972;451.4598688066198;274.6189826803018;124.58722222222218;703.7816666666666;96.55632104354555;23.490000000000038;16.04444444444448;73.33796536060458;0;0;0;0;0;0;0;0;0;0;0;0;-10214.784923312514;-10121.657288240443;-10851.861315253327;-9592.373233491839;0;486;0;0;972;7.382421023965141;7.588235294117647;6.527777777777778;8.03125;5.5771377995642695;5.852941176470588;4.722222222222222;6.15625;4.791394335511982;4.735294117647059;4.138888888888889;5.5;0;0;0;0;0;0;0;0;0.46966623777525235;0.4545003206301818;0.45337612236308433;0.5011222703324909;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2.52;103;2387.1034199318287;0;0;0;0;107;8122.922979746437;4;59.672222222222224;1751.6710666130446;0.9731505925628026;107;750.4521284308097;101;711.1154617641484;0;0;105;2884.291017319698;4;79.67377351870516;318;6146.686240867127;0;0;0;0;0.7902542000000029;9.9594159713945E-05;0.08355949999999986;839;0.0019842098130841107;0.4246208999999997;214;1.0035087719298283E-06;0.0007436000000000028;741;0.00188329223300971;0.19397910000000013;103;0.00188329223300971;0.19397910000000013;103;8.1E-06;1.62E-05;2;0.00010944135338345857;0.08733419999999995;798;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-3.2429906542056073_6.376947040498441_28.77570093457944;-3.2429906542056073;6.376947040498441;28.77570093457944;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.1645569620253164_-10598.624443818962;NaN;1.1645569620253164;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
Weighted2;Weighted2;Weighted2;1, 0.058, 0.058, 0.091, 0.186, 0.683;1;0.058;0.058;0.091;0.186;0.683;7.505494505494506;2.043956043956044;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;6;84;1;3;1.5;6;2;0.1;12;1000;0;426;0;0;200;94;200;179.6451612903226;0;752;710;499;752;0;49;0;0;5064.546017886305;844.0910029810508;4883;5178;799.2337962490565;155.9885076818986;16.825734278692043;20.67192573653333;17.562520267791164;301;102;21.798714455912272;0;0;208;0;99;0;1;0;66;0;0;0;0;0.6666666666666666;0.3611607142857142;0.2726190476190476;0.5952380952380952;0;0;0;0;0;0;0;0;0;0;0;0;134.62890625;1.0361759;0;1504;2530.502408468062;0.5943483772103993;1420;998;443.42106050718115;250.3583333333334;112.62463202727076;647.7050000000002;91.25420771981773;23.137222222222235;16.261111111111177;76.81999999999994;0;0;0;0;0;0;0;0;0;0;0;0;-10216.047657708514;-10153.985231591578;-10840.652586734997;-9500.489434870096;0;499;0;0;998;7.611073975044563;7.454545454545454;6.9411764705882355;8.4375;5.692012032085562;5.2727272727272725;5.147058823529412;6.65625;5.04998514557338;4.848484848484849;4.676470588235294;5.625;0;0;0;0;0;0;0;0;0.46763783600092584;0.47754818011669975;0.42675974020453517;0.4986055876815427;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2.52;99;2299.4291630702023;0;0;0;0;104;8214.677871569196;5;59.16833333333334;1752.3511724398995;0.9735284291332775;103;720.7927055651401;99;695.9627561990078;0;0;102;2904.000808158101;5;84.64287156918844;307;6170.396226481294;0;0;0;0;0.6936158000000007;9.931831325301215E-05;0.08243420000000008;830;0.0017960052884615383;0.3735691;208;9.852054794520551E-07;0.0007192000000000002;730;0.0016695909090909092;0.1652895;99;0.0016695909090909092;0.1652895;99;1.065E-05;2.13E-05;2;8.634704463208688E-05;0.07158170000000003;829;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-3.4903846153846154_6.206463675213674_29.06169871794871;-3.4903846153846154;6.206463675213674;29.06169871794871;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.1302521008403361_-10614.17906135314;NaN;1.1302521008403361;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
Weighted2;Weighted2;Weighted2;1, 0.058, 0.058, 0.091, 0.186, 0.683;1;0.058;0.058;0.091;0.186;0.683;7.505494505494506;2.043956043956044;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;6;84;1;3;1.5;6;2;0.1;12;1000;0;414;0;0;200;83;200;176.03225806451613;0;777;737;498;777;0;32;0;0;4898.797579594466;816.4662632657443;4781;5141;775.4145706984717;171.66583573097412;16.275075015264004;20.408685550342376;16.986775203545548;301;100;20.68610728752547;0;0;207;0;97;0;1;0;64.66666666666667;0;0;0;0;6.888888888888888;0.35863095238095233;0.26607142857142857;0.5952380952380952;0;0;0;0;0;0;0;0;0;0;0;0;144.3203125;1.3042745;0;1554;2539.6448271462855;0.6118965862428007;1474;996;451.3124756666419;286.96842712474586;140.7124098050482;584.7262120954455;94.69665226417983;24.929444444444698;16.54620490252387;83.35787156919196;0;0;0;0;0;0;0;0;0;0;0;0;-10197.092384597856;-10080.09399274235;-10847.607172466947;-9537.043749806826;0;498;0;0;996;8.074074074074074;8.333333333333334;6.888888888888889;9;5.945818399044206;6.1;5.027777777777778;6.709677419354839;5.178016726403823;5.5;4.388888888888889;5.645161290322581;0;0;0;0;0;0;0;0;0.44903985749202896;0.46846206101345017;0.4076077801439194;0.4710497313187174;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2.52;99;2273.7821934505096;0;0;0;0;103;8253.567640545405;5;59.16833333333334;1754.5583056659855;0.9747546142588808;103;725.1571428166635;97;682.9544444444474;0;0;100;3002.192727143928;5;78.29460325555422;307;6100.439249668653;0;0;0;0;0.8401934000000001;0.00013519625468164795;0.1082922;801;0.002147544927536233;0.4445418000000002;207;1.1450980392156864E-06;0.0008760000000000002;765;0.0018918939393939398;0.18729750000000003;99;0.0018918939393939398;0.18729750000000003;99;7.149999999999999E-06;1.4299999999999999E-05;2;0.00012108803418803422;0.09917110000000003;819;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-3.592233009708738_5.843851132686085_28.74514563106796;-3.592233009708738;5.843851132686085;28.74514563106796;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.144_-10629.945911834298;NaN;1.144;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
Weighted2;Weighted2;Weighted2;1, 0.058, 0.058, 0.096, 0.186, 0.671;1;0.058;0.058;0.096;0.186;0.671;6.989583333333334;1.9375;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;6;84;1;3;1.5;6;2;0.1;12;1000;0;421;0;0;200;85;200;178.06451612903226;0;786;745;503;786;0;46;0;0;4916.79494014915;819.4658233581916;4844;5107;782.7128883526698;148.7548593128807;16.120639148029998;19.926639179178817;17.00031407794182;305;102;20.541390375341955;0;0;211;0;98;0;1;0;65.33333333333333;0;0;0;0;2.888888888888889;0.3528273809523809;0.2619047619047619;0.5952380952380952;0;0;0;0;0;0;0;0;0;0;0;0;145.609375;1.1881581;0;1572;2539.674852484658;0.6189768735403487;1490;1006;447.74295195569124;268.4269480409082;122.16417026312752;664.5222150293012;101.34431062912824;24.926486276763058;15.872409805047823;86.39268398636295;0;0;0;0;0;0;0;0;0;0;0;0;-10221.491567807234;-10154.402817484137;-10893.658307584044;-9526.837452870426;0;503;0;0;1006;8.075681643625193;8.21875;6.685714285714286;9.32258064516129;5.899702380952381;6.15625;4.542857142857143;7;5.166705069124423;5.125;4.3428571428571425;6.032258064516129;0;0;0;0;0;0;0;0;0.4435867083622404;0.4432380030811013;0.3852447009800848;0.5022774210255352;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2.52;100;2349.6294876019774;0;0;0;0;106;8168.399639220197;5;59.16833333333334;1753.0048544703623;0.973891585816868;104;726.3127633919357;100;703.7614862767664;0;0;101;3038.9434415106016;5;78.68084412271257;311;6032.0189248534925;0;0;0;0;0.808416899999998;9.10967312348669E-05;0.07524590000000006;826;0.0021237327014218006;0.4481075999999999;211;1.1129701686121875E-06;0.0008580999999999966;771;0.0020727350000000005;0.20727350000000005;100;0.0020727350000000005;0.20727350000000005;100;8.95E-06;1.79E-05;2;9.277828709288291E-05;0.07691319999999993;829;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-3.650943396226415_5.492924528301886_27.969339622641506;-3.650943396226415;5.492924528301886;27.969339622641506;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.126923076923077_-10693.794344066879;NaN;1.126923076923077;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
Weighted2;Weighted2;Weighted2;1, 0.058, 0.058, 0.096, 0.186, 0.671;1;0.058;0.058;0.096;0.186;0.671;6.989583333333334;1.9375;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;6;84;1;3;1.5;6;2;0.1;12;1000;0;426;0;0;200;99;200;178.83870967741936;0;752;713;494;752;0;54;0;0;5098.723531191543;849.7872551985905;4968;5230;805.6873244053733;138.80662096978196;16.71712633177555;20.431975162210794;17.70135311034623;305;102;21.595668095593197;0;0;210;0;98;0;1;0;65.33333333333333;0;0;0;0;0.22222222222222224;0.3592261904761904;0.2648809523809524;0.5952380952380952;0;0;0;0;0;0;0;0;0;0;0;0;85.51171875;1.2841586;0;1504;2531.8820003361534;0.5940245239708314;1426;988;442.5395521259912;259.2316666666677;109.57796536060353;631.7718542494927;93.81945731074799;24.810555555555197;16.00166666666678;82.8188888888888;0;0;0;0;0;0;0;0;0;0;0;0;-10227.292849013706;-10192.495842942579;-10932.068665831372;-9527.074278156484;0;494;0;0;988;7.677714646464646;7.484848484848484;7.454545454545454;8.09375;5.686868686868688;5.545454545454546;5.515151515151516;6;5.043244949494949;4.96969696969697;4.878787878787879;5.28125;0;0;0;0;0;0;0;0;0.4651369342088596;0.47212979409822625;0.44854902596380847;0.474731982564544;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2.52;101;2375.794422865673;0;0;0;0;104;8138.732791880249;5;59.13463202727016;1752.4212024576536;0.9735673346986965;104;732.1723160136374;99;690.0036941131402;0;0;101;2901.830829736875;5;80.77557713432995;311;6171.39942977521;0;0;0;0;0.8576180999999969;0.00011627845968712395;0.0966274;831;0.002244516666666666;0.4713484999999999;210;1.2023448275862044E-06;0.0008716999999999981;725;0.0017700970297029705;0.17877980000000002;101;0.0017700970297029705;0.17877980000000002;101;1.08E-05;2.16E-05;2;0.00013937667934093802;0.1099682000000001;789;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-3.4423076923076925_5.937767094017092_28.313301282051285;-3.4423076923076925;5.937767094017092;28.313301282051285;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.112033195020747_-10647.558376742492;NaN;1.112033195020747;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
Weighted2;Weighted2;Weighted2;1, 0.058, 0.058, 0.096, 0.186, 0.671;1;0.058;0.058;0.096;0.186;0.671;6.989583333333334;1.9375;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;6;84;1;3;1.5;6;2;0.1;12;1000;0;416;0;0;200;82;200;176.7741935483871;0;775;734;501;775;0;19;0;0;4969.1714381787315;828.1952396964552;4881;5159;789.1224084645149;145.91821916197236;16.02958528444752;19.67989047034832;16.855666873664983;310;103;20.93888405932251;0;0;213;0;99;0;1;0;66;0;0;0;0;2.6666666666666665;0.34970238095238093;0.2511904761904762;0.5952380952380952;0;0;0;0;0;0;0;0;0;0;0;0;92.37109375;1.0635109;0;1550;2536.0731316102724;0.6111811133048171;1468;1002;441.39652074651923;275.17185424949236;116.69203463939618;632.7530663449398;91.18080977926958;25.072308820713488;15.99222222222221;77.90546176414256;0;0;0;0;0;0;0;0;0;0;0;0;-10240.3874736858;-10180.949183246232;-10913.538360150536;-9549.465820747475;0;501;0;0;1002;7.887045570916539;7.666666666666667;6.542857142857143;9.451612903225806;5.894111623143882;5.666666666666667;4.628571428571429;7.387096774193548;5.09762137504073;5.0606060606060606;4.2;6.032258064516129;0;0;0;0;0;0;0;0;0.4496181190365706;0.46155418864503633;0.3757929293644949;0.5115072391001807;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2.52;102;2358.8610020836127;0;0;0;0;106;8160.87444529468;5;59.13463202727016;1753.2892412297158;0.9740495784609532;106;746.0668835880167;101;707.9896970469935;0;0;102;2993.5630948332237;5;86.16080124859559;316;6047.609602688734;0;0;0;0;0.7086547000000033;9.35555555555555E-05;0.07746399999999996;828;0.0018333948356807515;0.39051310000000006;213;1.0207397622192888E-06;0.0007727000000000017;757;0.0015494892156862746;0.15804790000000002;102;0.0015494892156862746;0.15804790000000002;102;8.25E-06;1.65E-05;2;0.00010492282051282044;0.08183979999999995;780;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-3.5849056603773586_5.695492662473793_27.727987421383656;-3.5849056603773586;5.695492662473793;27.727987421383656;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.1927710843373494_-10676.750894473698;NaN;1.1927710843373494;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
Weighted2;Weighted2;Weighted2;1, 0.058, 0.058, 0.084, 0.229, 0.692;1;0.058;0.058;0.084;0.229;0.692;8.238095238095237;2.7261904761904763;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;6;84;1;3;1.5;6;2;0.1;12;1000;0;427;0;0;200;100;200;177.90322580645162;0;754;712;494;754;0;13;0;0;5111.624932001439;851.9374886669066;5014;5328;807.1467652533569;145.26320108519346;15.973827912504499;19.223931503169414;16.500246482822035;320;108;19.794376570375263;0;0;221;0;105;0;1;0;70;0;0;0;0;2.6666666666666665;0.3563988095238095;0.25416666666666665;0.5952380952380952;0;0;0;0;0;0;0;0;0;0;0;0;104.875;1.2807636;0;1508;2521.7550483114965;0.5979962252914766;1424;988;427.9780688172896;267.71407647171463;127.36620490252449;607.9418542494923;92.20385905099205;24.342871569190947;15.931666666666686;80.06388888888864;0;0;0;0;0;0;0;0;0;0;0;0;-10252.249204436139;-10174.767867170722;-10985.010863760233;-9575.471993236966;0;494;0;0;988;7.212542412542412;7.114285714285714;6.4324324324324325;8.090909090909092;5.337202137202137;5.457142857142857;4.675675675675675;5.878787878787879;4.728037128037128;4.8;4.081081081081081;5.303030303030303;0;0;0;0;0;0;0;0;0.4653650206286179;0.4705518278754428;0.4320771165370819;0.4934661174733288;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2.52;106;2443.794970944886;0;0;0;0;110;8077.12360751465;5;59.13463202727016;1753.486429743256;0.9741591276351422;109;767.3087950974771;105;738.4723303994804;0;0;108;2888.0832035773096;5;85.4214356428822;327;6103.287445769656;0;0;0;0;0.8364825000000031;0.00011078096415327556;0.08962179999999993;809;0.0020547343891402707;0.45409629999999984;221;1.147989276139413E-06;0.0008564000000000022;746;0.001531694339622641;0.16235959999999997;106;0.001531694339622641;0.16235959999999997;106;7.2E-06;1.44E-05;2;0.00016091118012422342;0.12953349999999986;805;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-3.2636363636363637_5.9578282828282845_27.909848484848485;-3.2636363636363637;5.9578282828282845;27.909848484848485;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.1153846153846154_-10611.118280930586;NaN;1.1153846153846154;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
Weighted2;Weighted2;Weighted2;1, 0.058, 0.058, 0.084, 0.229, 0.692;1;0.058;0.058;0.084;0.229;0.692;8.238095238095237;2.7261904761904763;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;6;84;1;3;1.5;6;2;0.1;12;1000;0;412;0;0;200;94;200;178.67741935483872;0;728;690;485;728;0;49;0;0;4912.170766705923;818.6951277843204;4733;5079;785.7217988203287;183.1834728216331;16.319504208325323;21.079257163801934;17.427759366692968;301;101;21.223603495627852;0;0;208;0;98;0;1;0;65.33333333333333;0;0;0;0;4.222222222222222;0.36874999999999997;0.28095238095238095;0.5952380952380952;0;0;0;0;0;0;0;0;0;0;0;0;108.54296875;1.0079243;0;1456;2527.8417917660317;0.5759854136214717;1380;970;458.43239840750164;280.05926405454136;130.1994444444445;596.4731601363515;102.18274287201248;20.9800937914128;12.812604580801462;83.17733759241719;0;0;0;0;0;0;0;0;0;0;0;0;-10213.870097052575;-10189.532405571334;-10853.769985649646;-9531.14914964798;0;485;0;0;970;7.4855699855699855;6.909090909090909;6.714285714285714;8.833333333333334;5.445454545454545;4.96969696969697;4.6;6.766666666666667;4.997691197691197;4.514285714285714;4.212121212121212;6.266666666666667;0;0;0;0;0;0;0;0;0.4830105032037985;0.500035289240413;0.434349912243942;0.5146463081270406;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2.52;101;2313.300022145578;0;0;0;0;102;8191.967092466196;5;61.02009379141286;1750.8778524352956;0.9727099180196087;102;717.8595097475727;98;685.7601950591493;0;0;101;2804.185375165671;5;82.3009744455594;307;6278.701153985235;0;0;0;0;0.6898706000000004;8.838011976047909E-05;0.07379740000000004;835;0.0018407110576923085;0.38286790000000015;208;9.213675213675229E-07;0.0006468000000000011;702;0.0016295306930693074;0.16458260000000005;101;0.0016295306930693074;0.16458260000000005;101;7.5E-06;1.5E-05;2;8.837347204161252E-05;0.06795920000000003;769;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-3.235294117647059_5.927015250544661_28.4281045751634;-3.235294117647059;5.927015250544661;28.4281045751634;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.0308370044052864_-10638.248471461182;NaN;1.0308370044052864;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
