Xa,Xb,Xc,OrdersHandled
0.26162499999999994,0.05425,0.683,494.3333333333333
0.27599999999999997,0.05425,0.671,499.3333333333333
0.24150000000000002,0.06679166666666667,0.692,490.3333333333333
0.307625,0.2916666666666667,0.4,499.6666666666667
0.37375,0.2916666666666667,0.333,495.44444444444446
0.60375,0.06241666666666667,0.333,511.55555555555554
0.24150000000000002,0.05425,0.704,501.6666666666667
0.3248750000000001,0.12074999999999998,0.5540000000000002,499.3333333333333
0.24150000000000002,0.049875,0.7080000000000001,494.1666666666667
0.41974999999999996,0.04170833333333333,0.538,487.02222222222224
0.55775,0.04579166666666667,0.39599999999999996,497.8888888888889
0.61525,0.049875,0.333,517.5555555555555
0.26162499999999994,0.04579166666666667,0.692,504.6666666666667
0.26737500000000003,0.04170833333333333,0.692,498.0
0.22425,0.049875,0.725,504.0
0.55775,0.04170833333333333,0.4,505.8888888888889
0.623875,0.04170833333333333,0.333,504.6388888888889
0.24724999999999994,0.049875,0.704,491.0
0.26737500000000003,0.049875,0.683,488.6666666666667
0.24724999999999994,0.05425,0.7,492.0
0.32775000000000004,0.137375,0.533,492.3333333333333
0.238625,0.049875,0.712,495.0
0.27599999999999997,0.18754166666666666,0.538,502.0
0.21275000000000002,0.049875,0.737,493.0
