W2,W3,ItemPileOneAvg,,DistanceTraveled,,OrderTurnoverTimeAvg,,OrdersHandled,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
""
Total,,8.11,0.52,4927.64,112.45,447.13,18.45,498.79,16.17,225
""
0.058,0.058,7.72,0.32,5002.28,101.01,447.53,10.4,494.67,6.28
0.058,0.272,7.96,0.42,4989.32,81.0,435.18,17.27,499.67,12.9
0.058,0.486,7.85,0.39,4999.82,90.98,451.69,14.5,493.44,18.32
0.058,0.7,8.05,0.42,4922.15,54.84,442.97,10.13,497.44,14.84
1.0,1.0,8.7,0.31,4804.26,94.44,456.23,11.69,511.56,10.68
1.264,0.058,8.09,0.6,4924.38,111.15,438.77,25.25,501.89,20.84
1.264,0.272,7.66,0.4,5007.41,63.0,459.82,28.94,483.56,13.15
1.264,0.486,8.04,0.47,4902.78,94.53,444.36,12.93,497.89,15.01
1.264,0.7,8.84,0.4,4797.45,113.95,454.07,16.66,517.56,17.11
2.47,0.058,8.11,0.26,4952.61,70.21,447.94,13.9,502.22,8.38
2.47,0.272,7.64,0.4,4968.65,114.7,434.07,22.41,487.89,18.76
2.47,0.486,8.37,0.41,4890.66,93.23,449.67,15.12,507.0,11.52
2.47,0.7,8.26,0.27,4936.74,77.97,450.03,12.95,498.33,7.26
3.675,0.058,7.9,0.42,4995.1,88.34,435.22,23.38,490.22,12.81
3.675,0.272,7.95,0.6,5019.24,142.04,442.72,16.25,487.89,18.2
3.675,0.486,8.47,0.44,4865.9,138.68,452.85,14.5,510.78,14.53
3.675,0.7,8.52,0.31,4851.6,88.8,451.56,11.78,508.89,14.39
4.881,0.058,7.89,0.48,4894.14,79.36,448.49,25.22,490.33,15.86
4.881,0.272,7.69,0.26,4996.57,100.25,445.21,19.27,487.11,10.97
4.881,0.486,8.58,0.48,4838.09,127.98,448.38,13.6,505.44,19.03
4.881,0.7,8.29,0.42,4907.04,74.82,461.08,10.59,502.89,14.53
6.087,0.058,7.96,0.44,4953.23,72.74,446.24,21.01,495.67,9.77
6.087,0.272,7.57,0.18,4997.39,92.27,435.22,15.67,488.67,8.99
6.087,0.486,8.13,0.49,4919.86,111.83,438.6,17.31,500.33,17.54
6.087,0.7,8.55,0.34,4854.33,87.96,460.32,21.82,508.44,14.61
""
