#TimeStamp;DistanceTraveled
59.76;199.32
119.99;146.23
179.94;169.61
239.62;145.96
300;150.54
359.92;201.47
419.71;170.87
479.79;250.39
539.86;94.65
599.95;181.9
659.97;161.21
719.77;173.71
779.98;162.18
839.99;154.76
899.7;201.74
959.93;144.05
1019.87;170.75
1079.71;168.64
1139.95;118.04
1199.69;150.54
1259.85;170.21
1319.98;197.03
1379.81;133.18
1440;179.14
1499.88;191.22
1559.65;191.49
1619.99;210.77
1679.81;162.22
1739.92;168.97
1799.96;188.93
