W2,W3,ItemPileOneAvg,,DistanceTraveled,,OrderTurnoverTimeAvg,,OrdersHandled,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
""
Total,,9.97,0.82,4544.39,146.44,451.78,17.4,541.31,19.34,54
""
0.058,0.058,9.35,0.54,4609.38,155.49,439.21,21.09,531.33,19.44
0.293,0.058,9.85,0.5,4609.95,48.78,443.27,13.76,537.0,17.04
0.529,0.058,9.63,0.65,4541.33,131.76,447.88,11.98,529.78,21.29
0.764,0.058,9.6,0.39,4626.59,90.41,449.25,9.82,539.56,11.1
1.0,1.0,10.29,0.64,4511.31,102.43,466.45,17.73,547.78,15.48
1.0,0.058,11.11,0.77,4367.78,161.15,464.62,10.27,562.44,12.53
""
