W2,W3,Za,Zb,Zc,ItemPileOneAvg,DistanceTraveled,OrderTurnoverTimeAvg,OrdersHandled
0.058,0.058,0.116,1,1,8.523728025693035,4898.878774555816,464.61342004775287,508
0.058,0.058,0.116,1,1,9.776881720430106,4573.9547725726825,419.6037854832334,558
0.058,0.058,0.116,1,1,9.203443641082684,4701.606245535844,412.97835042396605,528
0.058,0.058,0.116,1,1,9.634625828174215,4500.2609632310605,437.6317397677559,544
0.058,0.058,0.116,1,1,10.39932844932845,4360.422830816772,429.5081253150229,561
0.058,0.058,0.116,1,1,9.176035100729207,4484.589192472749,417.6481613313593,525
0.058,0.058,0.116,1,1,9.20663998357964,4643.036198353218,444.966390641802,518
0.058,0.058,0.116,1,1,9.336138919787418,4616.295704651726,470.6348722142346,531
0.058,0.058,0.116,1,1,8.908602150537634,4705.336541388753,455.2802056849632,509
0.2935,0.058,0.15,0.517,1,8.993548387096775,4629.2894936912835,441.6084278703101,531
0.2935,0.058,0.15,0.517,1,10.321428571428571,4675.809981335235,420.89141669268975,564
0.2935,0.058,0.15,0.517,1,9.998412698412698,4589.770768156376,427.8431831018127,537
0.2935,0.058,0.15,0.517,1,10.586271367521368,4543.172637398677,450.60884155840864,553
0.2935,0.058,0.15,0.517,1,9.847303882620901,4624.189026401966,462.6426900936441,546
0.2935,0.058,0.15,0.517,1,9.687952320136228,4617.495731944437,460.4326417464375,511
0.2935,0.058,0.15,0.517,1,10.193866690993127,4572.290699936262,439.98047905626885,541
0.2935,0.058,0.15,0.517,1,9.730511463844797,4557.056572351409,438.3609587873303,536
0.2935,0.058,0.15,0.517,1,9.31242532855436,4680.518669799468,447.07889883802585,514
0.529,0.058,0.164,0.317,1,9.757440476190476,4461.358919819169,454.6602951402382,543
0.529,0.058,0.164,0.317,1,9.445812807881772,4633.802587996841,444.7820066983374,532
0.529,0.058,0.164,0.317,1,8.241666666666667,4796.31087123846,461.2473961435731,484
0.529,0.058,0.164,0.317,1,9.196500913223197,4597.730588921215,450.83475339567826,515
0.529,0.058,0.164,0.317,1,9.626663370823549,4465.0008352722525,434.0156765480793,548
0.529,0.058,0.164,0.317,1,10.56657848324515,4343.780972863966,434.6732906008193,550
0.529,0.058,0.164,0.317,1,9.818091530271731,4520.3699999999935,451.4030438735782,544
0.529,0.058,0.164,0.317,1,10.169655172413792,4455.953496805903,433.5253536732992,535
0.529,0.058,0.164,0.317,1,9.873015873015873,4597.641787222499,465.77096952380845,517
0.7645,0.058,0.171,0.217,1,9.610678531701891,4718.508602418754,439.45781398229957,542
0.7645,0.058,0.171,0.217,1,8.899577572964668,4719.936744384946,436.5024672101297,522
0.7645,0.058,0.171,0.217,1,9.448016314423434,4646.366990870977,466.8113474617812,530
0.7645,0.058,0.171,0.217,1,9.124374304783093,4758.2245286893985,438.1758693027329,535
0.7645,0.058,0.171,0.217,1,10.13863287250384,4584.669153415587,448.4769018136483,556
0.7645,0.058,0.171,0.217,1,9.6929012345679,4568.226349382702,452.1886535885176,533
0.7645,0.058,0.171,0.217,1,9.816091954022989,4607.583596346707,456.0951775286026,541
0.7645,0.058,0.171,0.217,1,9.884920634920634,4543.999999999995,453.58557985021247,555
0.7645,0.058,0.171,0.217,1,9.80279146141215,4491.807499999994,451.93250310020187,542
1,1,0.174,0.167,1,9.758383838383839,4578.508333333324,449.4876687145019,535
1,1,0.174,0.167,1,9.787246852764094,4591.7345236111,464.41780473505804,543
1,1,0.174,0.167,1,9.573271889400921,4554.415985596627,437.55460155553743,533
1,1,0.174,0.167,1,10.081018518518519,4599.430511740904,488.5576180165869,543
1,1,0.174,0.167,1,11.300705467372135,4305.628989101117,487.491745308709,580
1,1,0.174,0.167,1,11.101851851851853,4392.878223458445,469.9396929994247,561
1,1,0.174,0.167,1,10.719274977895667,4465.526740485713,479.84822030867065,558
1,1,0.174,0.167,1,9.788544198629479,4537.256825967452,450.5835418876341,538
1,1,0.174,0.167,1,10.517283950617283,4576.38527539968,470.1321040620418,539
1,0.058,0.174,0.167,1,10.186944444444444,4535.810098827804,469.59913508844437,546
1,0.058,0.174,0.167,1,11.037918871252204,4411.30523646166,463.1558525896308,578
1,0.058,0.174,0.167,1,11.033509700176367,4397.481821225896,481.32306634794924,553
1,0.058,0.174,0.167,1,10.864269293924465,4310.496660662186,467.00514631533093,558
1,0.058,0.174,0.167,1,12.326581196581197,4068.812207836365,447.2764610741252,584
1,0.058,0.174,0.167,1,11.5650522317189,4290.122207836351,467.8681905929552,568
1,0.058,0.174,0.167,1,12.079629629629629,4223.128074295084,469.6305254395588,564
1,0.058,0.174,0.167,1,10.070157513835674,4547.11244121761,450.6577678120743,551
1,0.058,0.174,0.167,1,10.817283950617282,4525.7908174878485,465.04138406530626,560
