Tag;Instance;Setting;Config;Seed;Timestamp
<<<<<<< HEAD
1, 0.058, 0.058, 0.116, 1.0, 1.0;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xconf;1;20240613-095929
1, 0.058, 0.058, 0.116, 1.0, 1.0;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xconf;2;20240613-095930
1, 0.058, 0.058, 0.116, 1.0, 1.0;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xconf;3;20240613-095932
1, 0.058, 0.058, 0.116, 1.0, 1.0;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xconf;1;20240613-095933
1, 0.058, 0.058, 0.116, 1.0, 1.0;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xconf;2;20240613-095934
1, 0.058, 0.058, 0.116, 1.0, 1.0;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xconf;3;20240613-095936
1, 0.058, 0.058, 0.116, 1.0, 1.0;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xconf;1;20240613-095938
1, 0.058, 0.058, 0.116, 1.0, 1.0;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xconf;2;20240613-095939
1, 0.058, 0.058, 0.116, 1.0, 1.0;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\De\Weighted2.xconf;3;20240613-095941
