# W2 W3 ItemPileOneAvg OrdersHandled DistanceTraveled TripCount OrderThroughputTimeAvg OrderTurnoverTimeAvg OrderPileOneAvg 
0.052 0.052 7.617943548387096 472 4937.869494068257 296 97.67249152773519 447.04976290527605 4.920668377321603
0.552 0.552 7.106603853662677 475 5043.216927307142 311 90.08676861791169 427.6987934204102 4.659315847551142
1.052 1.052 7.558813945910721 463 5143.08812651178 296 102.41543791774431 459.986510161579 4.8363778918214395
1.552 1.552 7.006761030480196 455 5269.594180895114 312 92.77845782616349 443.5908617159098 4.532839290903808
2.052 2.052 7.282099936748893 474 5128.749246139951 309 87.98047183566544 451.2696168208651 4.811195445920304
2.552 2.552 7.140920701265529 450 4981.23914220736 301 95.25677428644828 439.71444876813416 4.728753047718565
3.052 3.052 6.430686090225564 443 5276.26861470756 324 100.58797316940185 452.41319590458056 4.259367167919799
3.552 3.552 6.888128306878307 471 5082.380419109466 319 93.00485661917624 449.4702021413915 4.582671957671958
4.052 4.052 6.940563725490196 450 5285.923750778647 310 102.39578492405855 462.96851037616887 4.515931372549019
0.052 0.38099999999999995 6.5736284412755 441 5165.909643855663 320 105.41272287910532 453.4254328056974 4.280204000792236
0.552 0.881 6.603641456582634 463 5193.423435889336 319 93.58674219480474 486.3458604413793 4.496918767507003
1.052 1.381 6.875841750841751 449 5196.2015555659045 309 86.42245080114328 478.96202851207886 4.473169191919192
1.552 1.881 7.135949355304194 461 5058.970333012957 307 96.38662575350546 451.49875792961893 4.685165014197272
2.052 2.3810000000000002 6.3923485183547095 449 5225.400864031676 327 92.83090507245603 462.9515564250648 4.235913312693498
2.552 2.8810000000000002 7.14077380952381 462 5183.047711182594 314 93.84241804186209 477.807379809703 4.539285714285715
3.052 3.3810000000000002 7.693939393939394 478 5024.924694898662 298 94.77988517682016 461.0118542784037 4.993939393939394
3.552 3.8810000000000002 6.935574229691877 486 5101.652701289481 319 88.82342139818833 466.2034816800601 4.671148459383754
4.052 4.381 7.298675833969952 478 5137.923559957659 316 89.80018485736744 465.7776870296098 4.685841609371021
0.052 0.71 7.226113671274962 475 5084.844916840754 315 89.94913497492789 429.3707190351582 4.7192012288786485
0.552 1.21 7.46082018340083 489 5072.748476848824 307 92.27931795371657 459.76303094734016 4.9617185681701805
1.052 1.71 7.100713012477718 461 5114.5941298876505 313 95.34580293930934 438.3681383347207 4.60992275698158
1.552 2.21 6.942063492063492 473 5192.214389434964 316 94.8558464725336 441.3763629260553 4.606415343915344
2.052 2.71 7.48657531194296 489 5098.859783076781 305 100.56975416827791 452.61172949817956 4.9365901663695775
2.552 3.21 6.755059036309036 443 5283.577385406474 316 101.37938919888497 449.74871767871684 4.388240513240514
3.052 3.71 6.723809523809524 469 5252.609290298055 321 91.87867605269084 459.19762389016876 4.466666666666667
3.552 4.21 6.113284713284713 441 5231.045091567839 335 94.83861885726071 432.8900876550603 4.084963534963534
4.052 4.71 6.678976455447043 463 5227.902393643531 328 92.00250381005308 418.34337474965196 4.366416837005072
0.052 1.039 6.102167182662538 429 5442.063482204883 328 98.5481321360221 460.2454936249428 4.0562435500516
0.552 1.539 7.2470568783068785 476 5142.690410002977 319 96.24604583991966 476.8665902150687 4.650595238095238
1.052 2.0389999999999997 7.282878151260505 472 5162.241159824882 314 97.28568570057665 458.5407287123052 4.686327030812325
1.552 2.5389999999999997 6.879725829725829 471 5249.052592921702 319 92.37124185375397 437.2268380470124 4.536435786435786
2.052 3.0389999999999997 7.1042016806722685 480 5159.98796359318 317 93.14992541406575 473.40180041052395 4.658823529411765
2.552 3.5389999999999997 7.228291316526611 470 5308.118682926156 318 92.21846616606494 469.7538198481009 4.615176979882862
3.052 4.039 6.964366352601647 454 5264.603051959087 315 99.92274241976098 463.5850747145195 4.449011119599355
3.552 4.539 7.527323348694317 482 4973.562985996821 305 93.45189937726363 435.28484262017855 4.936779953917051
