# W2 W3 ItemPileOneAvg Zb_Over_Za DistanceTraveled Zc_Over_Za DistanceTraveledPerBot TripCount OrderThroughputTimeAvg OrderTurnoverTimeAvg OrderPileOneAvg OrdersHandled ItemThroughputRateScore OrderThroughputRate 
0.052 0.052 7.617943548387096 1.3 4937.869494068257 5.28 822.9782490113762 296 97.67249152773519 447.04976290527605 4.920668377321603 472 0.577718176259979 944
0.552 0.552 7.106603853662677 1.3 5043.216927307142 5.28 840.5361545511904 311 90.08676861791169 427.6987934204102 4.659315847551142 475 0.5747683535326873 950
1.052 1.052 7.558813945910721 1.3 5143.08812651178 5.28 857.1813544186299 296 102.41543791774431 459.986510161579 4.8363778918214395 463 0.5724667421057711 926
1.552 1.552 7.006761030480196 1.744186046511628 5269.594180895114 6.36046511627907 878.2656968158523 312 92.77845782616349 443.5908617159098 4.532839290903808 455 0.5594238383328671 910
2.052 2.052 7.282099936748893 1.744186046511628 5128.749246139951 6.36046511627907 854.7915410233251 309 87.98047183566544 451.2696168208651 4.811195445920304 474 0.5690856003203515 948
2.552 2.552 7.140920701265529 1.744186046511628 4981.23914220736 6.36046511627907 830.2065237012266 301 95.25677428644828 439.71444876813416 4.728753047718565 450 0.5420449031861507 900
3.052 3.052 6.430686090225564 1.2371134020618555 5276.26861470756 5.546391752577319 879.37810245126 324 100.58797316940185 452.41319590458056 4.259367167919799 443 0.5348415506896601 886
3.552 3.552 6.888128306878307 1.2371134020618555 5082.380419109466 5.546391752577319 847.063403184911 319 93.00485661917624 449.4702021413915 4.582671957671958 471 0.5624640043136384 942
4.052 4.052 6.940563725490196 1.2371134020618555 5285.923750778647 5.546391752577319 880.9872917964412 310 102.39578492405855 462.96851037616887 4.515931372549019 450 0.5502439206449468 900
0.052 0.38099999999999995 6.5736284412755 10.204081632653061 5165.909643855663 2.642857142857143 860.9849406426105 320 105.41272287910532 453.4254328056974 4.280204000792236 441 0.540372782056631 882
0.552 0.881 6.603641456582634 10.204081632653061 5193.423435889336 2.642857142857143 865.5705726482228 319 93.58674219480474 486.3458604413793 4.496918767507003 463 0.5425898027887116 926
1.052 1.381 6.875841750841751 10.204081632653061 5196.2015555659045 2.642857142857143 866.0335925943174 309 86.42245080114328 478.96202851207886 4.473169191919192 449 0.5490070061675151 898
1.552 1.881 7.135949355304194 10.204081632653061 5058.970333012957 2.642857142857143 843.1617221688261 307 96.38662575350546 451.49875792961893 4.685165014197272 461 0.5571496138648255 922
2.052 2.3810000000000002 6.3923485183547095 10.204081632653061 5225.400864031676 2.642857142857143 870.9001440052793 327 92.83090507245603 462.9515564250648 4.235913312693498 449 0.5422755126498343 898
2.552 2.8810000000000002 7.14077380952381 10.204081632653061 5183.047711182594 2.642857142857143 863.841285197099 314 93.84241804186209 477.807379809703 4.539285714285715 462 0.576965131443276 924
3.052 3.3810000000000002 7.693939393939394 10.204081632653061 5024.924694898662 2.642857142857143 837.487449149777 298 94.77988517682016 461.0118542784037 4.993939393939394 478 0.581309365748339 956
3.552 3.8810000000000002 6.935574229691877 10.204081632653061 5101.652701289481 2.642857142857143 850.2754502149136 319 88.82342139818833 466.2034816800601 4.671148459383754 486 0.5733314974356899 972
4.052 4.381 7.298675833969952 10.204081632653061 5137.923559957659 2.642857142857143 856.3205933262765 316 89.80018485736744 465.7776870296098 4.685841609371021 478 0.5896055338570039 956
0.052 0.71 7.226113671274962 9.708737864077671 5084.844916840754 2.4271844660194177 847.4741528067924 315 89.94913497492789 429.3707190351582 4.7192012288786485 475 0.5765110798214697 950
0.552 1.21 7.46082018340083 9.708737864077671 5072.748476848824 2.4271844660194177 845.458079474804 307 92.27931795371657 459.76303094734016 4.9617185681701805 489 0.5824380942590424 978
1.052 1.71 7.100713012477718 9.708737864077671 5114.5941298876505 2.4271844660194177 852.4323549812751 313 95.34580293930934 438.3681383347207 4.60992275698158 461 0.5636853480806859 922
1.552 2.21 6.942063492063492 9.708737864077671 5192.214389434964 2.4271844660194177 865.3690649058273 316 94.8558464725336 441.3763629260553 4.606415343915344 473 0.5661385548288758 946
2.052 2.71 7.48657531194296 9.708737864077671 5098.859783076781 2.4271844660194177 849.8099638461302 305 100.56975416827791 452.61172949817956 4.9365901663695775 489 0.5862658476390585 978
2.552 3.21 6.755059036309036 9.708737864077671 5283.577385406474 2.4271844660194177 880.5962309010789 316 101.37938919888497 449.74871767871684 4.388240513240514 443 0.5441080870350623 886
3.052 3.71 6.723809523809524 9.708737864077671 5252.609290298055 2.4271844660194177 875.4348817163426 321 91.87867605269084 459.19762389016876 4.466666666666667 469 0.5626143377868843 938
3.552 4.21 6.113284713284713 9.708737864077671 5231.045091567839 2.4271844660194177 871.8408485946399 335 94.83861885726071 432.8900876550603 4.084963534963534 441 0.5296586591299705 882
4.052 4.71 6.678976455447043 9.708737864077671 5227.902393643531 2.4271844660194177 871.3170656072551 328 92.00250381005308 418.34337474965196 4.366416837005072 463 0.5636777814078799 926
