W2,W3,ItemPileOneAvg,,DistanceTraveled,,OrderTurnoverTimeAvg,,OrdersHandled,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
""
Total,,7.2,0.42,5149.29,106.37,460.98,18.83,469.48,16.38,225
""
0.052,0.052,7.11,0.36,5127.59,129.5,448.24,10.61,461.44,12.2
0.052,0.381,6.96,0.41,5143.05,68.03,467.11,11.8,463.0,15.25
0.052,0.71,6.94,0.43,5173.16,80.66,442.41,14.13,467.0,17.23
0.052,1.039,7.07,0.41,5198.47,135.97,459.17,14.59,466.78,16.35
1.0,1.0,7.67,0.37,5058.17,51.75,454.31,16.03,483.22,15.75
10.0,0.052,7.05,0.37,5150.43,125.72,453.55,20.96,471.56,11.25
10.0,0.381,7.05,0.35,5144.45,80.25,462.2,24.56,467.33,15.8
10.0,0.71,6.93,0.24,5243.67,88.67,473.31,21.85,458.89,8.72
10.0,1.039,7.35,0.17,5124.29,73.1,455.69,23.06,470.22,10.65
2.042,0.052,7.43,0.4,5089.2,77.97,453.03,18.28,479.33,13.47
2.042,0.381,7.19,0.31,5146.63,105.07,465.58,22.65,471.44,14.68
2.042,0.71,7.11,0.34,5200.72,65.52,462.24,19.71,466.0,16.95
2.042,1.039,7.6,0.53,5088.64,52.46,468.19,19.86,482.44,17.41
4.031,0.052,7.16,0.61,5159.56,145.72,459.77,12.39,468.11,26.49
4.031,0.381,7.21,0.29,5146.22,60.11,458.13,20.3,470.67,17.41
4.031,0.71,7.0,0.43,5201.54,108.11,462.63,19.79,461.89,16.71
4.031,1.039,7.27,0.26,5141.06,91.04,466.05,18.9,464.89,12.8
6.021,0.052,7.15,0.34,5139.67,111.0,454.59,23.48,469.0,15.8
6.021,0.381,7.27,0.4,5125.66,121.29,463.76,24.08,470.56,19.03
6.021,0.71,7.08,0.37,5195.15,85.79,460.5,8.65,470.56,16.89
6.021,1.039,7.53,0.24,5077.23,85.52,465.19,10.74,475.89,10.66
8.01,0.052,7.33,0.56,5098.36,131.18,471.56,18.1,476.89,21.72
8.01,0.381,6.92,0.39,5212.45,164.43,463.45,17.76,460.22,12.55
8.01,0.71,7.06,0.29,5217.18,97.28,467.48,19.4,462.89,12.0
8.01,1.039,7.45,0.36,5129.75,86.42,466.29,15.72,476.78,17.9
""
