;ItemPileOneAvg;OrderTurnoverTimeAvg;DistanceTraveled;Za;Zb;Zc;W2;W3;Mean;StdDev
ItemPileOneAvg;1;-0.16857968190377978;-0.7330803628769883;0.2415180441307528;-0.11739850544184385;-0.16022069550853377;-0.048851819087538356;0.16844975120461983;7.195806707284255;0.41629037567759364
OrderTurnoverTimeAvg;-0.16857968190377978;1;0.2779967408721144;0.17927156908167277;-0.12977984664308567;-0.0789668114692956;0.13797256040956687;0.08438706149251553;460.9774127419293;18.783341469297813
DistanceTraveled;-0.7330803628769883;0.2779967408721144;1;-0.033767032255952865;0.030445773461051904;0.008068323971632874;0.08313039277063705;0.0075290560284703625;5149.292178141096;106.13812750120783
Za;0.2415180441307528;0.17927156908167277;-0.033767032255952865;1.0000000000000002;-0.5527062344547009;-0.6029545639368029;0.2868423771393169;0.7705637643757811;0.17565333333333324;0.06359339448576581
Zb;-0.11739850544184385;-0.12977984664308567;0.030445773461051904;-0.5527062344547009;1;-0.33157515062129383;-0.5788367253088869;-0.04115780609304695;0.2598666666666675;0.31114623928664453
Zc;-0.16022069550853377;-0.0789668114692956;0.008068323971632874;-0.6029545639368029;-0.33157515062129383;1.0000000000000002;0.2299854926546024;-0.8328455349802736;0.35018666666666565;0.10178548597690906
W2;-0.048851819087538356;0.13797256040956687;0.08313039277063705;0.2868423771393169;-0.5788367253088869;0.2299854926546024;1;-0.055318674113072404;4.864960000000002;3.4214377104369498
W3;0.16844975120461983;0.08438706149251553;0.0075290560284703625;0.7705637643757811;-0.04115780609304695;-0.8328455349802736;-0.055318674113072404;0.9999999999999999;0.5636800000000004;0.37124317852318817
