#TimeStamp;TripTime;Type
35;12;O
41;24;O
49;26;O
55;15;O
75;25;O
77;26;O
106;22;O
157;26;O
158;29;O
165;18;O
166;30;O
192;19;O
214;14;O
251;11;O
281;7;O
290;20;O
291;34;O
299;18;O
321;15;O
328;23;O
341;17;O
388;18;O
392;36;O
412;20;O
432;18;O
434;13;O
455;33;O
480;29;O
497;16;O
526;13;O
527;21;O
566;15;O
571;10;O
598;19;O
600;33;O
605;14;O
610;18;O
635;17;O
651;21;O
678;20;O
688;22;O
729;16;O
770;38;O
778;26;O
798;25;O
798;24;O
803;19;O
813;13;O
876;11;O
897;23;O
910;23;O
930;19;O
933;22;O
989;24;O
991;40;O
1002;33;O
1009;17;O
1034;22;O
1038;21;O
1097;23;O
1099;31;O
1101;20;O
1122;29;O
1126;32;O
1139;24;O
1233;27;O
1264;26;O
1269;22;O
1275;38;O
1276;33;O
1310;26;O
1320;23;O
1332;16;O
1377;19;O
1390;28;O
1404;31;O
1416;26;O
1430;24;O
1435;28;O
1470;26;O
1528;22;O
1533;17;O
1539;20;O
1546;26;O
1554;20;O
1572;7;O
1599;10;O
1631;29;O
1645;21;O
1672;13;O
1681;31;O
1690;10;O
1705;25;O
1715;13;O
1754;24;O
1763;10;O
1779;22;O
1793;19;O
