Xa,Xb,Xc,OrdersHandled
0.255,0.2458333333333333,0.5,433.77777777777777
0.47600000000000003,0.25,0.275,452.6666666666667
0.32583333333333336,0.175,0.5,442.22222222222223
0.5298333333333334,0.16666666666666666,0.30400000000000005,455.6666666666667
0.5128333333333334,0.1875,0.3,448.8888888888889
0.3343333333333333,0.16666666666666666,0.5,453.0740740740741
0.6261666666666666,0.175,0.2,459.6666666666667
0.35700000000000004,0.30833333333333335,0.33349999999999996,451.3333333333333
0.425,0.4083333333333333,0.1665,462.27777777777777
0.391,0.37916666666666665,0.229,453.8888888888889
0.30883333333333335,0.32083333333333336,0.37099999999999994,461.3333333333333
0.2946666666666667,0.225,0.47900000000000004,455.0
0.2946666666666667,0.5083333333333333,0.196,454.0
0.5921666666666667,0.21666666666666667,0.1915,459.1111111111111
0.5383333333333333,0.2875,0.175,456.3333333333333
0.629,0.16666666666666666,0.20400000000000001,452.8888888888889
0.5468333333333334,0.2875,0.1665,456.6666666666667
0.32016666666666665,0.34583333333333327,0.33349999999999996,457.6666666666667
0.3796666666666667,0.4458333333333334,0.175,463.3333333333333
0.6658333333333333,0.16666666666666666,0.1665,473.3333333333333
0.3428333333333333,0.325,0.33349999999999996,453.3333333333333
0.6488333333333334,0.18333333333333332,0.1665,478.55555555555554
0.3031666666666667,0.5208333333333334,0.175,455.3333333333333
0.5950000000000001,0.18333333333333332,0.221,458.6666666666667
0.5553333333333333,0.25416666666666665,0.1915,467.3333333333333
0.6091666666666666,0.225,0.1665,468.1111111111111
0.6460000000000001,0.1875,0.1665,483.3333333333333
0.3343333333333333,0.3875,0.279,478.3333333333333
0.6176666666666667,0.2,0.1835,484.6666666666667
