W2,W3,ItemPileOneAvg,,DistanceTraveled,,OrderTurnoverTimeAvg,,OrdersHandled,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
""
Total,,7.51,0.38,5065.34,108.1,464.92,16.7,479.33,15.96,81
""
0.01,1.0,7.57,0.44,5076.46,59.44,465.78,13.42,487.11,16.47
0.237,1.0,7.58,0.26,5039.3,79.15,455.08,17.35,484.56,13.76
0.464,1.0,7.43,0.51,5064.03,122.05,463.25,18.81,475.22,18.21
0.691,1.0,7.66,0.15,5019.13,80.8,470.97,11.89,485.33,10.34
0.919,1.0,7.42,0.43,5077.78,138.6,456.85,14.72,477.56,15.29
1.0,1.0,7.5,0.46,5087.28,110.51,456.0,12.83,477.44,17.84
1.146,1.0,7.18,0.32,5182.66,89.42,473.38,14.99,462.33,13.55
1.373,1.0,7.67,0.32,5031.92,133.89,464.51,12.17,482.0,14.18
1.6,1.0,7.61,0.32,5009.45,63.31,478.42,21.32,482.44,14.22
""
