#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
<<<<<<<< HEAD:Material/Instances/0.Weighted30min Demand separate/De/Weighted2-De_[[1, 0.058, 0.058]]_1_[0.116, 1.0, 1.0].csv-2/inventorylevel.csv
0;0.6;100;0;0;0;0;0;0;0;0;0
599.68;0.39;100;0;0;0;0;0;0;0;0;0
1199.86;0.2;100;0;0;0;0;0;0;0;0;0
1799.95;0.07;100;0;0;0;0;0;0;0;0;0
========
0;0.83;100;0;0;0;0;0;0;0;0;0
599.75;0.7;100;0;0;0;0;0;0;0;0;0
1199.89;0.55;100;0;0;0;0;0;0;0;0;0
1799.62;0.4;100;0;0;0;0;0;0;0;0;0
>>>>>>>> 1bbb1cb (Plot per demand):Material/Instances/0.Weighted30min Demand combined/Weighted1/WeightedScenario-De_whigh_2.csv-2/inventorylevel.csv
