#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.6;100;0;0;0;0;0;0;0;0;0
599.71;0.45;100;0;0;0;0;0;0;0;0;0
1199.97;0.29;100;0;0;0;0;0;0;0;0;0
1799.95;0.16;100;0;0;0;0;0;0;0;0;0
