#TimeStamp;TripTime;Type
27;10;O
42;15;O
46;21;O
51;25;O
64;20;O
69;18;O
118;17;O
127;17;O
142;20;O
166;18;O
181;20;O
202;26;O
221;15;O
229;24;O
258;22;O
269;22;O
286;7;O
308;17;O
321;14;O
358;22;O
363;14;O
376;13;O
409;24;O
411;13;O
429;15;O
440;19;O
456;16;O
458;15;O
482;15;O
495;22;O
498;25;O
540;13;O
545;17;O
569;17;O
580;19;O
593;19;O
601;29;O
619;7;O
628;22;O
654;18;O
682;24;O
714;51;O
723;20;O
731;16;O
740;25;O
762;22;O
813;17;O
818;6;O
857;22;O
860;10;O
885;18;O
888;25;O
902;22;O
945;15;O
946;9;O
948;25;O
977;15;O
990;27;O
991;17;O
1024;22;O
1034;24;O
1062;28;O
1098;24;O
1101;14;O
1120;30;O
1135;21;O
1136;17;O
1142;26;O
1188;18;O
1199;19;O
1218;24;O
1273;24;O
1284;16;O
1309;26;O
1315;30;O
1349;15;O
1364;20;O
1377;20;O
1406;22;O
1419;21;O
1426;19;O
1454;21;O
1465;22;O
1487;18;O
1501;29;O
1515;28;O
1527;13;O
1543;24;O
1571;19;O
1581;18;O
1582;19;O
1614;27;O
1628;21;O
1640;20;O
1666;15;O
1666;14;O
1693;9;O
1719;19;O
1777;16;O
1778;19;O
1783;28;O
1791;11;O
