Tag;Instance;Setting;Config;Seed;Timestamp
w0.85;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183543
w0.85;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183544
w0.85;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183545
w0.85;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183546
w0.875;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183547
w0.875;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183548
w0.875;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183549
w0.875;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183550
w0.9;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183551
w0.9;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183552
w0.9;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183553
w0.9;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183554
wp;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183555
wp;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183555
wp;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183556
wp;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183557
wr;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183558
wr;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183559
wr;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183600
wr;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183601
w0.85;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183602
w0.85;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183603
w0.85;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183604
w0.85;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183605
w0.875;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183606
w0.875;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183607
w0.875;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183608
w0.875;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183609
w0.9;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183610
w0.9;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183611
w0.9;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183612
w0.9;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183612
wp;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183613
wp;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183614
wp;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;1;20240602-183615
wp;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xinst;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xsett;..\..\..\..\Material\Instances\0.Weighted30min\WeightedScenario.xconf;2;20240602-183616
