# OrderThroughputTimeAvg ItemThroughputRate ItemThroughputRateScore OrderTurnoverTimeAvg OrdersHandled TripDistance LateOrdersFractional OrderLatenessAvg ISIdleTimeAvg TimingDecisionsOverall InvCombinedAvgRank TimeMoving TimeQueueing DistanceTraveledPerBot ItemPileOneAvg OrderThroughputRate BundlesHandled OrderOffsetAvg OSIdleTimeAvg TripTime TripTimeWithoutQueueing 
137.8709330740709 1036 0.9592592592592593 500.31537978881187 330 13.893946536707922 0 0 1 0.5362432000000019 0 328.96250503504007 904.1500533976796 308.4456131149159 7.546882591093116 660 0 -10140.220891483203 0.06362258435504677 55.91332358380446 15.185843701026103 
137.8709330740709 1036 0.9592592592592593 500.31537978881187 330 13.893946536707922 0 0 1 0.3697143000000023 0 328.96250503504007 904.1500533976796 308.4456131149159 7.546882591093116 660 0 -10140.220891483203 0.06362258435504677 55.91332358380446 15.185843701026103 
139.67784853757198 1040 0.9629629629629629 534.5541228762864 338 14.271654881154411 0 0 1 0.46008640000000167 0 322.4900764433689 911.682805915204 305.4134144567044 7.757865497076023 676 0 -10132.084547279821 0.057845936880004584 57.96987009646481 15.367869820053409 
143.84962208916863 1036 0.9592592592592593 570.4173616116693 341 14.643457644007299 0 0 1 0.4683453000000027 0 314.00924023286603 926.7431241150567 300.1908817021496 8.154863654863654 682 0 -10097.32772907445 0.06223733901889746 60.65758219830744 15.45060053415833 
132.99847990582848 1038 0.9611111111111111 559.4543366745729 346 13.979264441723899 0 0 1 0.41004620000000114 0 340.61599418897237 899.1235779386428 321.5230821596497 7.234545454545454 692 0 -10105.068888023097 0.05864008605518392 54.088601543096104 14.996272067502934 
146.63860848519712 1038 0.9611111111111114 501.4491029500115 330 14.758995056854387 0 0 1 0.38641120000000273 0 271.5687835321116 932.5855671209152 256.80651398926636 10.00925925925926 660 0 -10080.388565031073 0.05819820957864882 69.29924221695698 15.702370543341171 
145.3232836582199 1038 0.9611111111111111 501.4444317575151 339 14.223018905952834 0 0 1 0.33150330000000217 0 255.40007068903378 984.5353600321725 237.52441572941234 10.19880174291939 678 0 -10107.930893124263 0.061258406857006974 74.01929266963026 15.065079494051073 
143.4917597680613 1048 0.9703703703703703 517.7274192649653 344 13.612903225806466 0 0 1 0.35846570000000155 0 228.0073607231214 1019.129243166722 211.00000000000023 11.158333333333333 688 0 -10128.337246276351 0.05256137825044082 80.05356505162598 14.30329129893424 
146.3675406229969 1032 0.9555555555555557 573.6855973187737 337 13.765063722217022 0 0 1 0.3769851000000014 0 293.4429667991834 943.5268571550048 276.6777808165622 8.433333333333334 674 0 -10086.648124472864 0.06531258617788911 61.66953540455831 14.727900720229712 
156.84598524611457 1040 0.9629629629629629 583.3189362267486 326 14.88235294117648 0 0 1 0.33755670000000076 0 213.86760820559834 1022.6194942456617 202.40000000000015 13.237806637806637 652 0 -9940.954780052518 0.06050774812288768 90.6780785802957 15.485468709291167 
148.4231852622106 1040 0.9629629629629629 519.1559957669498 343 14.973723818119549 0 0 1 0.36086310000000194 0 213.62762843080708 1008.1690598996513 203.64264392642585 13.228138528138528 686 0 -10088.904363707012 0.06046525208712649 89.58071460483526 15.45063667103738 
149.20229542101157 1028 0.9518518518518518 555.41840873644 337 14.333333333333343 0 0 1 0.33865250000000185 0 218.39904542877852 1028.3213564357113 202.10000000000014 12.366666666666667 674 0 -10111.425290451698 0.06798990437524122 87.64362024518601 14.713027590171025 
