W2,W3,ItemPileOneAvg,,DistanceTraveled,,OrderTurnoverTimeAvg,,OrdersHandled,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
""
Total,,7.81,0.37,4971.38,94.78,456.67,18.33,490.68,14.2,72
""
0.01,1.0,7.75,0.27,5012.39,98.47,452.75,22.53,491.33,13.81
0.151,1.0,7.59,0.43,5030.21,102.79,454.69,20.33,483.44,15.74
0.293,1.0,7.9,0.41,4961.19,86.79,439.79,15.24,492.89,12.24
0.434,1.0,7.87,0.23,4955.74,80.89,456.44,11.44,493.11,10.43
0.576,1.0,7.74,0.28,4973.62,73.13,462.11,16.62,489.56,16.06
0.717,1.0,7.91,0.48,4970.4,89.61,461.19,12.18,489.44,17.9
0.859,1.0,8.06,0.29,4905.67,101.14,463.44,15.67,498.11,8.94
1.0,1.0,7.67,0.42,4961.8,103.13,462.96,23.12,487.56,16.93
""
