#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
12;35.50;3.50;False;False;True;False;144;19.50;1.50;True;False;False;False;2;19.289953104293602;0.011235935686451494;19.215000000000146;19.36490620858706
12;35.50;3.50;False;False;True;False;146;21.50;1.50;True;False;False;False;1;19.23842712474641;0;19.23842712474641;19.23842712474641
12;35.50;3.50;False;False;True;False;147;22.50;1.50;True;False;False;False;1;24.16944444444448;0;24.16944444444448;24.16944444444448
12;35.50;3.50;False;False;True;False;149;24.50;1.50;True;False;False;False;1;17.05944444444441;0;17.05944444444441;17.05944444444441
12;35.50;3.50;False;False;True;False;151;12.50;2.50;True;False;False;False;1;22.816392485354754;0;22.816392485354754;22.816392485354754
12;35.50;3.50;False;False;True;False;153;14.50;2.50;True;False;False;False;2;19.77805555555574;1.3167038580244486;18.966666666666924;20.589444444444553
12;35.50;3.50;False;False;True;False;155;16.50;2.50;True;False;False;False;2;18.19277777777819;0.02826913580235464;18.07388888888954;18.311666666666838
12;35.50;3.50;False;False;True;False;157;18.50;2.50;True;False;False;False;1;16.03120490252411;0;16.03120490252411;16.03120490252411
12;35.50;3.50;False;False;True;False;158;19.50;2.50;True;False;False;False;2;17.473611111111097;0.022637191358048023;17.367222222222154;17.58000000000004
12;35.50;3.50;False;False;True;False;160;21.50;2.50;True;False;False;False;1;13.89064934696836;0;13.89064934696836;13.89064934696836
12;35.50;3.50;False;False;True;False;161;22.50;2.50;True;False;False;False;2;15.229444444444454;1.3104006172839289;14.420000000000016;16.03888888888889
12;35.50;3.50;False;False;True;False;162;23.50;2.50;True;False;False;False;2;13.607499999999945;0.5085572191650084;13.103239541920487;14.111760458079402
12;35.50;3.50;False;False;True;False;163;24.50;2.50;True;False;False;False;5;12.41355555555473;3.3855381084499974;9.1839754873738;13.730100984335877
12;35.50;3.50;False;False;True;False;179;12.50;4.50;True;False;False;False;1;19.92277777777781;0;19.92277777777781;19.92277777777781
12;35.50;3.50;False;False;True;False;181;14.50;4.50;True;False;False;False;2;22.150743138382154;0.1821187481214706;21.848982680302015;22.452503596462293
12;35.50;3.50;False;False;True;False;183;16.50;4.50;True;False;False;False;1;18.379906208587045;0;18.379906208587045;18.379906208587045
12;35.50;3.50;False;False;True;False;184;17.50;4.50;True;False;False;False;1;16.902128430809398;0;16.902128430809398;16.902128430809398
12;35.50;3.50;False;False;True;False;185;18.50;4.50;True;False;False;False;1;17.45444444444456;0;17.45444444444456;17.45444444444456
12;35.50;3.50;False;False;True;False;189;22.50;4.50;True;False;False;False;2;13.565180389903844;0.07425978114990588;13.372489210617005;13.757871569190684
12;35.50;3.50;False;False;True;False;190;23.50;4.50;True;False;False;False;1;13.226017319698485;0;13.226017319698485;13.226017319698485
12;35.50;3.50;False;False;True;False;191;24.50;4.50;True;False;False;False;2;15.716111111111083;0.13289876543207438;15.458333333333329;15.973888888888837
28;35.50;9.50;False;False;True;False;228;19.50;7.50;True;False;False;False;1;19.48676045807929;0;19.48676045807929;19.48676045807929
28;35.50;9.50;False;False;True;False;230;21.50;7.50;True;False;False;False;3;19.87459596818447;0.06326953076558692;19.587583002029533;20.056666666666843
28;35.50;9.50;False;False;True;False;233;24.50;7.50;True;False;False;False;1;17.19935065303207;0;17.19935065303207;17.19935065303207
28;35.50;9.50;False;False;True;False;239;16.50;8.50;True;False;False;False;2;19.597500000000537;0.34938407257105975;19.179538235857535;20.015461764143538
28;35.50;9.50;False;False;True;False;240;17.50;8.50;True;False;False;False;1;16.940649346968485;0;16.940649346968485;16.940649346968485
28;35.50;9.50;False;False;True;False;241;18.50;8.50;True;False;False;False;1;16.732222222222333;0;16.732222222222333;16.732222222222333
28;35.50;9.50;False;False;True;False;244;21.50;8.50;True;False;False;False;1;33.66055555555545;0;33.66055555555545;33.66055555555545
28;35.50;9.50;False;False;True;False;246;23.50;8.50;True;False;False;False;2;16.841713562373286;10.462341948445903;14.554538235857422;19.12888888888915
28;35.50;9.50;False;False;True;False;247;24.50;8.50;True;False;False;False;2;12.052222222222213;0.017180642656989813;11.95953823585728;12.144906208587145
