Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;12.50;0;0;0;0;0;0;0;0;1800;1800
OutputStation0;35.50;3.50;231;164;34;27.96549019607844;561.4409838729435;4.04444444444448;83.43176045807962;6.794117647058823;913.2799568424707;1800
OutputStation1;35.50;9.50;255;188;35;29.903274995267086;280.90247220436447;4.1666666666667425;78.86963202726997;7.285714285714286;823.3368686353319;1800
OutputStation2;0.50;6.50;244;167;32;30.74038487542623;602.7539614531421;4.04444444444448;84.83323954192034;7.625;872.8420996591285;1800
