#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.6;100;0;0;0;0;0;0;0;0;0
599.73;0.42;100;0;0;0;0;0;0;0;0;0
1199.9;0.25;100;0;0;0;0;0;0;0;0;0
1799.97;0.13;100;0;0;0;0;0;0;0;0;0
