#TimeStamp;DistanceTraveled
59.94;308.94
119.97;133.25
179.93;140.71
239.99;141.68
300;116.07
359.77;148.8
419.63;86.55
479.83;125.44
539.67;34.57
599.8;123
660;113.22
719.95;142
779.92;212.91
839.93;91.3
899.94;172.49
959.8;109.81
1019.78;109.57
1079.96;187.89
1139.79;198.77
1199.99;167.22
1259.89;110.09
1319.62;164.9
1379.59;87.78
1439.83;185.91
1499.71;154.72
1559.97;244.73
1619.78;152.66
1679.99;107.56
1739.76;74.24
1799.92;112.97
