#TimeStamp;DistanceTraveled
59.68;216.3
119.61;136.35
179.84;119.35
239.99;145.94
299.84;155.06
359.71;171.27
419.84;177.14
479.96;139.59
539.61;156.11
599.72;196.21
659.87;183.4
719.72;180.16
779.77;86.45
839.9;171.76
899.99;161.52
959.91;106.98
1019.99;178.56
1080;136.38
1139.98;191.6
1199.7;189.56
1259.87;177.74
1319.7;114.2
1379.98;183.58
1439.97;152.48
1499.99;171.85
1559.9;210.09
1619.63;196.05
1679.87;197.98
1739.91;209.01
1799.96;204.1
