Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;12.50;0;0;0;0;0;0;0;0;1800;1800
OutputStation0;35.50;3.50;239;172;31;31.490708465379157;551.5848244257062;4.051666666666961;71.28555555555545;7.709677419354839;886.8625033130584;1800
OutputStation1;35.50;9.50;266;194;35;31.43654277331854;334.0939384083489;4.04444444444448;76.67564934696861;7.6;778.7166882454303;1800
OutputStation2;0.50;6.50;226;164;35;26.633568748816703;381.0092165564252;4.04444444444448;84.3961183040343;6.457142857142857;938.4807359454586;1800
