#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
12;35.50;3.50;False;False;True;False;144;19.50;1.50;True;False;False;False;2;19.236991340150894;2.831101107953563;18.047222222222217;20.42676045807957
12;35.50;3.50;False;False;True;False;146;21.50;1.50;True;False;False;False;2;19.04365800681768;0.35148002175518855;18.62444444444452;19.46287156919084
12;35.50;3.50;False;False;True;False;149;24.50;1.50;True;False;False;False;2;15.065602451261995;0.02091794496379939;14.963333333333367;15.167871569190623
12;35.50;3.50;False;False;True;False;153;14.50;2.50;True;False;False;False;1;19.042222222222335;0;19.042222222222335;19.042222222222335
12;35.50;3.50;False;False;True;False;155;16.50;2.50;True;False;False;False;1;18.195281374239812;0;18.195281374239812;18.195281374239812
12;35.50;3.50;False;False;True;False;157;18.50;2.50;True;False;False;False;2;17.50994950783314;0.1232887384352916;17.26166666666677;17.758232348999513
12;35.50;3.50;False;False;True;False;158;19.50;2.50;True;False;False;False;4;18.411596323107148;0.5811526336847842;17.820555555555302;19.530180389904103
12;35.50;3.50;False;False;True;False;160;21.50;2.50;True;False;False;False;2;14.066201306063164;0.040505648163908656;13.923888888888996;14.208513723237331
12;35.50;3.50;False;False;True;False;161;22.50;2.50;True;False;False;False;3;13.945185185185172;0.15667325102867;13.713333333333367;14.402222222222008
12;35.50;3.50;False;False;True;False;162;23.50;2.50;True;False;False;False;1;14.21842712474654;0;14.21842712474654;14.21842712474654
12;35.50;3.50;False;False;True;False;163;24.50;2.50;True;False;False;False;1;13.753333333333337;0;13.753333333333337;13.753333333333337
12;35.50;3.50;False;False;True;False;183;16.50;4.50;True;False;False;False;1;17.42777777777792;0;17.42777777777792;17.42777777777792
12;35.50;3.50;False;False;True;False;184;17.50;4.50;True;False;False;False;3;18.726541611449818;3.0467566489961504;17.64064934696853;20.739992807078863
12;35.50;3.50;False;False;True;False;185;18.50;4.50;True;False;False;False;2;18.105371569190538;2.9808680555554075;16.884538235857235;19.32620490252384
12;35.50;3.50;False;False;True;False;189;22.50;4.50;True;False;False;False;1;14.337222222222408;0;14.337222222222408;14.337222222222408
12;35.50;3.50;False;False;True;False;190;23.50;4.50;True;False;False;False;3;13.914598365825375;0.9231594392290327;12.840649346968462;14.692683986364955
12;35.50;3.50;False;False;True;False;191;24.50;4.50;True;False;False;False;1;14.888888888888928;0;14.888888888888928;14.888888888888928
12;35.50;3.50;False;False;True;False;233;24.50;7.50;True;False;False;False;2;17.144170263127478;0.132037198725501;16.88722941514345;17.401111111111504
12;35.50;3.50;False;False;True;False;275;24.50;10.50;True;False;False;False;1;20.14166666666688;0;20.14166666666688;20.14166666666688
28;35.50;9.50;False;False;True;False;149;24.50;1.50;True;False;False;False;1;45.07352091615962;0;45.07352091615962;45.07352091615962
28;35.50;9.50;False;False;True;False;202;21.50;5.50;True;False;False;False;1;23.661204902523878;0;23.661204902523878;23.661204902523878
28;35.50;9.50;False;False;True;False;230;21.50;7.50;True;False;False;False;1;19.537409805048583;0;19.537409805048583;19.537409805048583
28;35.50;9.50;False;False;True;False;233;24.50;7.50;True;False;False;False;2;15.789949507832858;0.28410352448919113;15.413051959095014;16.166847056570703
28;35.50;9.50;False;False;True;False;240;17.50;8.50;True;False;False;False;1;70.9912049025254;0;70.9912049025254;70.9912049025254
28;35.50;9.50;False;False;True;False;241;18.50;8.50;True;False;False;False;2;17.526158006817525;2.501548673413789;16.407777777777824;18.644538235857226
28;35.50;9.50;False;False;True;False;244;21.50;8.50;True;False;False;False;3;14.992652722559512;0.27014476746880056;14.420000000000016;15.434531042932349
28;35.50;9.50;False;False;True;False;246;23.50;8.50;True;False;False;False;1;12.598239541920407;0;12.598239541920407;12.598239541920407
28;35.50;9.50;False;False;True;False;247;24.50;8.50;True;False;False;False;1;12.75287156919066;0;12.75287156919066;12.75287156919066
28;35.50;9.50;False;False;True;False;267;16.50;10.50;True;False;False;False;2;18.07689754873809;0.6008325941586321;17.528795097476177;18.625
28;35.50;9.50;False;False;True;False;268;17.50;10.50;True;False;False;False;1;16.88333333333344;0;16.88333333333344;16.88333333333344
28;35.50;9.50;False;False;True;False;269;18.50;10.50;True;False;False;False;2;17.086666666666645;0.00347222222222538;17.04499999999996;17.12833333333333
28;35.50;9.50;False;False;True;False;270;19.50;10.50;True;False;False;False;1;16.89509379141316;0;16.89509379141316;16.89509379141316
28;35.50;9.50;False;False;True;False;272;21.50;10.50;True;False;False;False;1;13.964999999999918;0;13.964999999999918;13.964999999999918
28;35.50;9.50;False;False;True;False;274;23.50;10.50;True;False;False;False;4;13.610348121337445;0.37217169981325365;12.722777777777878;14.115555555555716
28;35.50;9.50;False;False;True;False;275;24.50;10.50;True;False;False;False;2;14.246944444444502;0.14911867283954794;13.973888888888908;14.520000000000095
28;35.50;9.50;False;False;True;False;289;24.50;11.50;True;False;False;False;2;16.092128430808998;0.7655826122479185;15.473427124746081;16.710829736871915
28;35.50;9.50;False;False;True;False;317;24.50;13.50;True;False;False;False;2;16.93305555555571;0.885189043210132;16.267777777777837;17.598333333333585
28;35.50;9.50;False;False;True;False;331;24.50;14.50;True;False;False;False;3;17.64688551329766;0.7329690053745268;16.773888888888905;18.48510098433735
28;35.50;9.50;False;False;True;False;373;24.50;17.50;True;False;False;False;3;20.456390087709526;0.6657792522722251;19.757316013635318;21.35296536060423
44;0.50;6.50;False;False;True;False;136;11.50;1.50;True;False;False;False;1;21.40064934696852;0;21.40064934696852;21.40064934696852
44;0.50;6.50;False;False;True;False;192;11.50;5.50;True;False;False;False;2;15.33111111111129;0.15247469135826267;15.054999999999964;15.607222222222617
44;0.50;6.50;False;False;True;False;193;12.50;5.50;True;False;False;False;1;14.663888888888891;0;14.663888888888891;14.663888888888891
44;0.50;6.50;False;False;True;False;194;13.50;5.50;True;False;False;False;1;13.952590194951995;0;13.952590194951995;13.952590194951995
44;0.50;6.50;False;False;True;False;195;14.50;5.50;True;False;False;False;2;14.147269117928658;0.0007598246817578204;14.127777777777737;14.16676045807958
44;0.50;6.50;False;False;True;False;197;16.50;5.50;True;False;False;False;2;16.240786437627094;0.11224089719609216;16.00388888888915;16.477683986365037
44;0.50;6.50;False;False;True;False;198;17.50;5.50;True;False;False;False;2;16.287222222222397;0.05983403193734749;16.11425686161897;16.460187582825824
44;0.50;6.50;False;False;True;False;199;18.50;5.50;True;False;False;False;1;17.348333333333358;0;17.348333333333358;17.348333333333358
44;0.50;6.50;False;False;True;False;200;19.50;5.50;True;False;False;False;1;17.473888888889178;0;17.473888888889178;17.473888888889178
44;0.50;6.50;False;False;True;False;220;11.50;7.50;True;False;False;False;3;12.840401634174734;0.5265599252764016;12.044444444444451;13.465093791412983
44;0.50;6.50;False;False;True;False;221;12.50;7.50;True;False;False;False;1;13.003982680301732;0;13.003982680301732;13.003982680301732
44;0.50;6.50;False;False;True;False;223;14.50;7.50;True;False;False;False;3;14.306851851852079;0.038684053497846;14.116666666667243;14.509444444444512
44;0.50;6.50;False;False;True;False;225;16.50;7.50;True;False;False;False;1;17.643888888888796;0;17.643888888888796;17.643888888888796
44;0.50;6.50;False;False;True;False;226;17.50;7.50;True;False;False;False;3;16.54565174461038;0.11448911897935232;16.250649346968544;16.91500719292526
44;0.50;6.50;False;False;True;False;227;18.50;7.50;True;False;False;False;2;13.591475487376783;33.17815225047246;9.518506530309196;17.66444444444437
44;0.50;6.50;False;False;True;False;228;19.50;7.50;True;False;False;False;1;17.252871569190802;0;17.252871569190802;17.252871569190802
44;0.50;6.50;False;False;True;False;234;11.50;8.50;True;False;False;False;3;16.50101731969833;0.059860270354936254;16.252777777777737;16.741940847983585
44;0.50;6.50;False;False;True;False;237;14.50;8.50;True;False;False;False;2;19.075833333333605;0.01067422839511983;19.00277777777785;19.14888888888936
44;0.50;6.50;False;False;True;False;239;16.50;8.50;True;False;False;False;1;18.51564934696853;0;18.51564934696853;18.51564934696853
44;0.50;6.50;False;False;True;False;262;11.50;10.50;True;False;False;False;1;18.345007192921173;0;18.345007192921173;18.345007192921173
44;0.50;6.50;False;False;True;False;276;11.50;11.50;True;False;False;False;1;24.527965360603957;0;24.527965360603957;24.527965360603957
136;11.50;1.50;True;False;False;False;198;17.50;5.50;True;False;False;False;1;13.43509379141301;0;13.43509379141301;13.43509379141301
141;16.50;1.50;True;False;False;False;28;35.50;9.50;False;False;True;False;1;32.07379509747625;0;32.07379509747625;32.07379509747625
142;17.50;1.50;True;False;False;False;12;35.50;3.50;False;False;True;False;1;26.330548362634204;0;26.330548362634204;26.330548362634204
143;18.50;1.50;True;False;False;False;12;35.50;3.50;False;False;True;False;1;30.372222222222092;0;30.372222222222092;30.372222222222092
144;19.50;1.50;True;False;False;False;44;0.50;6.50;False;False;True;False;1;44.864992807074486;0;44.864992807074486;44.864992807074486
144;19.50;1.50;True;False;False;False;307;14.50;13.50;True;False;False;False;1;18.31500000000017;0;18.31500000000017;18.31500000000017
144;19.50;1.50;True;False;False;False;363;14.50;17.50;True;False;False;False;1;23.392222222222472;0;23.392222222222472;23.392222222222472
146;21.50;1.50;True;False;False;False;44;0.50;6.50;False;False;True;False;1;36.06166666666695;0;36.06166666666695;36.06166666666695
146;21.50;1.50;True;False;False;False;274;23.50;10.50;True;False;False;False;1;11.881666666666888;0;11.881666666666888;11.881666666666888
146;21.50;1.50;True;False;False;False;366;17.50;17.50;True;False;False;False;1;31.09129150101421;0;31.09129150101421;31.09129150101421
149;24.50;1.50;True;False;False;False;12;35.50;3.50;False;False;True;False;2;24.007218625760174;42.02400874825293;19.423333333333403;28.591103918186946
149;24.50;1.50;True;False;False;False;143;18.50;1.50;True;False;False;False;1;6.12833333333333;0;6.12833333333333;6.12833333333333
149;24.50;1.50;True;False;False;False;158;19.50;2.50;True;False;False;False;1;15.66342712474625;0;15.66342712474625;15.66342712474625
149;24.50;1.50;True;False;False;False;398;21.50;19.50;True;False;False;False;1;21.932121237884758;0;21.932121237884758;21.932121237884758
151;12.50;2.50;True;False;False;False;44;0.50;6.50;False;False;True;False;1;16.9381457505076;0;16.9381457505076;16.9381457505076
153;14.50;2.50;True;False;False;False;226;17.50;7.50;True;False;False;False;1;13.49499999999989;0;13.49499999999989;13.49499999999989
155;16.50;2.50;True;False;False;False;162;23.50;2.50;True;False;False;False;1;7.291017319698085;0;7.291017319698085;7.291017319698085
157;18.50;2.50;True;False;False;False;12;35.50;3.50;False;False;True;False;1;32.340274181316886;0;32.340274181316886;32.340274181316886
157;18.50;2.50;True;False;False;False;28;35.50;9.50;False;False;True;False;1;32.66064934696897;0;32.66064934696897;32.66064934696897
157;18.50;2.50;True;False;False;False;149;24.50;1.50;True;False;False;False;1;9.045000000000073;0;9.045000000000073;9.045000000000073
157;18.50;2.50;True;False;False;False;233;24.50;7.50;True;False;False;False;1;13.921666666666681;0;13.921666666666681;13.921666666666681
158;19.50;2.50;True;False;False;False;28;35.50;9.50;False;False;True;False;2;42.890000000000555;124.99561728395813;34.98444444444476;50.79555555555635
158;19.50;2.50;True;False;False;False;44;0.50;6.50;False;False;True;False;1;22.388787904550327;0;22.388787904550327;22.388787904550327
158;19.50;2.50;True;False;False;False;149;24.50;1.50;True;False;False;False;1;8.75833333333344;0;8.75833333333344;8.75833333333344
158;19.50;2.50;True;False;False;False;184;17.50;4.50;True;False;False;False;1;7.08055555555552;0;7.08055555555552;7.08055555555552
