#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.97;100;0;0;0;0;0;0;0;0;0
599.59;0.74;100;0;0;0;0;0;0;0;0;0
1199.93;0.54;125;0;0;0;0;0;0;0;0;0
1799.85;0.39;172;0;0;0;0;0;0;0;0;0
2399.97;0.24;212;0;0;0;0;0;0;0;0;0
2999.88;0.12;248;0;0;0;0;0;0;0;0;0
3599.94;0.06;285;0;0;0;0;0;0;0;0;0
4199.96;0.08;314;0;0;0;0;0;0;0;0;0
4799.92;0.13;342;0;0;0;0;0;0;0;0;0
5399.93;0.18;372;0;0;0;0;0;0;0;0;0
5999.85;0.22;399;0;0;0;0;0;0;0;0;0
6599.77;0.27;419;0;0;0;0;0;0;0;0;0
7200;0.31;444;0;0;0;0;0;0;0;0;0
7799.8;0.36;475;0;0;0;0;0;0;0;0;0
8399.82;0.4;497;0;0;0;0;0;0;0;0;0
8999.71;0.45;509;0;0;0;0;0;0;0;0;0
9599.9;0.49;523;0;0;0;0;0;0;0;0;0
10199.98;0.54;541;0;0;0;0;0;0;0;0;0
10799.88;0.58;563;0;0;0;0;0;0;0;0;0
11399.6;0.56;573;0;0;0;0;0;0;0;0;0
11999.98;0.42;587;0;0;0;0;0;0;0;0;0
12599.89;0.3;596;0;0;0;0;0;0;0;0;0
13199.85;0.18;611;0;0;0;0;0;0;0;0;0
13799.64;0.09;624;0;0;0;0;0;0;0;0;0
14399.76;0.06;637;0;0;0;0;0;0;0;0;0
14999.98;0.1;646;0;0;0;0;0;0;0;0;0
15599.67;0.14;656;0;0;0;0;0;0;0;0;0
16199.88;0.19;663;0;0;0;0;0;0;0;0;0
16799.96;0.23;675;0;0;0;0;0;0;0;0;0
17399.89;0.28;681;0;0;0;0;0;0;0;0;0
17999.79;0.32;691;0;0;0;0;0;0;0;0;0
18599.93;0.37;696;0;0;0;0;0;0;0;0;0
19199.75;0.41;704;0;0;0;0;0;0;0;0;0
19799.77;0.46;711;0;0;0;0;0;0;0;0;0
20399.82;0.5;715;0;0;0;0;0;0;0;0;0
20999.97;0.55;723;0;0;0;0;0;0;0;0;0
21599.83;0.6;731;0;0;0;0;0;0;0;0;0
22199.97;0.52;736;0;0;0;0;0;0;0;0;0
22799.99;0.4;742;0;0;0;0;0;0;0;0;0
23399.78;0.29;751;0;0;0;0;0;0;0;0;0
23999.99;0.18;755;0;0;0;0;0;0;0;0;0
24599.78;0.11;755;0;0;0;0;0;0;0;0;0
25199.94;0.06;761;0;0;0;0;0;0;0;0;0
25799.94;0.09;767;0;0;0;0;0;0;0;0;0
26399.79;0.13;774;0;0;0;0;0;0;0;0;0
26999.75;0.18;778;0;0;0;0;0;0;0;0;0
27599.83;0.22;780;0;0;0;0;0;0;0;0;0
28199.59;0.27;783;0;0;0;0;0;0;0;0;0
28799.72;0.31;785;0;0;0;0;0;0;0;0;0
