W2,W3,Za,Zb,Zc,ItemPileOneAvg,DistanceTraveled,OrderTurnoverTimeAvg,OrdersHandled
0.1,0.068,0.136,1,1,9.29074302134647,4509.03857231422,446.41030029381926,523
0.1,0.068,0.136,1,1,8.51544540229885,4845.070368114411,465.68161430488516,515
0.1,0.068,0.136,1,1,8.169117647058824,5012.058893642796,482.69658325665984,503
0.1,0.068,0.136,1,1,8.287793905440964,4900.738611642935,450.0163017721861,497
0.1,0.068,0.136,1,1,8.186213043211016,4955.365461574069,460.24119613300854,507
0.1,0.068,0.136,1,1,7.974573319400906,5001.443171067431,474.182586031272,482
0.1,0.068,0.136,1,1,7.880997474747474,5049.86260554246,444.66017057704005,489
0.1,0.068,0.136,1,1,8.546236559139786,4716.336614868427,460.679946563345,510
0.1,0.068,0.136,1,1,7.737679211469534,5005.005698446306,439.6587538391787,480
0.14666666666666667,0.068,0.14,0.962,1,7.502861274030629,5066.412221642557,452.05234341295284,461
0.14666666666666667,0.068,0.14,0.962,1,8.155143105629348,4858.718819633799,455.23843877991646,519
0.14666666666666667,0.068,0.14,0.962,1,8.428136200716844,4879.361138271593,456.6287178042825,500
0.14666666666666667,0.068,0.14,0.962,1,7.976478494623656,4979.267957407383,427.0422123494351,497
0.14666666666666667,0.068,0.14,0.962,1,8.071717171717173,5020.406020670484,439.70635532623515,507
0.14666666666666667,0.068,0.14,0.962,1,7.866789335480038,4847.99999999999,442.2224837026034,487
0.14666666666666667,0.068,0.14,0.962,1,8.346102150537634,4971.564571628556,446.7454030455822,509
0.14666666666666667,0.068,0.14,0.962,1,8.243560606060607,4925.671180135529,440.422110580156,509
0.14666666666666667,0.068,0.14,0.962,1,8.075268817204302,5031.2757185240525,463.7516063200513,490
0.19333333333333336,0.068,0.155,0.8,1,8.599798387096774,4955.5445846117955,466.9456733954921,506
0.19333333333333336,0.068,0.155,0.8,1,8.414544148380356,4870.587949505017,439.63807626971993,514
0.19333333333333336,0.068,0.155,0.8,1,8.757590996168583,4898.525411271954,451.0361044500416,504
0.19333333333333336,0.068,0.155,0.8,1,8.311805555555557,4858.968757539853,447.6851036190624,503
0.19333333333333336,0.068,0.155,0.8,1,8.752206154987023,4729.179287122846,472.2813325055363,509
0.19333333333333336,0.068,0.155,0.8,1,8.394014182424916,4867.145596142512,440.07265776121164,494
0.19333333333333336,0.068,0.155,0.8,1,8.55979146301727,4946.269274150378,456.79098406536093,517
0.19333333333333336,0.068,0.155,0.8,1,8.499825844653431,4790.868136111101,484.86732060016095,503
0.19333333333333336,0.068,0.155,0.8,1,8.282828282828282,4763.344454874745,444.46300282591545,495
0.24000000000000002,0.068,0.165,0.688,1,8.044018817204302,4853.263203858018,451.0976608074426,493
0.24000000000000002,0.068,0.165,0.688,1,8.176985370950888,4765.874485245334,448.1977958384526,504
0.24000000000000002,0.068,0.165,0.688,1,8.297754420472472,4701.6756001760195,451.91146104223134,500
0.24000000000000002,0.068,0.165,0.688,1,8.095470837406323,4907.280303803291,441.8074756292902,498
0.24000000000000002,0.068,0.165,0.688,1,7.984331797235023,4877.127756877884,433.5369019119868,510
0.24000000000000002,0.068,0.165,0.688,1,8.950291991101224,4791.987950974743,444.6563601270278,520
0.24000000000000002,0.068,0.165,0.688,1,8.791474654377879,4687.029967631814,428.89536218088506,508
0.24000000000000002,0.068,0.165,0.688,1,8.708704115684094,4680.957629449962,461.14061383450144,525
0.24000000000000002,0.068,0.165,0.688,1,9.01720430107527,4779.32248081336,460.75326331263494,521
0.2866666666666667,0.068,0.173,0.6,1,8.185270039100685,4905.99814505761,449.867852468301,506
0.2866666666666667,0.068,0.173,0.6,1,8.342857142857143,4896.112771369463,454.0004827338556,509
0.2866666666666667,0.068,0.173,0.6,1,8.621136653895276,4706.668241257037,461.7900940066807,509
0.2866666666666667,0.068,0.173,0.6,1,9.019444444444444,4815.061016238556,468.04541459148896,525
0.2866666666666667,0.068,0.173,0.6,1,8.532101806239737,4753.421326515154,472.28808599141746,499
0.2866666666666667,0.068,0.173,0.6,1,8.886760752688172,4794.99999999999,444.98982545385667,514
0.2866666666666667,0.068,0.173,0.6,1,8.564875324434558,4822.224233682731,468.9747125052217,506
0.2866666666666667,0.068,0.173,0.6,1,8.245643939393938,4909.071892475153,439.0461346049259,509
0.2866666666666667,0.068,0.173,0.6,1,7.472370766488414,4954.89561592943,469.2085722487021,474
0.33333333333333337,0.068,0.178,0.538,1,7.881087919038582,4881.735963231056,460.96741591990417,489
0.33333333333333337,0.068,0.178,0.538,1,8.228836754643206,4912.57942893933,443.1720319977569,510
0.33333333333333337,0.068,0.178,0.538,1,8.358198924731182,4815.951352924245,436.8716509587509,500
0.33333333333333337,0.068,0.178,0.538,1,8.609722222222222,4746.97439662394,463.7478648317823,512
0.33333333333333337,0.068,0.178,0.538,1,8.969200346063529,4755.470365269927,447.14233018850916,521
0.33333333333333337,0.068,0.178,0.538,1,8.665544332210999,4826.058814049739,435.25898625897594,506
0.33333333333333337,0.068,0.178,0.538,1,8.950179211469534,4786.219063450222,464.8518936113402,516
0.33333333333333337,0.068,0.178,0.538,1,8.418637992831542,4727.862128710904,466.3710110128159,512
0.33333333333333337,0.068,0.178,0.538,1,8.17449494949495,4793.861982098759,483.6575210923285,491
0.38,0.068,0.182,0.5,1,7.838472485768501,5018.107209743985,468.71743914306865,483
0.38,0.068,0.182,0.5,1,9.101149425287357,4817.358617120948,456.0718866800094,522
0.38,0.068,0.182,0.5,1,8.686901340996169,4881.31573199734,447.52964925419917,506
0.38,0.068,0.182,0.5,1,8.43030303030303,4834.583041169689,436.74643748128324,501
0.38,0.068,0.182,0.5,1,8.359543010752688,4955.3659799843535,487.2595410920442,510
0.38,0.068,0.182,0.5,1,8.824641577060932,4740.6656376238025,477.4455282265733,521
0.38,0.068,0.182,0.5,1,8.409027777777778,4797.711333260508,472.52583191293405,501
0.38,0.068,0.182,0.5,1,8.761685823754789,4699.782365317096,477.8307533061341,504
0.38,0.068,0.182,0.5,1,8.635353535353536,4755.345157355672,462.08114828057114,512
1,1,0.182,0.5,1,8.04608585858586,4970.7693991749775,446.9098507805005,499
1,1,0.182,0.5,1,7.667557932263814,4932.955981254306,415.6667465846805,515
1,1,0.182,0.5,1,7.916666666666667,4989.227359259539,443.4421275256574,484
1,1,0.182,0.5,1,7.536489317134478,5068.967861440965,438.8238761291523,482
1,1,0.182,0.5,1,8.026199494949495,4988.470083537903,445.91339524811747,517
1,1,0.182,0.5,1,8.30611559139785,4960.4272182362365,485.7661233468027,503
1,1,0.182,0.5,1,8.349462365591398,4838.538617748526,442.41281495985186,514
1,1,0.182,0.5,1,8.328869047619047,4987.882113803503,436.7016118918835,503
1,1,0.182,0.5,1,8.455365670048652,4851.766937251503,497.643333548005,496
