;ItemThroughputRateScore;OrderThroughputRate;OrderTurnoverTimeAvg;DistanceTraveledPerBot;OrderLatenessAvg;LateOrdersFractional;ItemPileOneAvg;OSIdleTimeAvg;Mean;StdDev
ItemThroughputRateScore;1;0.9585971244510914;-0.6715549143992117;-0.7214695329432603;NaN;NaN;0.9502921474835775;-0.9989671520398914;0.5608229771157974;0.026556912708963144
OrderThroughputRate;0.9585971244510914;1.0000000000000002;-0.7275278029788278;-0.7247488341252106;NaN;NaN;0.9175647934123042;-0.9583586758569957;932.4090909090909;42.949398441029196
OrderTurnoverTimeAvg;-0.6715549143992117;-0.7275278029788278;1;0.6027811867027425;NaN;NaN;-0.6250972444205116;0.6728355181303235;465.3119361231169;29.707128691391627
DistanceTraveledPerBot;-0.7214695329432603;-0.7247488341252106;0.6027811867027425;0.9999999999999998;NaN;NaN;-0.7723732413017541;0.7356024765536182;863.0065841770742;21.80891622394158
OrderLatenessAvg;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
LateOrdersFractional;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
ItemPileOneAvg;0.9502921474835775;0.9175647934123042;-0.6250972444205116;-0.7723732413017541;NaN;NaN;0.9999999999999999;-0.9608414567267023;7.03226710627545;0.5888915844452787
OSIdleTimeAvg;-0.9989671520398914;-0.9583586758569957;0.6728355181303235;0.7356024765536182;NaN;NaN;-0.9608414567267023;1;0.49953929620198495;0.026732730219558683
