# W2 W3 ItemPileOneAvg DistanceTraveledPerBot DistanceTraveled TripCount OrderThroughputTimeAvg OrderTurnoverTimeAvg OrderPileOneAvg OrdersHandled 
0.052 0.052 6.85449452508276 858.8532875757497 5153.119725454499 314 100.27322256428154 503.6249586906647 4.430693489517019 451
0.062 0.062 6.689144736842105 857.8552092324468 5147.131255394681 322 91.91338969679387 434.5128356965853 4.5434726522187825 468
0.072 0.072 6.85449452508276 858.8532875757497 5153.119725454499 314 100.27322256428154 503.6249586906647 4.430693489517019 451
0.08199999999999999 0.08199999999999999 6.9605820105820095 855.7738982187793 5134.643389312676 322 96.8800576583268 437.3752937442132 4.637974987974988 482
0.052 0.29874999999999996 6.755050505050505 841.5873474424408 5049.524084654645 315 88.22183552523381 452.646640662385 4.455387205387205 453
0.062 0.30874999999999997 7.557355651105651 820.2619135872884 4921.571481523731 313 86.14484620330438 454.948739907151 4.982152607152607 503
0.072 0.31875 7.370785056446821 839.974836413332 5039.849018479992 306 86.19795396661503 433.76273274356276 4.865586007130125 481
0.08199999999999999 0.32875 6.8076846900376315 859.6666666666656 5157.999999999994 316 101.75638186982304 445.92509532186415 4.54401861754803 468
0.052 0.5455 7.323232323232323 846.4054881818355 5078.432929091013 305 91.57289913392545 457.61765873986127 4.78219696969697 469
0.062 0.5555 6.878472222222222 856.7438708421113 5140.463225052667 315 90.74562077063214 458.8280585368242 4.577205882352941 464
0.072 0.5655 6.965945165945166 866.863066415791 5201.178398494746 313 97.44365040543408 430.79632732373227 4.638961038961039 468
0.08199999999999999 0.5755 6.4716488934755185 873.886910635773 5243.321463814638 328 91.36329311038683 431.9471149175798 4.299936933837862 461
0.052 0.7922499999999999 6.836403248167954 863.3914100033212 5180.348460019927 318 95.40322753693361 433.4933952907633 4.459001782531194 458
0.062 0.8022499999999999 6.71078431372549 858.0431363148706 5148.258817889224 325 82.30417735182608 432.00016285000356 4.5 477
0.072 0.8122499999999999 6.802645502645503 886.4605299040351 5318.763179424211 321 86.59453337212972 446.62473431575313 4.486435786435787 464
0.08199999999999999 0.8222499999999999 7.048425430778372 863.5389557155731 5181.233734293439 307 92.34706323051574 437.81501157184755 4.707961972667856 470
0.052 1.039 6.493351024620374 878.6473027344101 5271.883816406461 331 93.84385337950893 446.79231711422926 4.2938375350140054 458
0.062 1.049 7.201914522614854 842.7234813580211 5056.340888148126 315 90.3565257795732 493.75651941450593 4.819561581438383 473
0.072 1.059 7.319940476190477 841.3594879471375 5048.156927682825 307 90.7211849951028 459.20791202437204 4.802678571428571 474
0.08199999999999999 1.069 6.854436979674172 859.3239082292512 5155.943449375507 307 99.45485201234814 469.1341516822574 4.547993914217823 458
1 1 6.886134453781512 853.0472128617283 5118.28327717037 308 92.15623890612319 449.47921208541925 4.541946778711485 457
1.01 1.01 7.735164141414141 860.8716146448297 5165.2296878689785 299 91.57579849395351 482.25242311767795 5.061868686868686 496
1.02 1.02 7.469409464665632 849.3428101747023 5096.056861048214 307 91.23770796070171 455.24966657001835 4.802848216510456 470
1.03 1.03 8.392992424242424 813.6232991330845 4881.739794798507 289 87.14863785436346 468.104162451821 5.415088383838383 513
10 0.052 7.385493591375944 858.8530258966501 5153.118155379901 314 92.71601583937388 467.2376760258981 4.7261777438248025 482
10.01 0.062 7.208877995642702 849.4552777777762 5096.7316666666575 315 79.32176232285438 426.0312371493096 4.8532815904139435 492
10.02 0.072 7.297402597402598 837.5692154688389 5025.415292813033 300 103.27325852558201 460.1313189626336 4.815584415584415 469
10.03 0.08199999999999999 7.002308802308803 846.5387193314505 5079.232315988703 311 90.65272148255818 431.25856666337324 4.661760461760462 471
10 0.29874999999999996 7.359314204665249 846.8359625514069 5081.015775308441 307 85.50439418705143 411.6686719630627 4.823941502309624 472
10.01 0.30874999999999997 7.311417748917749 869.9973576350184 5219.98414581011 306 106.76683898339354 490.0509350665388 4.718190836940837 471
10.02 0.31875 7.033613445378151 855.8935376202991 5135.361225721795 317 94.58951151244021 436.8206911013333 4.558263305322129 470
10.03 0.32875 7.387199197860962 853.3674274530191 5120.204564718115 305 97.13993459995201 447.9723417246777 4.89956550802139 484
10 0.5455 6.944444444444444 868.6680670400066 5212.00840224004 316 90.80990679775887 434.9060353043746 4.577540106951872 462
10.01 0.5555 7.611426767676768 853.1713423042044 5119.028053825226 303 89.0137976524586 478.0212046960621 4.999684343434343 485
10.02 0.5655 7.148113008644317 851.719456278522 5110.316737671132 303 95.81856837603473 476.4933455319127 4.727013972744523 462
10.03 0.5755 7.160984848484849 845.5347311725791 5073.2083870354745 313 90.16515204290806 472.3710240140348 4.75820707070707 478
10 0.7922499999999999 7.2961085509472605 844.3259498893735 5065.955699336241 298 102.96522341398897 474.1333546771257 4.838044034818228 461
10.01 0.8022499999999999 7.43484477124183 854.830328789799 5128.981972738794 301 89.62910538459938 454.13787046882214 4.970057189542484 474
10.02 0.8122499999999999 7.543948075834749 833.2334047601795 4999.400428561077 309 89.98008371161292 480.7643739887743 4.907222693831352 483
10.03 0.8222499999999999 8.332427725531174 835.4804881479994 5012.882928887996 291 89.06533291682763 461.17096019941374 5.437965865552073 499
10 1.039 7.613357843137255 841.2042847608459 5047.225708565075 300 98.27795177127756 496.4451920838551 4.947303921568627 484
