#PP TA IS PS RB OB BotsPerOStation NOStations ItemThroughputRateScore ItemPileOneAvg OrderLatenessAvg LateOrdersFractional DistanceTraveledPerBot OSIdleTimeAvg
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5683088350992461 7.4372549019607845 0 0 839.1849513066851 0.4903511904536946
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5446176244782196 6.806162464985995 0 0 881.1803801190891 0.5158484234370696
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5255088227306931 6.661003416518123 0 0 865.3088670400824 0.5329007773640013
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5603475715445204 7.13149881164587 0 0 856.0671837039807 0.49983952215710903
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5669198999728301 7.0897233893557425 0 0 854.1193130183534 0.4927944858946069
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5732185308149075 7.249242424242424 0 0 839.8382865847328 0.48829259930519453
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5553269657955078 6.883983415233415 0 0 847.2019895419159 0.5046272593784127
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5824883813201777 7.450762527233116 0 0 873.7207432938368 0.47991658786738783
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5732175737195327 7.56714320625611 0 0 844.2220450617256 0.48517899369735046
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5560346195327165 7.3567521052308065 0 0 839.0008898148144 0.5024908316331917
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5565183764094188 6.956407563025209 0 0 872.6590422344734 0.5046892455886498
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5548055402386174 6.696358543417367 0 0 859.7745556062436 0.5072854377247459
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5486543322846247 6.657601351351352 0 0 861.3395757133281 0.512042059295776
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5539834406304818 6.984068627450981 0 0 862.5844573583018 0.5053940194966123
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5762698651306655 7.759027777777778 0 0 836.6920082294799 0.48131544014338895
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5508865137832863 6.684925567278508 0 0 883.92970354084 0.5099915998555831
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5846315169812161 7.340803872053872 0 0 832.5498374474982 0.4764211400297486
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.554431514033898 6.76078431372549 0 0 888.6094897782053 0.5062915384775771
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5536543163050462 6.898701298701298 0 0 870.8534166923852 0.5061591289586002
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5524948080439929 6.965349927849928 0 0 863.9949024009103 0.5063304566709665
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5532448425660679 6.973651960784314 0 0 856.9996098938836 0.5086182312413952
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5680161264848786 7.03390522875817 0 0 835.1659056752172 0.4927958740649947
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5595542367335492 6.839770251534958 0 0 869.1082863154082 0.5015823579651083
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5839258185917944 7.641902899967416 0 0 828.8390087584248 0.4748636403978699
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5740806968260947 6.943697478991598 0 0 862.9122439284192 0.48818928837083386
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5478677196780618 6.5221158958001055 0 0 868.3617063694454 0.5129600804009805
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5676307955737746 7.105228859048893 0 0 873.9999999999985 0.49322650298676707
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5889826754730759 7.576884047851789 0 0 830.6815502082774 0.47076428575927065
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5703928239884576 7.035107376283847 0 0 843.7100949887572 0.49120239566461144
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.6224236768248138 8.184258380771665 0 0 837.9421588335653 0.43756553232056455
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.58162321738431 7.465540194572452 0 0 867.5414639250677 0.47845210167489266
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.6229006476382712 8.437163978494624 0 0 852.8271817229657 0.43684437896538747
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5790983002577602 7.660212418300653 0 0 854.1417334218116 0.48046712757912985
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5622271872664637 7.076340572071122 0 0 849.1557517065875 0.4979050718937576
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5821781111784603 7.513254181600956 0 0 848.6756090194525 0.4787511860760931
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5886079111426319 7.6541378648233485 0 0 859.8238410648933 0.47197380954629437
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5248438497295023 5.9939939939939935 0 0 905.3610247174937 0.5374555208179962
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5109666090164148 5.906862745098039 0 0 892.1269415116094 0.5492904241066285
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5248438497295023 5.9939939939939935 0 0 905.3610247174937 0.5374555208179962
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.4883519885643551 5.570695970695971 0 0 914.5484217300504 0.5725165650130616
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.48817019880194257 5.595539595539596 0 0 910.8894639917665 0.5721680895746223
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5705926428781917 6.998821402047208 0 0 892.769296448295 0.4919423908798279
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5646447188282354 7.220555788297723 0 0 866.5728037489424 0.49467740898484913
ppFARP2tt taBA120fft9wcwwm isEt0.8 psNt rbSPdf obPMy 2 3 0.5587232990888812 7.138562091503268 0 0 871.94294260656 0.49990051035474253
