#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;1;0/0;0/0;0/0;0/0;0/0;0/19;0/0;0/19;0/2;0/3;0/0;0/0;0/0;0/0
59.66;0;0;1;1;0/59.66;0/38.68;0/59.66;0/59.66;0/0;0/1;0/0;0/19;0/0;0/5;0/0;0/0;0/0;0/3
119.59;0;1;1;1;0/119.59;0/40.49;0/119.59;0/119.59;0/0;0/2;0/0;0/19;0/0;0/5;0/0;0/1;0/0;0/9
179.66;0;2;1;1;0/179.66;0/43.01;0/179.66;0/179.66;0/0;0/0;0/0;0/23;0/0;0/5;0/0;0/2;0/0;0/14
239.71;0;3;1;1;0/239.71;0/46.17;0/239.71;0/239.71;0/0;0/0;0/0;0/22;0/0;0/5;0/0;0/3;0/0;0/20
299.9;0;4;1;1;0/299.9;0/47.94;0/299.9;0/299.9;0/0;0/0;0/0;0/21;0/0;0/5;0/0;0/4;0/0;0/26
359.76;0;5;1;1;0/359.76;0/49.69;0/359.76;0/359.76;0/0;0/1;0/0;0/19;0/0;0/5;0/0;0/5;0/0;0/32
419.76;0;6;1;1;0/419.76;0/51.94;0/419.76;0/419.76;0/0;0/0;0/0;0/17;0/0;0/5;0/0;0/6;0/0;0/38
479.89;0;7;1;1;0/479.89;0/54.5;0/479.89;0/479.89;0/0;0/0;0/0;0/16;0/0;0/5;0/0;0/7;0/0;0/44
539.89;0;8;1;1;0/539.89;0/56.43;0/539.89;0/539.89;0/0;0/0;0/0;0/16;0/0;0/5;0/0;0/8;0/0;0/50
599.98;0;9;1;1;0/599.98;0/59.21;0/599.98;0/599.98;0/0;0/0;0/0;0/16;0/0;0/5;0/0;0/9;0/0;0/56
