# SectorTime InventoryLevel
0 65.75
0.16665555555555556 57
0.33325 57
0.49999444444444446 43
0.6666138888888888 34
0.8332944444444444 16.8
0.9999888888888889 16.428571428571427
1.1666305555555556 13
1.333325 13.4
1.499961111111111 18
1.6666277777777778 20.166666666666668
1.8333305555555555 29.333333333333332
1.9998972222222222 29.333333333333332
2.1666583333333334 38.5
2.333286111111111 38.5
2.499947222222222 45.2
2.6665861110833333 47.5
2.8333305555555555 52.6
3 48.833333333333336
3.166655555527778 44.166666666666664
3.3333333333333335 37.5
3.4999444444444445 37.5
3.6666055555555555 28.833333333333332
3.833327777777778 19.571428571428573
3.9999583333333333 13
4.166661111111111 12.833333333333334
4.3333 14.571428571428571
4.49995 16.857142857142858
4.666661111111111 20.714285714285715
4.833291666666667 23
4.999938888888889 27.5
5.1665777777777775 34.285714285714285
5.333311111083333 41
5.4999416666666665 43.2
5.666574999972222 45.5
5.833291666666667 49.5
5.9999666666666664 52.2
6.166591666666666 49.4
6.3333305555555555 38.166666666666664
6.499983333333334 34.4
6.666652777777778 21.333333333333332
6.833258333333333 21.333333333333332
7 12.666666666666666
7.166652777777778 12.666666666666666
7.333280555555556 14.666666666666666
7.4999666666666664 16.857142857142858
7.6666638888888885 20.8
7.833275 20.8
7.999930555555555 23
