#TimeStamp;DistanceTraveled
59.86;764.61
119.97;575.92
179.65;405.38
239.8;331.81
299.96;335.63
359.91;397.99
419.93;345.05
479.97;359.65
539.82;397.86
599.96;342.94
659.99;286.11
719.87;374.79
779.74;362.19
839.8;285.33
900;366.97
959.63;482.64
1019.97;485.37
1079.86;468.42
1139.68;384.42
1199.7;346.72
1259.75;509.61
1319.94;461.88
1379.71;446.65
1439.97;490.53
1499.94;451.41
1559.82;386.1
1619.91;468.98
1679.71;471.05
1739.97;499.17
1799.98;415.26
1859.8;455.69
1919.87;465.96
1979.99;363.03
2039.85;556.87
2099.66;558.04
2160;442.86
2219.68;535.9
2279.81;581.99
2339.84;522.28
2399.81;556.68
2459.97;518.8
2519.75;590.01
2579.9;579.52
2639.91;472.23
2699.86;542.86
2759.95;466.64
2819.98;512.18
2879.79;545.24
2939.75;516.4
2999.86;621.26
3059.98;607.62
3120;600.82
3179.91;610.3
3239.96;677.86
3299.88;718.59
3359.78;646.7
3419.95;665.88
3479.85;716.51
3539.91;790.9
3599.96;713.43
3659.83;679.8
3719.78;560.27
3779.79;287.61
3839.87;142.88
3899.88;103.99
3959.78;89.25
4019.81;82.39
4079.92;75.04
4139.76;90.87
4199.87;132.05
4259.79;113.48
4319.99;96.06
4379.66;75.83
4439.99;85
4499.75;95.37
4559.98;115.63
4619.95;117.82
4679.74;87.2
4739.9;76.62
4799.97;87.15
4859.81;120.98
4919.98;84.72
4979.8;69.87
5039.98;85.65
5099.78;87.63
5159.72;90.72
5219.97;117.74
5279.99;87.91
5339.64;98.66
5399.86;96.35
5459.98;108.08
5519.99;100.84
5579.74;75.41
5639.93;79.79
5699.84;98.48
5759.73;112.72
5819.68;87.26
5879.66;81.54
5939.78;103.15
5999.86;88.73
6059.83;97
6119.96;89.25
6179.97;103.32
6239.94;102.1
6299.83;82.74
6359.98;77.58
6419.91;121.14
6479.84;114.29
6539.77;93.73
6599.99;91.03
6659.88;108.88
6719.9;77.95
6779.83;95.52
6839.85;87.58
6899.98;88.88
6959.71;103
7019.99;82.46
7079.73;94.18
7139.97;102.57
7199.63;109.76
7259.97;83.73
7319.98;85.17
7379.64;97.73
7439.97;92.65
7499.9;107.68
7559.96;86.08
7619.76;96.84
7679.99;90.16
7739.92;100.02
7799.97;81.31
7859.96;99.27
7919.92;92.21
7979.97;83.95
8039.91;91.82
8099.79;83.96
8159.65;97.58
8219.91;75.31
8279.97;98.57
8339.9;114
8399.83;90
8459.85;104
8519.83;85
8579.91;88.78
8639.9;94.22
8699.86;90.63
8759.63;99.16
8819.76;90.77
8879.96;94.79
8939.94;105.3
8999.81;102.1
9059.87;113.73
9119.92;105.52
9179.7;101.03
9239.65;91.88
9299.9;95.08
9359.96;91.62
9419.59;92.5
9479.86;92.85
9539.96;113.41
9599.71;83.4
9659.91;119.9
9719.68;80.88
9779.99;85.23
9839.86;117.22
9899.89;87.19
9959.72;115.24
10019.96;90.55
10079.96;95.93
10139.75;99.36
10199.99;110.04
10259.98;93.35
10319.97;125.75
10379.91;73.38
10439.99;85.39
10499.64;105.86
10559.96;102.59
10619.79;97.18
10679.95;96.3
10739.97;108.87
10800;115
10859.97;116.08
10919.59;106.6
10979.96;360.05
11039.88;568.29
11099.77;360.92
11159.97;309.47
11219.9;356.3
11279.63;433.19
11339.74;498.22
11399.96;530.3
11459.97;488.61
11519.93;612.39
11579.98;571.91
11639.97;542.24
11699.87;598.51
11759.85;504.17
11819.75;596.49
11879.95;570.47
11940;534.8
12000;563.27
12059.73;639.18
12119.84;622.74
12179.91;598.53
12239.97;549.13
12299.99;574.58
12359.91;506.6
12419.66;572.93
12479.87;584.83
12539.82;622.21
12599.8;707.27
12659.64;572.19
12719.97;576.29
12779.97;705.12
12839.68;564.79
12899.8;558.35
12959.77;622.59
13019.91;635.48
13080;695.99
13140;643.39
13199.78;616.18
