# SectorTime InvUtilityTotal
0 0
0.16665555555555556 0
0.33325 0
0.49999444444444446 0
0.6666138888888888 0
0.8332944444444444 0
0.9999888888888889 0
1.1666305555555556 0
1.333325 0
1.499961111111111 0
1.6666277777777778 0
1.8333305555555555 0
1.9998972222222222 0
2.1666583333333334 0
2.333286111111111 0
2.499947222222222 0
2.6665861110833333 0
2.8333305555555555 0
3 0
3.166655555527778 0
3.3333333333333335 0
3.4999444444444445 0
3.6666055555555555 0
3.833327777777778 0
3.9999583333333333 0
4.166661111111111 0
4.3333 0
4.49995 0
4.666661111111111 0
4.833291666666667 0
4.999938888888889 0
5.1665777777777775 0
5.333311111083333 0
5.4999416666666665 0
5.666574999972222 0
5.833291666666667 0
5.9999666666666664 0
6.166591666666666 0
6.3333305555555555 0
6.499983333333334 0
6.666652777777778 0
6.833258333333333 0
7 0
7.166652777777778 0
7.333280555555556 0
7.4999666666666664 0
7.6666638888888885 0
7.833275 0
7.999930555555555 0
