#OrderedIndex StaticFrequency MeasuredFrequency OrderCount
1 1 0.17647058823529413 9
2 0.8004134298370891 0.27450980392156865 14
3 0.7818792468448476 0.0784313725490196 4
4 0.7803861152139107 0.1568627450980392 8
5 0.757838126734614 0.17647058823529413 9
6 0.7540349353082592 0.29411764705882354 15
7 0.7489032672992346 0.0784313725490196 4
8 0.7479082277293609 0.11764705882352941 6
9 0.7473133623188652 0.13725490196078433 7
10 0.7357977621894962 0.11764705882352941 6
11 0.7224702287681151 0.21568627450980393 11
12 0.7176893041691014 0.23529411764705882 12
13 0.7050014173524687 0.11764705882352941 6
14 0.7033603878580011 0.19607843137254902 10
15 0.6721624405078583 0.0784313725490196 4
16 0.6713708743919993 0.17647058823529413 9
17 0.6673734659265578 0.0784313725490196 4
18 0.6477530834670467 0.1568627450980392 8
19 0.6469666634198075 0.19607843137254902 10
20 0.6460646532436789 0.3137254901960784 16
21 0.6428761577409052 0.0784313725490196 4
22 0.6425070064750115 0.1568627450980392 8
23 0.6416481011102777 0.11764705882352941 6
24 0.6343072177353777 0.0784313725490196 4
25 0.6331674644833843 0.11764705882352941 6
26 0.6299017788630442 0.1568627450980392 8
27 0.6261298490791177 0.0784313725490196 4
28 0.6229062301960202 0.13725490196078433 7
29 0.6209935568473315 0.1568627450980392 8
30 0.6194956158269278 0.8431372549019608 43
31 0.6100029379211261 0.09803921568627451 5
32 0.6072551773642739 0.1568627450980392 8
33 0.6049838395656638 0.1568627450980392 8
34 0.6044739767157374 0.9607843137254902 49
35 0.6029483184226734 0.09803921568627451 5
36 0.5923561425354671 0.058823529411764705 3
37 0.5904862362944269 0.058823529411764705 3
38 0.586130257762881 0.17647058823529413 9
39 0.5838042152837204 0.13725490196078433 7
40 0.5814355939864105 0.11764705882352941 6
41 0.5800369053570976 0.17647058823529413 9
42 0.5707187717355247 0.09803921568627451 5
43 0.5662835127751666 0.11764705882352941 6
44 0.5660508310233876 1 51
45 0.565999363207465 0.17647058823529413 9
46 0.5657311911632055 0.0784313725490196 4
47 0.5651358676358433 0.0784313725490196 4
48 0.5637707167923354 0.0784313725490196 4
49 0.5572525635568025 0.21568627450980393 11
50 0.5572367059803729 0.1568627450980392 8
51 0.5556304281805319 0.1568627450980392 8
52 0.5495276516891984 0.0784313725490196 4
53 0.5463354666946993 0.11764705882352941 6
54 0.5452054872092699 0.0784313725490196 4
55 0.5448217899696719 0.1568627450980392 8
56 0.5427491605907876 0.11764705882352941 6
57 0.5407686725174311 0.13725490196078433 7
58 0.5362681956887277 0.0392156862745098 2
59 0.534475280875872 0.11764705882352941 6
60 0.5320099224726236 0.2549019607843137 13
61 0.529541341296181 0.13725490196078433 7
62 0.529218262674453 0.11764705882352941 6
63 0.5269899024302009 0.0784313725490196 4
64 0.5268760858758712 0.11764705882352941 6
65 0.526107664839035 0.058823529411764705 3
66 0.5249508533593803 0.11764705882352941 6
67 0.5233220176851372 0.17647058823529413 9
68 0.5169394925900992 0.058823529411764705 3
69 0.5139676939572122 0.0784313725490196 4
70 0.513353719882051 0.0784313725490196 4
71 0.5130457078490002 0.19607843137254902 10
72 0.5118216849227573 0.1568627450980392 8
73 0.5104096209549683 0.19607843137254902 10
74 0.5089122029273564 0.09803921568627451 5
75 0.5072070884931464 0.09803921568627451 5
76 0.5049132348966869 0.11764705882352941 6
77 0.5030203021467449 0.1568627450980392 8
78 0.5028095563410633 0.0784313725490196 4
79 0.5023245537815408 0.11764705882352941 6
80 0.5010036245314848 0.0392156862745098 2
81 0.5001201145470271 0.058823529411764705 3
82 0.49887459755228075 0.09803921568627451 5
83 0.4984272864756061 0.058823529411764705 3
84 0.49745805830675727 0.058823529411764705 3
85 0.49365498190148804 0.19607843137254902 10
86 0.4902751950201955 0.0784313725490196 4
87 0.4901081212631864 0.0784313725490196 4
88 0.4891794509187912 0.058823529411764705 3
89 0.4871674367766997 0.0784313725490196 4
90 0.48526258458886135 0.11764705882352941 6
91 0.48440713449146044 0.0196078431372549 1
92 0.4840222777592868 0.13725490196078433 7
93 0.47916283957765815 0.058823529411764705 3
94 0.4754577001781302 0.09803921568627451 5
95 0.4738314192580729 0.0392156862745098 2
96 0.4722232030345306 0.09803921568627451 5
97 0.47033183957978303 0.058823529411764705 3
98 0.4677741045083633 0.0392156862745098 2
99 0.46773996901543097 0.0784313725490196 4
100 0.4671625311164601 0.21568627450980393 11
101 0.46664500069849507 0.17647058823529413 9
102 0.46618928888332295 0.0392156862745098 2
103 0.4660185293375781 0.11764705882352941 6
104 0.4656513301395375 0.058823529411764705 3
105 0.465052672721864 0.0784313725490196 4
106 0.46107016901455744 0.09803921568627451 5
107 0.4605204530286902 0.0392156862745098 2
108 0.46026863511233285 0.17647058823529413 9
109 0.4551194595562179 0.0784313725490196 4
110 0.45459895257573774 0.0392156862745098 2
111 0.4531791948417198 0.058823529411764705 3
112 0.452331868135373 0.19607843137254902 10
113 0.4523198148335515 0.09803921568627451 5
114 0.45184688433501596 0.1568627450980392 8
115 0.4514351479911456 0.09803921568627451 5
116 0.4495104665832077 0.058823529411764705 3
117 0.44910753008066634 0.058823529411764705 3
118 0.44835278643257465 0.9215686274509803 47
119 0.44545126303653537 0.09803921568627451 5
120 0.4451983658978489 0.0196078431372549 1
121 0.4428772425006302 0.0392156862745098 2
122 0.4391467956443851 0.058823529411764705 3
123 0.43815187898825464 0.1568627450980392 8
124 0.43769718847510863 0.0392156862745098 2
125 0.4353668517477886 0.058823529411764705 3
126 0.4343074596622398 0.13725490196078433 7
127 0.4338419447520168 0.17647058823529413 9
128 0.4309467386587862 0.11764705882352941 6
129 0.4308056877962187 0.11764705882352941 6
130 0.42826847293742953 0.0392156862745098 2
131 0.42734304761461706 0.11764705882352941 6
132 0.4263865730066258 0.13725490196078433 7
133 0.4256807196733959 0.13725490196078433 7
134 0.4244130438823631 0.0784313725490196 4
135 0.42408673125189095 0.09803921568627451 5
136 0.4229370301208974 0.17647058823529413 9
137 0.42212053788099174 0.058823529411764705 3
138 0.42179798976321803 0.17647058823529413 9
139 0.41850442330542853 0.0784313725490196 4
140 0.41837561459409417 0.0196078431372549 1
141 0.4170361195810193 0.09803921568627451 5
142 0.4154297082745024 0.0196078431372549 1
143 0.4150554687799938 0.1568627450980392 8
144 0.4115898023082449 0.0784313725490196 4
145 0.4110963723679683 0.09803921568627451 5
146 0.40821155916148066 0.0196078431372549 1
147 0.4038116725643385 0.0392156862745098 2
148 0.4030009349976514 0.1568627450980392 8
149 0.3985748644440199 0.11764705882352941 6
150 0.3963385764416828 0.11764705882352941 6
151 0.39313530249440576 0.0784313725490196 4
152 0.3915290278748753 0.058823529411764705 3
153 0.391235517451364 0.09803921568627451 5
154 0.39061500732901794 0.09803921568627451 5
155 0.390574507458764 0.058823529411764705 3
156 0.3902672503802352 0.09803921568627451 5
157 0.38999291651725776 0.0784313725490196 4
158 0.38786703249254784 0.058823529411764705 3
159 0.3874824690952812 0.0784313725490196 4
160 0.387182296243888 0.09803921568627451 5
161 0.38683857190602755 0.0392156862745098 2
162 0.3866300004726359 0.09803921568627451 5
163 0.3862394934807759 0.09803921568627451 5
164 0.38557387743342264 0.058823529411764705 3
165 0.38517584688738055 0.0784313725490196 4
166 0.38514302463245303 0.11764705882352941 6
167 0.38492560038951007 0.09803921568627451 5
168 0.3849177562114186 0.0784313725490196 4
169 0.3837881483026043 0.13725490196078433 7
170 0.3831468790836781 0.0392156862745098 2
171 0.38262725734738445 0.058823529411764705 3
172 0.3811776486926064 0.0784313725490196 4
173 0.3805154874974277 0.09803921568627451 5
174 0.3777765743614482 0.09803921568627451 5
175 0.3773267814749266 0.0392156862745098 2
176 0.37581452352393974 0.0784313725490196 4
177 0.3757063025583599 0.11764705882352941 6
178 0.37447604672600043 0.09803921568627451 5
179 0.37303281514752634 0.0784313725490196 4
180 0.3716365081347928 0.0784313725490196 4
181 0.37162408209838316 0.0784313725490196 4
182 0.37159516510013707 0.0392156862745098 2
183 0.3714018436799937 0.11764705882352941 6
184 0.36896188345952957 0.058823529411764705 3
185 0.36746347031837334 0.21568627450980393 11
186 0.3650818668437198 0.09803921568627451 5
187 0.3649691138298242 0.058823529411764705 3
188 0.3647207776277078 0 0
189 0.3647162275167233 0.058823529411764705 3
190 0.3636688157996269 0 0
191 0.3617619623511778 0.0392156862745098 2
192 0.3602402465552547 0.11764705882352941 6
193 0.3600565633499195 0.11764705882352941 6
194 0.35781711069697525 0.0784313725490196 4
195 0.3573816156652769 0.11764705882352941 6
196 0.35614440680008336 0.0392156862745098 2
197 0.3559545009800001 0.11764705882352941 6
198 0.3555455706898189 0.09803921568627451 5
199 0.35520730276493023 0.0392156862745098 2
200 0.3540946129247766 0.0784313725490196 4
201 0.3537181842379159 0.0784313725490196 4
202 0.3532250623331035 0.0196078431372549 1
203 0.3523911346985522 0.09803921568627451 5
204 0.35137489278139644 0.09803921568627451 5
205 0.3494992611670293 0.058823529411764705 3
206 0.3494981995173233 0.1568627450980392 8
207 0.349383178904633 0.058823529411764705 3
208 0.3488229449599831 0.09803921568627451 5
209 0.3487300674084059 0.0784313725490196 4
210 0.3460534124537002 0.058823529411764705 3
211 0.34568661824129016 0.09803921568627451 5
