#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;1;0/0;0/0;0/0;0/0;0/0;0/19;0/0;0/19;0/2;0/3;0/0;0/0;0/0;0/0
59.66;0;0;1;1;0/59.66;0/38.68;0/59.66;0/59.66;0/0;0/0;0/0;0/18;0/0;0/5;0/0;0/0;0/0;0/3
119.99;0;1;1;1;0/119.99;0/40.81;0/119.99;0/119.99;0/0;0/1;0/0;0/15;0/0;0/5;0/0;0/1;0/0;0/9
179.78;0;2;1;1;0/179.78;0/43;0/179.78;0/179.78;0/0;0/1;0/0;0/22;0/0;0/5;0/0;0/2;0/0;0/14
239.84;0;3;1;1;0/239.84;0/44.77;0/239.84;0/239.84;0/0;0/0;0/0;0/24;0/0;0/5;0/0;0/3;0/0;0/20
299.87;0;4;1;1;0/299.87;0/47.61;0/299.87;0/299.87;0/0;0/1;0/0;0/24;0/0;0/5;0/0;0/4;0/0;0/26
359.99;0;5;1;1;0/359.99;0/48.52;0/359.99;0/359.99;0/0;0/0;0/0;0/19;0/0;0/5;0/0;0/5;0/0;0/32
419.87;0;6;1;1;0/419.87;0/50.61;0/419.87;0/419.87;0/0;0/0;0/0;0/18;0/0;0/5;0/0;0/6;0/0;0/38
479.59;0;7;1;1;0/479.59;0/52.33;0/479.59;0/479.59;0/0;0/0;0/0;0/16;0/0;0/5;0/0;0/7;0/0;0/44
539.95;0;8;1;1;0/539.95;0/54.83;0/539.95;0/539.95;0/0;0/0;0/0;0/17;0/0;0/5;0/0;0/8;0/0;0/50
599.86;0;9;1;1;0/599.86;0/57.76;0/599.86;0/599.86;0/0;0/0;0/0;0/14;0/0;0/5;0/0;0/9;0/0;0/56
