Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;12.50;0;0;0;0;0;0;0;0;1800;1800
OutputStation0;35.50;3.50;240;182;31;31.986006841788633;324.19427451442937;4.15777777777771;77.63509379141306;7.741935483870968;878.7990548929433;1800
OutputStation1;35.50;9.50;265;207;32;33.90216472648327;306.63223733176216;8.0457359454565;67.09185424949146;8.28125;784.133862295019;1800
OutputStation2;0.50;6.50;237;171;31;30.478990828771263;282.15205072072786;4.08888888888896;61.49398268030126;7.645161290322581;890.2950218621507;1800
