W2,W3,ItemPileOneAvg,,DistanceTraveled,,OrderTurnoverTimeAvg,,OrdersHandled,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
""
Total,,7.52,0.41,5038.45,104.02,464.56,17.63,479.29,14.98,216
""
0.01,1.0,7.92,0.35,4970.01,91.21,465.05,16.1,492.33,15.24
0.155,1.0,7.22,0.33,5084.44,86.17,453.74,17.29,474.11,12.74
0.299,1.0,7.67,0.29,5003.34,100.25,454.47,12.74,485.67,12.71
0.444,1.0,7.57,0.3,4991.71,106.43,467.91,17.06,482.89,13.27
0.588,1.0,7.72,0.31,4980.98,79.24,457.85,16.2,483.0,10.26
0.733,1.0,7.63,0.5,5040.16,125.86,466.69,17.65,481.11,13.07
0.877,1.0,7.59,0.5,5009.0,103.52,464.29,15.83,477.83,17.66
1.022,1.0,7.37,0.32,5099.57,71.18,470.86,17.83,473.67,12.31
1.166,1.0,7.46,0.38,5084.38,99.02,464.89,19.18,479.44,15.17
1.311,1.0,7.25,0.41,5074.7,92.03,471.3,15.2,467.89,15.63
1.455,1.0,7.46,0.31,5058.91,92.91,473.07,17.4,476.78,14.1
1.6,1.0,7.42,0.29,5064.16,104.68,464.62,20.26,476.72,14.93
""
