# ItemPileOneAvg DistanceTraveled OrdersHandled OrderTurnoverTimeAvg ItemThroughputRateScore OrderThroughputRate 
8.637992831541219 4806.83141568588 503 475.0833690146733 0.6165842399682684 1006 
8.037221582181258 4830.151696383562 514 464.72382466336563 0.6183650273431106 1028 
7.458333333333333 5118.258871316655 479 464.6880129386758 0.59511248331648 958 
7.947619047619047 4935.477761277059 482 476.6737127439728 0.602227484182937 964 
7.870851370851372 4884.954201388879 495 497.96767586216566 0.6041589869398698 990 
8.352360426929392 4970.734360897912 513 477.53958460791034 0.6240469725248293 1026 
7.97421798631476 4965.37429655192 491 485.1019315951083 0.602894493457788 982 
8.38514173998045 4887.461829380364 518 451.1625619812456 0.6317643938702661 1036 
7.332722179781004 4993.683443977435 481 452.59846031186095 0.5918035225134772 962 
7.472407902554962 5064.915775205606 469 466.86170270877795 0.5847541577416271 938 
7.737730414746544 4949.573641172636 488 461.25694735940004 0.5953167292583533 976 
7.720328282828283 4872.471107379108 474 458.8280963564782 0.5772376158179867 948 
7.5710227272727275 5042.488448577671 483 462.3236720141172 0.5866395632739112 966 
8.093954248366012 5053.830798533421 508 446.1232751674616 0.6094451358348713 1016 
8.063398692810457 5103.864028224126 478 465.8274729787799 0.5930429324776479 956 
8.111559139784946 4929.417075130915 481 443.60816725875964 0.5999192140442803 962 
7.727691663175534 5008.971277398554 496 435.19987516412357 0.6001021812193778 992 
8.144650900900901 5041.669047690352 509 485.2576611872213 0.6281109104061882 1018 
7.967524509803922 4969.908089696819 502 434.56846321547533 0.614746985686472 1004 
6.970370370370371 5081.169285775002 476 466.31996740021145 0.5810846991779409 952 
6.925430778371954 5059.521367621812 462 443.23998389059636 0.5558930770468603 924 
7.224896019013666 5093.986785727537 472 443.988050886571 0.578896509673064 944 
6.811340752517224 5140.294437251492 473 422.2951741646932 0.5676780625136832 946 
7.594212962962963 4918.012365836901 483 426.25119194215847 0.5809932777628026 966 
7.052729199788023 5092.862545780562 481 449.13825626288167 0.5869765081663814 962 
7.512966476913346 5049.408420147434 492 461.7948902685815 0.5877165613535312 984 
7.255108556832695 5175.186387201875 462 429.27656270235104 0.5668457482898471 924 
7.702918586789555 4898.710267055785 474 465.59409204471154 0.5867956133137509 948 
