W2,W3,ItemPileOneAvg,,DistanceTraveled,,OrderTurnoverTimeAvg,,OrdersHandled,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
""
Total,,7.86,0.39,4977.72,94.76,459.54,17.02,489.9,14.11,216
""
0.01,1.0,7.94,0.36,4969.16,69.68,448.26,16.21,493.67,10.71
0.1,1.0,7.55,0.24,5026.01,72.53,452.07,19.33,483.56,14.86
0.19,1.0,7.83,0.35,4970.98,98.78,455.83,19.24,490.28,14.05
0.28,1.0,7.71,0.36,5017.23,73.09,454.53,15.75,483.22,10.88
0.37,1.0,7.84,0.38,4976.0,92.3,459.95,13.58,491.61,15.55
0.46,1.0,8.15,0.39,4906.51,113.25,455.91,15.13,497.28,15.95
0.55,1.0,7.78,0.29,4992.64,92.56,464.29,14.85,487.22,10.11
0.64,1.0,8.11,0.38,4947.91,85.57,464.09,12.02,496.22,14.68
0.73,1.0,7.79,0.25,5020.97,74.48,462.85,17.64,489.11,12.19
0.82,1.0,7.69,0.35,5036.83,116.8,466.68,16.17,484.33,15.48
0.91,1.0,7.9,0.32,4957.12,62.9,465.84,16.42,490.67,11.83
1.0,1.0,8.04,0.52,4911.32,79.79,464.13,19.07,491.61,16.48
""
