Tag;Instance;Setting;Config;Seed;Timestamp
1, 0.01, 1.0, 0.098, 0.747, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;1;20240625-191926
1, 0.01, 1.0, 0.098, 0.747, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;2;20240625-191927
1, 0.01, 1.0, 0.098, 0.747, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;3;20240625-191928
1, 0.01, 1.0, 0.098, 0.747, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;4;20240625-191929
1, 0.01, 1.0, 0.098, 0.747, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;5;20240625-191930
1, 0.01, 1.0, 0.098, 0.747, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;6;20240625-191932
1, 0.01, 1.0, 0.113, 0.667, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;1;20240625-191933
1, 0.01, 1.0, 0.113, 0.667, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;2;20240625-191934
1, 0.01, 1.0, 0.113, 0.667, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;3;20240625-191935
1, 0.01, 1.0, 0.113, 0.667, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;4;20240625-191936
1, 0.01, 1.0, 0.113, 0.667, 1.0;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xinst;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xsett;..\..\..\..\Material\Instances\10.Weighted30min Demand Gall\Dp\Weighted2.xconf;5;20240625-191938
