# W2 W3 ItemPileOneAvg OrdersHandled DistanceTraveled TripCount OrderThroughputTimeAvg OrderTurnoverTimeAvg OrderPileOneAvg 
0.01 1 7.65187165775401 480 5088.375388153013 300 95.30714336571393 456.19065209163307 4.97124183006536
0.51 1.5 7.719381313131312 504 4906.464751388881 302 88.45073056209097 441.31804610588597 5.14614898989899
1.01 2 7.6454775458570525 483 5022.232121147599 306 89.05039873281076 433.0646110523849 4.895635673624288
1.51 2.5 7.794497975143137 485 5014.114285803343 307 92.24511052862071 475.0128968539591 4.929562910208072
2.01 3 7.414141414141414 491 4973.065458407838 319 84.33251946161191 445.34115247077665 4.835016835016835
2.51 3.5 7.385569711755669 484 5002.800475753856 311 83.74522017468746 418.7182573084743 4.875151350862925
3.01 4 7.65187165775401 480 5088.375388153013 300 95.30714336571393 456.19065209163307 4.97124183006536
3.51 4.5 8.140467171717171 515 4965.829981663424 299 89.26625256685293 445.92098063619073 5.313762626262626
4.01 5 8.087650700553926 497 5026.47657937626 299 93.61717898913662 448.2378869975615 5.138155751058977
4.51 5.5 8.548027901371894 497 4912.939730903602 287 91.45447657000311 444.5932015142232 5.410861605487579
5.01 6 8.581398312940303 509 4843.837072114236 288 97.71514880718085 451.64761300509855 5.572441601779755
5.51 6.5 8.180555555555555 504 4866.793679762662 291 94.48459919470699 456.171156390183 5.3687499999999995
6.01 7 8.104144265232975 493 4909.0380466174165 289 91.11173664876348 409.5550484831188 5.306182795698924
6.51 7.5 8.199260752688174 506 4922.726567283944 290 92.79466305416524 447.11556781432455 5.38239247311828
7.01 8 7.872779519331243 490 5033.858364881449 301 100.5328740463254 463.7285345414869 5.076512248926043
7.51 8.5 8.373611111111112 496 4946.980415074973 290 98.45830290230232 466.9903560505652 5.284027777777777
8.01 9 7.6169157179000635 480 4982.363537548467 303 98.01927329741034 464.58726885904684 4.977209835547122
8.51 9.5 7.896650326797385 492 4938.539999251122 296 89.83418421721407 444.3703497810781 5.143382352941177
0.09999999999999999 1 7.581123737373737 485 5106.400037140582 307 101.12497668772444 470.47510990105394 4.948232323232323
0.6 1.5 7.70616766745799 497 5021.332261493517 304 96.02745668218233 484.4064976554965 5.048261416003352
1.1 2 7.212554466230936 479 5092.676337654856 317 98.83607589416194 437.4364558160588 4.717184095860566
1.6 2.5 7.325829725829725 471 4988.589155877265 313 99.181602450758 453.21915217622353 4.663492063492064
2.1 3 7.575268817204301 474 4900.3210250940865 293 92.57327996476212 415.44487782722877 5.040658602150538
2.6 3.5 7.469121719121719 466 4952.765359226349 301 104.44442400578203 464.9941086778172 4.902743652743653
3.1 4 7.789304812834224 491 5037.1497337962865 297 92.37547298640457 460.02949158158015 5.091978609625668
3.6 4.5 7.487745098039215 495 5002.115595914525 311 93.19110306357467 437.8175726586487 4.9546568627450975
4.1 5 7.505050505050505 468 5040.019438737042 306 106.11595794525788 452.6009455741098 4.779671717171717
4.6 5.5 7.1236047107014855 450 5088.674687499989 316 107.65128608156432 487.610837159874 4.437207714627069
5.1 6 7.642553614967408 479 4855.313897191263 304 97.53594564734283 447.4066768907068 5.018350997661343
