# SectorTime InventoryLevel
0 65
0.16661388886111111 65
0.3332583333333333 48.5
0.49996666666666667 42.42857142857143
0.6666416666666667 25.2
0.83325 22.5
0.9998944444444444 16
1.1666666666666667 13.5
1.3333222222222223 16.5
1.4999694444444445 20.833333333333332
1.666625 23.142857142857142
1.83325 25.5
1.9999472222222223 32.285714285714285
2.166561111111111 34.5
2.3332722222222224 41.2
2.499919444416667 43.5
2.6666166666666666 50.2
2.8332972222222224 49.833333333333336
2.9999805555555557 46.666666666666664
3.166655555527778 41
3.333263888888889 41
3.499913888888889 33.333333333333336
3.6665944444444443 24.666666666666668
3.8333 14
3.9999972222222224 13
4.166627777777777 14.333333333333334
4.333302777777778 15.4
4.49995 17.666666666666668
4.666566666666666 22
4.833319444444444 31
4.99997777775 35.5
5.166574999972222 37.8
5.3332194444444445 40
5.499936111111111 44.5
5.666627777777777 51.166666666666664
5.833325 50.166666666666664
5.9999472222222225 50.8
6.166613888888889 42.285714285714285
6.333297222222222 40.833333333333336
6.49995 27.4
6.666566666666666 22.142857142857142
6.8333 14
6.999988888888889 13
7.166555555555555 13
7.333236111111111 14.5
7.499986111111111 18
7.666658333333333 24.8
7.833275 27
7.999994444444445 29.333333333333332
