#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.97;100;0;0;0;0;0;0;0;0;0
599.74;0.74;100;0;0;0;0;0;0;0;0;0
1199.94;0.53;128;0;0;0;0;0;0;0;0;0
1799.77;0.36;173;0;0;0;0;0;0;0;0;0
2399.96;0.22;216;0;0;0;0;0;0;0;0;0
2999.87;0.11;254;0;0;0;0;0;0;0;0;0
3599.67;0.06;286;0;0;0;0;0;0;0;0;0
4199.86;0.09;317;0;0;0;0;0;0;0;0;0
4799.85;0.13;349;0;0;0;0;0;0;0;0;0
5399.97;0.18;377;0;0;0;0;0;0;0;0;0
5999.64;0.22;402;0;0;0;0;0;0;0;0;0
6599.98;0.27;423;0;0;0;0;0;0;0;0;0
7199.97;0.32;452;0;0;0;0;0;0;0;0;0
7799.67;0.36;474;0;0;0;0;0;0;0;0;0
8399.8;0.41;496;0;0;0;0;0;0;0;0;0
9000;0.45;518;0;0;0;0;0;0;0;0;0
9599.82;0.5;538;0;0;0;0;0;0;0;0;0
10199.65;0.54;550;0;0;0;0;0;0;0;0;0
10799.96;0.59;569;0;0;0;0;0;0;0;0;0
11399.7;0.52;583;0;0;0;0;0;0;0;0;0
11999.92;0.38;594;0;0;0;0;0;0;0;0;0
12599.96;0.26;607;0;0;0;0;0;0;0;0;0
13199.84;0.17;618;0;0;0;0;0;0;0;0;0
13800;0.09;631;0;0;0;0;0;0;0;0;0
14399.93;0.06;644;0;0;0;0;0;0;0;0;0
14999.9;0.1;653;0;0;0;0;0;0;0;0;0
15599.89;0.15;661;0;0;0;0;0;0;0;0;0
16199.88;0.2;668;0;0;0;0;0;0;0;0;0
16799.92;0.24;679;0;0;0;0;0;0;0;0;0
17399.66;0.29;691;0;0;0;0;0;0;0;0;0
17999.95;0.33;698;0;0;0;0;0;0;0;0;0
18599.97;0.38;705;0;0;0;0;0;0;0;0;0
19199.8;0.42;710;0;0;0;0;0;0;0;0;0
19799.75;0.47;715;0;0;0;0;0;0;0;0;0
20399.85;0.51;718;0;0;0;0;0;0;0;0;0
20999.92;0.56;726;0;0;0;0;0;0;0;0;0
21599.98;0.6;732;0;0;0;0;0;0;0;0;0
22199.8;0.5;735;0;0;0;0;0;0;0;0;0
22799.84;0.35;742;0;0;0;0;0;0;0;0;0
23399.97;0.24;746;0;0;0;0;0;0;0;0;0
23999.8;0.14;750;0;0;0;0;0;0;0;0;0
24599.65;0.07;758;0;0;0;0;0;0;0;0;0
25199.7;0.07;761;0;0;0;0;0;0;0;0;0
25799.76;0.11;764;0;0;0;0;0;0;0;0;0
26399.84;0.16;770;0;0;0;0;0;0;0;0;0
26999.75;0.2;772;0;0;0;0;0;0;0;0;0
27599.91;0.25;774;0;0;0;0;0;0;0;0;0
28199.77;0.29;780;0;0;0;0;0;0;0;0;0
28799.82;0.34;786;0;0;0;0;0;0;0;0;0
