>>> Bots
Pod146(1.00%1.00%):
SimpleItemDescription12 SimpleItemDescription99 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod147(0.67%0.67%):
SimpleItemDescription13 
StatItemsHandledAtOutputStations: 2
StatBundlesHandledAtInputStations: 0
Pod148(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod149(0.33%0.33%):
SimpleItemDescription79 
StatItemsHandledAtOutputStations: 3
StatBundlesHandledAtInputStations: 0
Pod150(0.67%0.67%):
SimpleItemDescription3 
StatItemsHandledAtOutputStations: 2
StatBundlesHandledAtInputStations: 0
Pod151(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod152(0.33%0.33%):
SimpleItemDescription41 
StatItemsHandledAtOutputStations: 3
StatBundlesHandledAtInputStations: 0
Pod153(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod154(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod155(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod156(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod157(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod158(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod159(0.50%0.50%):
SimpleItemDescription69 
StatItemsHandledAtOutputStations: 2
StatBundlesHandledAtInputStations: 0
Pod160(0.33%0.33%):
SimpleItemDescription22 
StatItemsHandledAtOutputStations: 3
StatBundlesHandledAtInputStations: 0
Pod161(0.33%0.33%):
SimpleItemDescription48 
StatItemsHandledAtOutputStations: 4
StatBundlesHandledAtInputStations: 0
Pod162(1.00%1.00%):
SimpleItemDescription5 SimpleItemDescription55 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod163(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod164(0.00%0.00%):

StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod165(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod166(0.17%0.17%):
SimpleItemDescription58 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod167(0.17%0.17%):
SimpleItemDescription14 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod168(0.17%0.17%):
SimpleItemDescription14 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod169(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod170(0.00%0.00%):

StatItemsHandledAtOutputStations: 3
StatBundlesHandledAtInputStations: 0
Pod171(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod172(0.50%0.50%):
SimpleItemDescription5 
StatItemsHandledAtOutputStations: 3
StatBundlesHandledAtInputStations: 0
Pod173(1.00%1.00%):
SimpleItemDescription6 SimpleItemDescription16 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod174(0.83%0.83%):
SimpleItemDescription8 
StatItemsHandledAtOutputStations: 1
StatBundlesHandledAtInputStations: 0
Pod175(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod176(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod177(0.00%0.00%):

StatItemsHandledAtOutputStations: 4
StatBundlesHandledAtInputStations: 0
Pod178(0.33%0.33%):
SimpleItemDescription53 
StatItemsHandledAtOutputStations: 4
StatBundlesHandledAtInputStations: 0
Pod179(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod180(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod181(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod182(0.17%0.17%):
SimpleItemDescription17 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod183(1.00%1.00%):
SimpleItemDescription0 SimpleItemDescription10 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod184(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod185(0.17%0.17%):
SimpleItemDescription4 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod186(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod187(1.00%1.00%):
SimpleItemDescription0 SimpleItemDescription9 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod188(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod189(0.17%0.17%):
SimpleItemDescription35 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod190(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod191(0.17%0.17%):
SimpleItemDescription10 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod192(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod193(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod194(0.67%0.67%):
SimpleItemDescription33 SimpleItemDescription57 
StatItemsHandledAtOutputStations: 2
StatBundlesHandledAtInputStations: 0
Pod195(0.17%0.17%):
SimpleItemDescription39 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod196(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod197(0.17%0.17%):
SimpleItemDescription18 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod198(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod199(0.00%0.00%):

StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod200(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod201(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod202(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod203(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod204(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod205(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod206(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod207(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod208(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod209(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod210(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod211(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod212(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod213(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod214(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod215(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod216(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod217(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod218(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod219(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod220(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod221(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod222(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod223(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod224(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod225(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod226(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod227(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod228(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod229(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod230(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod231(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod232(0.00%1.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod233(0.00%0.33%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod234(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod235(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod236(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod237(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod238(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod239(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod240(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod241(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod242(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod243(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod244(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod245(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod246(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod247(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod248(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod249(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod250(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod251(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod252(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod253(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod254(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod255(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod256(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod257(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod258(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod259(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod260(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod261(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod262(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod263(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod264(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod265(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod266(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod267(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod268(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod269(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod270(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod271(0.00%0.00%):

StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
>>> InputStations
InputStation0:
IdleTime: 1800
UpTime: 1800
DownTime: 0
NumBundlesPut: 0
NumInjectedBundlesPut: 0
BundlePileOn: 0
PodsHandled: 0
PodHandlingTimeAvg: 0
PodHandlingTimeVar: 0
PodHandlingTimeMin: 0
PodHandlingTimeMax: 0
>>> OutputStations
OutputStation0:
IdleTime: 132.63981060802422
UpTime: 1800
DownTime: 0
NumItemsPicked: 169
NumInjectedItemsPicked: 113
NumOrdersFinished: 106
ItemPileOn: 4.023809523809524
OrderPileOn: 2.5238095238095237
PodsHandled: 42
PodHandlingTimeAvg: 42.06909366680263
PodHandlingTimeVar: 331.45703821163204
PodHandlingTimeMin: 11.211111111111222
PodHandlingTimeMax: 63.301760458080025
OutputStation1:
IdleTime: 116.91491372853744
UpTime: 1800
DownTime: 0
NumItemsPicked: 171
NumInjectedItemsPicked: 118
NumOrdersFinished: 102
ItemPileOn: 3.9767441860465116
OrderPileOn: 2.372093023255814
PodsHandled: 43
PodHandlingTimeAvg: 40.52250365273092
PodHandlingTimeVar: 394.02339081404676
PodHandlingTimeMin: 10.27231601363507
PodHandlingTimeMax: 63.16564215404355
OutputStation2:
IdleTime: 99.52559871311148
UpTime: 1800
DownTime: 0
NumItemsPicked: 173
NumInjectedItemsPicked: 106
NumOrdersFinished: 102
ItemPileOn: 4.119047619047619
OrderPileOn: 2.4285714285714284
PodsHandled: 42
PodHandlingTimeAvg: 42.77332143178785
PodHandlingTimeVar: 287.24129468337827
PodHandlingTimeMin: 11.524538235858017
PodHandlingTimeMax: 63.81231601363561
OutputStation3:
IdleTime: 102.71743537272252
UpTime: 1800
DownTime: 0
NumItemsPicked: 172
NumInjectedItemsPicked: 109
NumOrdersFinished: 103
ItemPileOn: 3.8222222222222224
OrderPileOn: 2.2888888888888888
PodsHandled: 45
PodHandlingTimeAvg: 40.08199503324819
PodHandlingTimeVar: 338.222105348348
PodHandlingTimeMin: 11.210649346968466
PodHandlingTimeMax: 63.05759019495258
OutputStation4:
IdleTime: 121.68252694074269
UpTime: 1800
DownTime: 0
NumItemsPicked: 170
NumInjectedItemsPicked: 106
NumOrdersFinished: 92
ItemPileOn: 3.7777777777777777
OrderPileOn: 2.0444444444444443
PodsHandled: 45
PodHandlingTimeAvg: 39.733958873892725
PodHandlingTimeVar: 389.3986227246004
PodHandlingTimeMin: 10.044444444444423
PodHandlingTimeMax: 63.48203463939694
>>> Timings
StatTimingPathPlanningAverage: 0.00022014570074475239
StatTimingPathPlanningOverall: 0.32515519999999926
StatTimingPathPlanningCount: 1477
StatTimingTaskAllocationAverage: 0.004940012658227845
StatTimingTaskAllocationOverall: 2.3415659999999985
StatTimingTaskAllocationCount: 474
StatTimingItemStorageAverage: 3.0504252733900347E-06
StatTimingItemStorageOverall: 0.0025104999999999984
StatTimingItemStorageCount: 823
StatTimingPodStorageAverage: 0.004156971232876713
StatTimingPodStorageOverall: 0.9103767000000003
StatTimingPodStorageCount: 219
StatTimingReplenishmentBatchingAverage: 0.0015972
StatTimingReplenishmentBatchingOverall: 0.0047916
StatTimingReplenishmentBatchingCount: 3
StatTimingOrderBatchingAverage: 0.00020179017751479302
StatTimingOrderBatchingOverall: 0.1705127000000001
StatTimingOrderBatchingCount: 845
>>> Overall
StatOverallBundlesPlaced: 0
StatOverallItemsOrdered: 803
StatOverallOrdersPlaced: 491
StatOverallBundlesRejected: 0
StatOverallOrdersRejected: 0
StatOverallBundlesHandled: 0
StatOverallItemsHandled: 855
StatOverallLinesHandled: 810
StatOverallOrdersHandled: 505
StatOverallCollisions: 0
StatOverallDistanceTraveled: 14346.688609223444
StatOverallDistanceEstimated: 13695
StatOverallAssignedTasks: 474
StatMaxMemoryUsed: 89,61328125
StatRealTimeUsed: 4.0213429
StatAverageTurnoverTime: 515.7226253300149
StatMedianTurnoverTime: 385.4124026121267
StatLowerQuartileTurnoverTime: 203.07870849898478
StatUpperQuartileTurnoverTime: 739.2128967226198
StatAverageThroughputTime: 144.62040851645168
StatMedianThroughputTime: 90.86963202727111
StatLowerQuartileThroughputTime: 50.19000000000028
StatUpperQuartileThroughputTime: 161.1364104458528

