>>> Bots
ParkPod: 244.69622648130573
RepositionPod: 0
Insert: 0
Extract: 1520.1015656823263
Rest: 0
PickupPod: 26.820100984339582
SetdownPod: 24.60166666666774
GetItems: 0
PutItems: 390.83458529507135
Rest: 4.390836929789328
Move: 1318.570602287764
Evade: 0
UseElevator: 0
Bot10:
DistanceTraveled: 688,9672238828763
DistanceEstimated: 640
NumberOfPickups: 12
NumberOfSetdowns: 11
NumCollisions: 0
TotalTimeMoving: 674.059231708182
None: 0.42
ParkPod: 274.91515881111263
RepositionPod: 0
Insert: 0
Extract: 1459.6102939509556
Rest: 32.4736147075719
PickupPod: 26.843982680302396
SetdownPod: 24.573795097476705
GetItems: 0
PutItems: 320.7857610988859
Rest: 14.998427124745836
Move: 1380.2171014682294
Evade: 0
UseElevator: 0
Bot11:
DistanceTraveled: 644,9999999999987
DistanceEstimated: 587
NumberOfPickups: 11
NumberOfSetdowns: 10
NumCollisions: 0
TotalTimeMoving: 642.6438583516702
None: 0.42
ParkPod: 284.08666666667244
RepositionPod: 0
Insert: 0
Extract: 1480.7739410048657
Rest: 0
PickupPod: 24.575562748481197
SetdownPod: 22.440093791413148
GetItems: 0
PutItems: 404.7677019468673
Rest: 3.7654509965609133
Move: 1309.7317981882156
Evade: 0
UseElevator: 0
Bot12:
DistanceTraveled: 694,9369283950585
DistanceEstimated: 662
NumberOfPickups: 12
NumberOfSetdowns: 11
NumCollisions: 0
TotalTimeMoving: 679.2516576646051
None: 0.42
ParkPod: 260.41072875253064
RepositionPod: 0
Insert: 0
Extract: 1503.6235913632809
Rest: 0
PickupPod: 26.721024512624346
SetdownPod: 24.49852810908061
GetItems: 0
PutItems: 407.65908366463873
Rest: 5.401558489402573
Move: 1300.1741253400653
Evade: 0
UseElevator: 0
Bot13:
DistanceTraveled: 802,3076191083383
DistanceEstimated: 764
NumberOfPickups: 11
NumberOfSetdowns: 10
NumCollisions: 0
TotalTimeMoving: 719.4460173196923
None: 0.42
ParkPod: 253.03810082744164
RepositionPod: 0
Insert: 0
Extract: 1517.1875413266055
Rest: 0
PickupPod: 24.539350653032084
SetdownPod: 22.385555555555996
GetItems: 0
PutItems: 472.1640513182839
Rest: 3.9160694356882697
Move: 1247.640615191487
Evade: 0
UseElevator: 0
Bot14:
DistanceTraveled: 647,0348323943616
DistanceEstimated: 609
NumberOfPickups: 12
NumberOfSetdowns: 11
NumCollisions: 0
TotalTimeMoving: 635.1741774560438
None: 0.42
ParkPod: 246.63029933474243
RepositionPod: 0
Insert: 0
Extract: 1490.7479114354828
Rest: 30.35194804090524
PickupPod: 26.848888888890315
SetdownPod: 24.597316013635265
GetItems: 0
PutItems: 389.04185424949037
Rest: 19.34054116970438
Move: 1308.32155848941
Evade: 0
UseElevator: 0
Bot15:
DistanceTraveled: 692,9999999999981
DistanceEstimated: 652
NumberOfPickups: 12
NumberOfSetdowns: 11
NumCollisions: 0
TotalTimeMoving: 672.0835281090776
None: 0.42
ParkPod: 296.7512192883696
RepositionPod: 0
Insert: 0
Extract: 1463.9884993373835
Rest: 0
PickupPod: 26.811017319698227
SetdownPod: 24.55851372323407
GetItems: 0
PutItems: 342.1169408479809
Rest: 5.174350653029419
Move: 1362.4988960818105
Evade: 0
UseElevator: 0
Bot16:
DistanceTraveled: 680,9999999999978
DistanceEstimated: 588
NumberOfPickups: 11
NumberOfSetdowns: 10
NumCollisions: 0
TotalTimeMoving: 690.7558797366682
None: 0.42
ParkPod: 271.2051009843392
RepositionPod: 0
Insert: 0
Extract: 1458.227905681045
Rest: 31.428333333333338
PickupPod: 24.58796536060413
SetdownPod: 22.36657287525489
GetItems: 0
PutItems: 281.003645595442
Rest: 14.64276339193511
Move: 1418.6803927754813
Evade: 0
UseElevator: 0
Bot17:
DistanceTraveled: 695,999999999998
DistanceEstimated: 632
NumberOfPickups: 12
NumberOfSetdowns: 11
NumCollisions: 0
TotalTimeMoving: 679.364233146681
None: 0.42
ParkPod: 264.3851261377648
RepositionPod: 0
Insert: 0
Extract: 1468.1349101538651
Rest: 31.65944444444445
PickupPod: 26.850093791414004
SetdownPod: 24.61129869393747
GetItems: 0
PutItems: 395.99897548738124
Rest: 30.08460687384509
Move: 1287.0545058894963
Evade: 0
UseElevator: 0
Bot18:
DistanceTraveled: 642,5534524416731
DistanceEstimated: 662
NumberOfPickups: 11
NumberOfSetdowns: 11
NumCollisions: 0
TotalTimeMoving: 635.6314646979829
None: 0.42
ParkPod: 309.57044918742866
RepositionPod: 0
Insert: 0
Extract: 1456.6698124171764
Rest: 0
PickupPod: 24.554350653032152
SetdownPod: 24.61342712474682
GetItems: 0
PutItems: 393.78336567968586
Rest: 4.536922887470565
Move: 1319.1721952596695
Evade: 0
UseElevator: 0
Bot19:
DistanceTraveled: 794,9999999999981
DistanceEstimated: 776
NumberOfPickups: 11
NumberOfSetdowns: 11
NumCollisions: 0
TotalTimeMoving: 741.7918165193475
None: 0.42
ParkPod: 268.57963202726995
RepositionPod: 0
Insert: 0
Extract: 1464.409437251521
Rest: 32.37898268030175
PickupPod: 24.57287156919177
SetdownPod: 24.544437251520208
GetItems: 0
PutItems: 354.5693434601035
Rest: 19.47891046766579
Move: 1342.6224892106113
Evade: 0
UseElevator: 0
>>> Pods
Pod0(0.67%0.67%):
SimpleItemDescription8 
StatItemsHandledAtOutputStations: 2
StatBundlesHandledAtInputStations: 0
Pod1(0.50%0.50%):
SimpleItemDescription65 SimpleItemDescription83 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod2(0.83%0.83%):
SimpleItemDescription17 SimpleItemDescription51 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod3(0.50%0.50%):
SimpleItemDescription0 SimpleItemDescription86 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod4(0.00%0.00%):

StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod5(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod6(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod7(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod8(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod9(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod10(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod11(1.00%1.00%):
SimpleItemDescription5 SimpleItemDescription10 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod12(1.00%1.00%):
SimpleItemDescription6 SimpleItemDescription16 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod13(0.17%0.17%):
SimpleItemDescription10 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod14(0.17%0.17%):
SimpleItemDescription2 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod15(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod16(0.17%0.17%):
SimpleItemDescription8 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod17(1.00%1.00%):
SimpleItemDescription15 SimpleItemDescription17 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod18(0.33%0.33%):
SimpleItemDescription40 
StatItemsHandledAtOutputStations: 4
StatBundlesHandledAtInputStations: 0
Pod19(1.00%1.00%):
SimpleItemDescription3 SimpleItemDescription16 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod20(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod21(0.17%0.17%):
SimpleItemDescription50 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod22(0.83%0.83%):
SimpleItemDescription0 SimpleItemDescription17 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod23(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod24(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod25(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod26(0.33%0.33%):
SimpleItemDescription6 SimpleItemDescription69 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod27(0.17%0.17%):
SimpleItemDescription14 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod28(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod29(0.33%0.33%):
SimpleItemDescription98 
StatItemsHandledAtOutputStations: 4
StatBundlesHandledAtInputStations: 0
Pod30(0.33%0.33%):
SimpleItemDescription31 
StatItemsHandledAtOutputStations: 3
StatBundlesHandledAtInputStations: 0
Pod31(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod32(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod33(0.17%0.17%):
SimpleItemDescription20 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod34(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod35(1.00%1.00%):
SimpleItemDescription19 SimpleItemDescription79 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod36(0.17%0.17%):
SimpleItemDescription61 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod37(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod38(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod39(0.67%0.67%):
SimpleItemDescription30 SimpleItemDescription95 
StatItemsHandledAtOutputStations: 2
StatBundlesHandledAtInputStations: 0
Pod40(1.00%1.00%):
SimpleItemDescription4 SimpleItemDescription6 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod41(1.00%1.00%):
SimpleItemDescription15 SimpleItemDescription17 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod42(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod43(0.17%0.17%):
SimpleItemDescription84 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod44(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod45(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod46(0.17%0.17%):
SimpleItemDescription43 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod47(0.17%0.17%):
SimpleItemDescription97 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod48(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod49(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod50(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod51(0.17%0.17%):
SimpleItemDescription4 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod52(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod53(0.00%0.00%):

StatItemsHandledAtOutputStations: 3
StatBundlesHandledAtInputStations: 0
Pod54(0.17%0.17%):
SimpleItemDescription17 
StatItemsHandledAtOutputStations: 1
StatBundlesHandledAtInputStations: 0
Pod55(1.00%1.00%):
SimpleItemDescription11 SimpleItemDescription16 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod56(0.17%0.17%):
SimpleItemDescription3 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod57(1.00%1.00%):
SimpleItemDescription4 SimpleItemDescription6 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod58(0.17%0.17%):
SimpleItemDescription59 
StatItemsHandledAtOutputStations: 5
StatBundlesHandledAtInputStations: 0
Pod59(0.83%0.83%):
SimpleItemDescription5 SimpleItemDescription6 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod60(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod61(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod62(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod63(1.00%1.00%):
SimpleItemDescription3 SimpleItemDescription65 
StatItemsHandledAtOutputStations: 0
StatBundlesHandledAtInputStations: 0
Pod64(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod65(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod66(0.00%0.00%):

StatItemsHandledAtOutputStations: 6
StatBundlesHandledAtInputStations: 0
Pod67(0.50%0.50%):
SimpleItemDescription10 
